Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2017-07-28,1501214400000,148.73,10.26,1.23167,15.518415507103565,2.7141687716323304,9.415831228367693,346.9139917450641,2.56368089128182,-2.56368089128182,-100.0,5.526828997469778,11.065071002530232,200.20650191268624,0.918955753529815,-0.918955753529815,-100.0,1.0572783695446617,6.6108216304553755,625.267840606865,5.364175852783632,-5.364175852783632,-100.0,1.9762341230744767,5.691865876925533,288.01576748763733
2017-07-31,1501473600000,150.05,10.09,1.23056,13.504393444295195,2.392900764437925,7.207099235562067,301.1867162512676,2.24121403912912,-2.24121403912912,-100.0,5.320536943489216,8.780963056510771,165.03903928824525,0.6719008199396796,-0.6719008199396796,-100.0,0.7898884464719345,4.308611553528067,545.470891842087,5.135151119403858,-5.135151119403858,-100.0,1.461789266411614,3.6367107335883873,248.78488419303756
2017-08-01,1501560000000,157.14,10.28,1.23056,18.53296108800372,3.4088105715439667,-2.2688105715439515,-66.55724992416725,3.2499565094644822,-3.2499565094644822,-100.0,6.271744740733638,-0.4175447407336464,-6.657553168925749,1.4034563005165666,-1.4034563005165666,-100.0,1.5795201691293386,-1.5795201691293386,-100.0,6.1301004851874685,-2.555900485187479,-41.694267351138116,2.982976469645905,-2.982976469645905,-100.0
2017-08-02,1501646400000,155.57,10.44,1.22889,18.864825310896336,3.43363406253755,0.8763659374624524,25.52298589485665,3.2765804458974515,-3.2765804458974515,-100.0,6.257844224372972,2.7192557756270053,43.45355490052118,1.4384022162320989,-1.4384022162320989,-100.0,1.6156356520415116,-1.6156356520415116,-100.0,6.120970426902218,-5.763870426902216,-94.1659577633227,3.0540378682736105,-3.0540378682736105,-100.0
2017-08-03,1501732800000,156.39,10.03,1.22889,18.850323720014263,3.449141373502598,-1.1691413735025975,-33.896591844112656,3.2912599368094817,-3.2912599368094817,-100.0,6.28867426285197,0.6830257371480286,10.861203945364952,1.443829269259666,-1.443829269259666,-100.0,1.6218636669095192,-1.6218636669095192,-100.0,6.150945787115617,-3.739245787115621,-60.79139560859432,3.065692936169185,-3.065692936169185,-100.0
2017-08-04,1501819200000,158.81,9.93,1.23056,19.21600122813223,3.568972553926031,-3.568972553926031,-100.0,3.408430275710174,-3.3284302757101614,-97.65287849453384,6.44148003587884,-1.7571800358788607,-27.279135013869855,1.521454026009465,-1.521454026009465,-100.0,1.7057607093261922,-1.7057607093261922,-100.0,6.3047021627638475,-1.4604021627638415,-23.163697904543568,3.2272147353356573,-3.2272147353356573,-99.99999999999999
2017-08-07,1502078400000,160.08,10.96,1.22889,19.189998340379574,3.5926487745288966,-3.5926487745288966,-100.0,3.4310421475972963,0.5789578524027235,16.874110765679706,6.488863312560014,-5.6964633125600574,-87.78830803129775,1.5297048844363772,-1.5297048844363772,-100.0,1.7151153644854489,-1.7151153644854489,-100.0,6.351060538745898,2.461339461254127,38.754778768651946,3.244820248921826,-3.244820248921826,-100.0
2017-08-08,1502164800000,161.06,11.11,1.22889,18.46778300591665,3.4817427234572733,-3.4817427234572733,-100.0,3.3191467506086667,4.350853249391348,131.08348549498413,6.418138151648022,-6.418138151648022,-100.0,1.4286200579848938,1.4095799420151351,98.66723725014648,1.6083247022001146,-1.6083247022001146,-100.0,6.272650850166046,6.229149149833957,99.30648618309536,3.0369447601850084,-0.19874476018500786,-6.5442336255368865
2017-08-09,1502251200000,155.32,16.04,1.2266700000000001,21.522957191588997,3.8996701887346314,-3.8996701887346314,-100.0,3.743152076214997,-0.3131520762149904,-8.365999292543936,6.648191556784383,-5.418591556784405,-81.50474471895764,1.8367689876403404,-1.8367689876403404,-100.0,2.0367194278567453,-2.0367194278567453,-100.0,6.5351057719615255,1.554494228038493,23.78682583391314,3.8734884154970857,-3.8734884154970857,-100.00000000000001
2017-08-10,1502337600000,157.48,15.51,1.2277799999999999,21.161130803675878,3.88887482864621,-3.88887482864621,-100.0,3.730036525560621,3.199963474439357,85.78906540220558,6.68456303319843,-6.68456303319843,-100.0,1.8060898792054303,0.3995101207945737,22.120168292528934,2.0058290695967003,-2.0058290695967003,-100.0,6.566625617418553,5.087774382581429,77.47928203925103,3.8119189488021306,-1.606318948802155,-42.139378364981496
