Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls.1,90-Calls-P.1,90-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Puts.1,100-Puts-P.1,100-Puts-ROI.1,100-Calls.1.1,100-Calls-P.1.1,100-Calls-ROI.1.1,100-Puts.1.1,100-Puts-P.1.1,100-Puts-ROI.1.1,100-Calls.1.1.1,100-Calls-P.1.1.1,100-Calls-ROI.1.1.1,100-Puts.1.1.1,100-Puts-P.1.1.1,100-Puts-ROI.1.1.1,100-Calls.1.1.1.1,100-Calls-P.1.1.1.1,100-Calls-ROI.1.1.1.1,100-Puts.1.1.1.1,100-Puts-P.1.1.1.1,100-Puts-ROI.1.1.1.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2012-07-20,1342756800000,86.3285,16.27,0.189066667,16.95270243170265,8.634862271432965,-2.736212271432961,-31.68796658732212,1.5630250783581443e-08,-1.5630250783581443e-08,-100.0,,,,0.6844461950819323,-0.6844461950819323,-100.0,0.6822103553011303,2.0519896446988706,300.7854730954817,1.3666565503830626,1.3675434496169387,100.06489554626052,0.6844461950819323,-0.6844461950819323,-100.0,0.6822103553011303,2.0519896446988706,300.7854730954817,0.6844461950819323,-0.6844461950819323,-100.0,0.6822103553011303,2.0519896446988706,300.7854730954817,0.6844461950819323,-0.6844461950819323,-100.0,0.6822103553011303,2.0519896446988706,300.7854730954817,0.6844461950819323,-0.6844461950819323,-100.0,0.6822103553011303,2.0519896446988706,300.7854730954817,0.6844461950819323,-0.6844461950819323,-100.0,0.6822103553011303,2.051989644698871,300.7854730954817
2012-07-23,1343016000000,86.2614,18.62,0.188233333,16.679705811893292,8.628141838864353,-1.2591018388643391,-14.592966392750725,9.365471978320584e-09,-9.365471978320584e-09,-100.0,,,,0.6729143059949294,-0.6729143059949294,-100.0,0.6706900509961784,0.5864099490038157,87.4338225433371,1.3436043569911078,-0.0865043569911137,-6.4382313544169465,0.6729143059949294,-0.6729143059949294,-100.0,0.6706900509961784,0.5864099490038157,87.4338225433371,0.6729143059949294,-0.6729143059949294,-100.0,0.6706900509961784,0.5864099490038157,87.4338225433371,0.6729143059949294,-0.6729143059949294,-100.0,0.6706900509961784,0.5864099490038157,87.4338225433371,0.6729143059949294,-0.6729143059949294,-100.0,0.6706900509961784,0.5864099490038157,87.4338225433371,0.6729143059949294,-0.6729143059949294,-100.0,0.6706900509961784,0.5864099490038157,87.4338225433371
2012-07-24,1343102400000,85.8457,20.47,0.1879,16.842043957296806,8.586558667394018,1.4037113326059938,16.347775482351818,1.2669060916882141e-08,-1.2669060916882141e-08,-100.0,,,,0.6761762378693206,0.7295237621306896,107.88958873051659,0.6739666215082778,-0.6739666215082778,-100.0,1.3501428593775984,0.055557140622411794,4.114908302964551,0.6761762378693206,0.7295237621306896,107.88958873051659,0.6739666215082778,-0.6739666215082778,-100.0,0.6761762378693206,0.7295237621306896,107.88958873051659,0.6739666215082778,-0.6739666215082778,-100.0,0.6761762378693206,0.7295237621306896,107.88958873051659,0.6739666215082778,-0.6739666215082778,-100.0,0.6761762378693206,0.7295237621306896,107.88958873051659,0.6739666215082778,-0.6739666215082778,-100.0,0.6761762378693206,0.7295237621306896,107.88958873051659,0.6739666215082778,-0.6739666215082778,-100.0
2012-07-25,1343188800000,82.1385,19.34,0.185566667,34.194721157028475,8.219833701364253,4.542616298635764,55.26409004943522,0.0041045538909142976,-0.0041045538909142976,-100.0,,,,1.3123982983032718,3.236201701696736,246.58685597814662,1.3103103566662284,-1.3103103566662284,-100.0,2.6227086549695,1.9258913450305075,73.43138710360887,1.3123982983032718,3.236201701696736,246.58685597814662,1.3103103566662284,-1.3103103566662284,-100.0,1.3123982983032718,3.236201701696736,246.58685597814662,1.3103103566662284,-1.3103103566662284,-100.0,1.3123982983032718,3.236201701696736,246.58685597814662,1.3103103566662284,-1.3103103566662284,-100.0,1.3123982983032718,3.236201701696736,246.58685597814662,1.3103103566662284,-1.3103103566662284,-100.0,1.3123982983032718,3.2362017016967357,246.58685597814662,1.3103103566662284,-1.3103103566662284,-100.0
2012-07-26,1343275200000,82.1257,17.53,0.185633333,29.29905482703332,8.21523594816928,4.698734051830726,57.195363364795554,0.0007864185498369923,-0.0007864185498369923,-100.0,,,,1.1244965128279745,3.576903487172032,318.08933565979197,1.1224081465841422,-1.1224081465841422,-100.0,2.2469046594121167,2.45449534058789,109.23896260155905,1.1244965128279745,3.576903487172032,318.08933565979197,1.1224081465841422,-1.1224081465841422,-100.0,1.1244965128279745,3.576903487172032,318.08933565979197,1.1224081465841422,-1.1224081465841422,-100.0,1.1244965128279745,3.576903487172032,318.08933565979197,1.1224081465841422,-1.1224081465841422,-100.0,1.1244965128279745,3.576903487172032,318.08933565979197,1.1224081465841422,-1.1224081465841422,-100.0,1.1244965128279745,3.576903487172032,318.089335659792,1.1224081465841422,-1.1224081465841422,-100.0
2012-07-27,1343361600000,83.5943,16.7,0.186966667,36.19683130307424,8.368352933556665,4.3538770664433315,52.027885308045605,0.00699605235747469,-0.00699605235747469,-100.0,,,,1.413796351480201,2.949003648519792,208.5875837373803,1.4116553723699994,-1.4116553723699994,-100.0,2.8254517238502004,1.5373482761497923,54.410707610847844,1.413796351480201,2.949003648519792,208.5875837373803,1.4116553723699994,-1.4116553723699994,-100.0,1.413796351480201,2.949003648519792,208.5875837373803,1.4116553723699994,-1.4116553723699994,-100.0,1.413796351480201,2.949003648519792,208.5875837373803,1.4116553723699994,-1.4116553723699994,-100.0,1.413796351480201,2.949003648519792,208.5875837373803,1.4116553723699994,-1.4116553723699994,-100.0,1.413796351480201,2.949003648519792,208.5875837373803,1.4116553723699994,-1.4116553723699994,-100.0
2012-07-30,1343620800000,85.0043,18.03,0.1868,39.86790195485936,8.51793137200633,3.9138986279936745,45.94893357390114,0.01554373638000306,-0.01554373638000306,-100.0,,,,1.5833117754660575,2.3480882245339387,148.3023281275581,1.5811366247701455,-1.5811366247701455,-100.0,3.164448400236203,0.7669515997637935,24.236501998469816,1.5833117754660575,2.3480882245339387,148.3023281275581,1.5811366247701455,-1.5811366247701455,-100.0,1.5833117754660575,2.3480882245339387,148.3023281275581,1.5811366247701455,-1.5811366247701455,-100.0,1.5833117754660575,2.3480882245339387,148.3023281275581,1.5811366247701455,-1.5811366247701455,-100.0,1.5833117754660575,2.3480882245339387,148.3023281275581,1.5811366247701455,-1.5811366247701455,-100.0,1.5833117754660577,2.3480882245339387,148.30232812755807,1.5811366247701457,-1.5811366247701457,-100.0
2012-07-31,1343707200000,87.2514,18.93,0.184133333,44.694010887632274,8.762459156963516,1.4132808430365031,16.128815184415103,0.03533845564508864,-0.03533845564508864,-100.0,,,,1.821704125371,-0.3711041253709908,-20.371262281431875,1.8195033461283003,-1.8195033461283003,-100.0,3.6412074714993,-2.190607471499291,-60.16156697045579,1.821704125371,-0.3711041253709908,-20.371262281431875,1.8195033461283003,-1.8195033461283003,-100.0,1.8217041253709998,-0.3711041253709908,-20.371262281431875,1.8195033461283003,-1.8195033461283003,-100.0,1.821704125371,-0.3711041253709908,-20.371262281431875,1.8195033461283003,-1.8195033461283003,-100.0,1.8217041253709996,-0.3711041253709908,-20.371262281431875,1.8195033461283003,-1.8195033461283003,-100.0,1.8217041253709993,-0.3711041253709908,-20.371262281431875,1.8195033461283003,-1.8195033461283003,-100.0
2012-08-01,1343793600000,86.6871,18.96,0.1848,21.53073538333791,8.670691524388488,1.8623184756115163,21.4783154304738,6.50850085764129e-06,-6.50850085764129e-06,-100.0,,,,0.872552709704145,0.9917472902958552,113.6604447234053,0.8703582476067666,-0.8703582476067666,-100.0,1.7429109573109116,0.12138904268908846,6.964730021341777,0.872552709704145,0.9917472902958552,113.6604447234053,0.8703582476067666,-0.8703582476067666,-100.0,0.872552709704145,0.9917472902958552,113.6604447234053,0.8703582476067666,-0.8703582476067666,-100.0,0.872552709704145,0.9917472902958552,113.6604447234053,0.8703582476067666,-0.8703582476067666,-100.0,0.872552709704145,0.9917472902958552,113.6604447234053,0.8703582476067666,-0.8703582476067666,-100.0,0.872552709704145,0.9917472902958551,113.66044472340533,0.8703582476067666,-0.8703582476067666,-100.0
2012-08-02,1343880000000,86.8271,17.57,0.183633333,20.99449059649148,8.684679585759582,1.8466304142404224,21.263080531702908,3.8687315553863336e-06,-3.8687315553863336e-06,-100.0,,,,0.8522166051952382,0.9963833948047665,116.91668394286924,0.8500324751640846,-0.8500324751640846,-100.0,1.7022490803593229,0.1463509196406818,8.597503228481052,0.8522166051952382,0.9963833948047665,116.91668394286924,0.8500324751640846,-0.8500324751640846,-100.0,0.8522166051952382,0.9963833948047665,116.91668394286924,0.8500324751640846,-0.8500324751640846,-100.0,0.8522166051952382,0.9963833948047665,116.91668394286924,0.8500324751640846,-0.8500324751640846,-100.0,0.8522166051952382,0.9963833948047665,116.91668394286924,0.8500324751640846,-0.8500324751640846,-100.0,0.8522166051952382,0.9963833948047665,116.91668394286924,0.8500324751640846,-0.8500324751640846,-100.0
