Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2017-08-21,1503288000000,159.78,11.35,1.23056,22.59042333721184,4.206754706067841,-4.206754706067841,-100.0,4.0452318472218565,2.254768152778155,55.738910350136344,8.251986553289697,-1.9519865532896856,-23.654747140996204,9.337713002876269,-7.648713002876277,-81.91205920036593,1.1952662869725543,-1.1952662869725543,-100.0,2.849965560249302,-2.849965560249302,-100.0
2017-08-22,1503374400000,159.98,12.25,1.235,22.591719632957364,4.212545023698851,-4.212545023698851,-100.0,4.050236757104798,0.539763242895205,13.326708418918207,8.262781780803651,-3.6727817808036463,-44.44970081790573,9.350000560900554,-5.941000560900563,-63.54010913907742,1.1968077076361894,-1.1968077076361894,-100.0,2.853429049468609,-2.853429049468609,-100.00000000000001
2017-08-23,1503460800000,159.27,12.23,1.23556,22.458457932910534,4.169638369447867,-4.169638369447867,-100.0,4.007977202384396,-0.03797720238439695,-0.9475403792667244,8.177615571832263,-4.207615571832264,-51.45284141657825,9.29153352504386,-5.298033525043877,-57.02001193628441,1.1744554163335934,-1.1744554163335934,-100.0,2.8335217860508024,-2.8335217860508024,-99.99999999999999
2017-08-24,1503547200000,159.86,11.28,1.23611,22.388573109248362,4.172357154506429,-4.172357154506429,-100.0,4.010024937487799,0.009975062512211252,0.2487531291628433,8.182382091994228,-4.1623820919942185,-50.87005281831996,9.317071825063096,-5.344071825063112,-57.35784724431832,1.1698562188953936,-1.1698562188953936,-100.0,2.8401687185924054,-2.8401687185924054,-100.0
2017-08-25,1503633600000,161.47,11.32,1.23444,22.49759764473886,4.234380352851048,-4.234380352851048,-100.0,4.070634646617123,1.4993653533828706,36.8336999889909,8.30501499946817,-2.735014999468177,-32.93208982335757,9.424830003680995,-6.921330003680992,-73.43718667581031,1.1957715827587665,-1.1957715827587665,-100.0,2.8748630638583563,-2.8748630638583563,-100.0
2017-08-28,1503892800000,162.91,11.7,1.23389,22.571219202508093,4.285808304133937,-4.285808304133937,-100.0,4.120675872584286,2.239324127415699,54.343612471788646,8.406484176718223,-2.046484176718238,-24.344115015240025,9.518450271138649,-7.732950271138633,-81.24169429750646,1.216074461166485,-1.216074461166485,-100.0,2.9046014114178007,-2.9046014114178007,-100.0
2017-08-29,1503979200000,163.35,11.22,1.23556,22.54669302073534,4.2929173441760335,-4.2929173441760335,-100.0,4.127114922879997,3.2228850771199973,78.09050965004371,8.42003226705603,-1.0700322670560354,-12.708172998844814,9.541107747839634,-8.723607747839639,-91.43181251479841,1.21609544760841,-1.21609544760841,-100.0,2.911019475271587,-2.911019475271587,-100.0
2017-08-30,1504065600000,164.0,10.59,1.23556,22.44745362088823,4.291406549087596,-4.291406549087596,-100.0,4.124944369151565,2.8850556308484268,69.94168581822203,8.416350918239159,-1.4063509182391698,-16.709746681206607,9.5660288393628,-8.376028839362803,-87.5601462217705,1.2078897684235983,-1.2078897684235983,-100.0,2.9170546007279663,-2.9170546007279663,-100.00000000000001
2017-08-31,1504152000000,164.05,10.13,1.23889,22.438526483734464,4.291263183964092,-4.291263183964092,-100.0,4.12430170711815,0.04569829288186611,1.1080249731244256,8.41556489108224,-4.245564891082225,-50.44895911361982,9.568106842881503,-5.535606842881536,-57.85477664267434,1.206993439877877,-1.206993439877877,-100.0,2.917308267240273,-2.917308267240273,-100.0
2017-09-01,1504238400000,162.08,12.23,1.23722,22.674894299043174,4.2833880972429625,-4.2833880972429625,-100.0,4.1186538281504985,-2.5086538281504858,-60.909557657022326,8.402041925393464,-6.792041925393447,-80.837991356195,9.483801400647607,-2.989801400647636,-31.52534805762039,1.2233038450097666,-1.2233038450097666,-100.0,2.895349983140732,-2.895349983140732,-99.99999999999999
2017-09-05,1504584000000,161.91,11.63,1.23167,22.683535322902014,4.280129772636812,-4.280129772636812,-100.0,4.116306114279041,-1.966306114279036,-47.76870474861242,8.396435886915853,-6.246435886915847,-74.39389725644965,9.474434773126786,-3.5289347731268066,-37.24691612354807,1.2233022976869208,-1.2233022976869208,-100.0,2.8930038165921204,-2.8930038165921204,-99.99999999999999
2017-09-06,1504670400000,161.26,11.55,1.23056,22.73221594028605,4.271842565417431,-4.271842565417431,-100.0,4.1088235629295715,1.1711764370704287,28.503935959600692,8.380666128347004,-3.100666128347002,-36.99784815265723,9.442620706242538,-6.659620706242549,-70.52724993856695,1.224752653879115,-1.224752653879115,-100.0,2.8840709090504566,-2.8840709090504566,-100.0
