Datetime,Timestamp,Price,VIX,5-Month-LIBOR,5-Month-VM,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,105-Straddles,105-Straddles-P,105-Straddles-ROI
2017-01-27,1485493200000,121.63,11.88,1.252186667,18.10387202138545,3.4424504997729097,32.84604950022709,954.1473291306253,8.868438689005048,-8.868438689005048,-100.0,12.310889188777958,23.977610811222043,194.76749764817097
2017-01-30,1485752400000,121.35,11.99,1.24904,17.984651166278933,3.398823388049728,33.23367661195028,977.7994563883484,8.813959860989302,-8.813959860989302,-100.0,12.21278324903903,24.41971675096098,199.95210144159776
2017-01-31,1485838800000,128.75,11.81,1.243113333,19.368488093308137,4.039917468226129,22.852582531773887,565.6695393286866,9.788548230393415,-9.788548230393415,-100.0,13.828465698619544,13.064034301380469,94.47204473801177
2017-02-01,1485925200000,128.53,11.93,1.245146667,19.356203416641282,4.029523145018551,22.92397685498144,568.9004884689873,9.767209036225708,-9.767209036225708,-100.0,13.79673218124426,13.156767818755732,95.36147868871068
2017-02-02,1486011600000,129.08,10.97,1.244593333,19.309231435445927,4.031796183718272,21.6942038162817,538.0778895493299,9.794341159747546,-9.794341159747546,-100.0,13.826137343465817,11.899862656534154,86.06787536475606
2017-02-03,1486098000000,130.29,11.37,1.2421866670000001,19.33216137946425,4.076458062076085,17.749041937923923,435.40352108723954,9.894367472983845,-9.894367472983845,-100.0,13.97082553505993,7.854674464940075,56.221978044380336
2017-02-06,1486357200000,131.53,11.29,1.241723333,19.29764041892233,4.104034765160627,19.28946523483936,470.0122279320994,9.977576194192068,-9.977576194192068,-100.0,14.081610959352695,9.311889040647294,66.1280095546351
2017-02-07,1486443600000,132.04,11.45,1.236533333,19.29353238876498,4.117620928535459,18.10037907146456,439.583424157076,10.016878719123724,-10.016878719123724,-100.0,14.134499647659183,8.083500352340835,57.18985852944249
2017-02-08,1486530000000,132.42,10.88,1.2345,19.291772204656702,4.128507968969386,16.480492031030618,399.1876037275689,10.045899291624806,-10.045899291624806,-100.0,14.174407260594194,6.434592739405815,45.39585057143388
2017-02-09,1486616400000,132.12,10.85,1.237553333,19.286601969195125,4.118067560877783,15.435932439122222,374.8343661421617,10.0203210158719,-10.0203210158719,-100.0,14.138388576749684,5.4156114232503185,38.30430458076524
2017-02-10,1486702800000,133.29,11.07,1.2382933329999999,19.30593001841504,4.160993687263692,15.764506312736307,378.8639805195955,10.115091599027409,-10.115091599027409,-100.0,14.2760852862911,5.6494147137089,39.5725760978317
2017-02-13,1486962000000,135.02,10.74,1.236816667,19.35398841487393,4.230618028105589,12.668381971894386,299.4451847870347,10.262851447652436,-10.262851447652436,-100.0,14.493469475758024,2.4055305242419482,16.59734081108372
2017-02-14,1487048400000,135.51,11.97,1.2433,19.32779410433752,4.2385479663753145,12.205952033624689,287.9748472933497,10.288901155051878,-10.288901155051878,-100.0,14.527449121427193,1.9170508785728124,13.19605983506951
2017-02-15,1487134800000,135.345,11.76,1.261353333,19.199031761969877,4.194229389504883,9.763520610495092,232.7846119939484,10.22672609595574,-10.22672609595574,-100.0,14.420955485460624,-0.463205485460648,-3.212030478338673
2017-02-16,1487221200000,135.72,11.49,1.255703333,19.197072032153294,4.204083654986974,6.679916345013013,158.8911375987762,10.256586385384182,-10.256586385384182,-100.0,14.460670040371156,-3.5766700403711695,-24.733778105619294
2017-02-17,1487307600000,136.7,11.57,1.254776667,19.176886746561816,4.227496220795167,4.1275037792048215,97.63471245465628,10.324246351705467,-10.324246351705467,-100.0,14.551742572500634,-6.196742572500645,-42.584195958847076
2017-02-21,1487653200000,137.11,11.74,1.259406667,19.175956869354085,4.240785991365712,2.34371400863428,55.266028830648544,10.353096738990317,-10.353096738990317,-100.0,14.593882730356029,-8.009382730356037,-54.88178080050012
2017-02-22,1487739600000,136.53,11.71,1.25996,19.19301630736875,4.228662682329109,5.5548373176708665,131.36156120665822,10.314792949028543,-10.314792949028543,-100.0,14.543455631357652,-4.759955631357677,-32.7291927861668
2017-02-23,1487826000000,136.66,11.47,1.259036667,19.169353053683636,4.22458326952335,6.5124167304766445,154.15524597320638,10.317050253073091,-10.317050253073091,-100.0,14.541633522596442,-3.804633522596447,-26.163728556935336
2017-02-24,1487912400000,136.93,12.09,1.2584799999999998,19.125844983520512,4.218227133459031,5.285272866540943,125.29607105833851,10.323058257877364,-10.323058257877364,-100.0,14.541285391336395,-5.037785391336421,-34.644704754490974
2017-02-27,1488171600000,136.99,12.92,1.25904,19.017962032149274,4.184006330441599,6.0964936695583924,145.70947527497984,10.291183150414595,-10.291183150414595,-100.0,14.475189480856194,-4.194689480856205,-28.97847718265649
2017-02-28,1488258000000,139.79,12.54,1.27126,19.121339740562608,4.307384142894534,2.723115857105455,63.21971216794096,10.532055365828226,-10.532055365828226,-100.0,14.83943950872276,-7.808939508722743,-52.62287368827222
2017-03-01,1488344400000,138.96,11.81,1.30178,17.447664230166946,3.7215097203204484,4.850490279679526,130.33662798714565,9.891018136540142,-9.891018136540142,-100.0,13.61252785686059,-5.040527856860615,-37.02859534880757
2017-03-02,1488430800000,139.78,10.96,1.310666667,17.391584855453626,3.726254376085585,2.9847456239143995,80.1004258611529,9.926837541613537,-9.926837541613537,-100.0,13.653091917699122,-6.942091917699138,-50.84629884238741
2017-03-03,1488517200000,139.34,11.24,1.3156700000000001,17.399262226591546,3.7180948816423656,5.364905118357606,144.29177546937177,9.896167707245214,-9.896167707245214,-100.0,13.614262588887579,-4.531262588887609,-33.283202518704016
2017-03-06,1488776400000,139.52,11.45,1.316073333,17.28044713141276,3.6828911738871004,5.121108826112902,139.051320941092,9.868703347662702,-9.868703347662702,-100.0,13.551594521549802,-4.7475945215498,-35.03347531539669
