Datetime,Timestamp,Price,VIX,11-Month-LIBOR,11-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2016-03-08,1457413200000,11.48,18.67,1.136874324,,,,,,,,,,
2016-03-09,1457499600000,12.03,18.34,1.1532986490000001,,,,,,,,,,
2016-03-10,1457586000000,11.3,18.05,1.148483784,,,,,,,,,,
2016-03-11,1457672400000,11.1,16.5,1.150237838,,,,,,,,,,
2016-03-14,1457928000000,11.61,16.92,1.152256757,,,,,,,,,,
2016-03-15,1458014400000,11.95,16.84,1.1641486490000001,,,,,,,,,,
2016-03-16,1458100800000,11.87,14.99,1.170508108,,,,,,,,,,
2016-03-17,1458187200000,11.95,14.44,1.17557027,,,,,,,,,,
2016-03-18,1458273600000,12.04,14.02,1.182778378,,,,,,,,,,
2016-03-21,1458532800000,13.4,13.79,1.142813514,,,,,,,,,,
2016-03-22,1458619200000,13.06,14.17,1.1508621620000001,,,,,,,,,,
2016-03-23,1458705600000,12.59,14.94,1.163954054,,,,,,,,,,
2016-03-24,1458792000000,12.88,14.74,1.176045946,,,,,,,,,,
2016-03-25,1458878400000,13.4,15.24,1.170562162,,,,,,,,,,
2016-03-28,1459137600000,13.74,13.82,1.170562162,,,,,,,,,,
2016-03-29,1459224000000,15.02,13.56,1.170562162,,,,,,,,,,
2016-03-30,1459310400000,15.28,13.95,1.177210811,,,,,,,,,,
2016-03-31,1459396800000,14.22,13.1,1.154508108,,,,,,,,,,
2016-04-01,1459483200000,14.28,14.12,1.1516189190000001,,,,,,,,,,
2016-04-04,1459742400000,14.26,15.42,1.154316216,,,,,,,,,,
2016-04-05,1459828800000,14.97,14.09,1.161451351,,,,,,,,,,
2016-04-06,1459915200000,14.81,16.16,1.146008108,,,,,,,,,,
2016-04-07,1460001600000,15.13,15.36,1.152118919,,,,,,,,,,
2016-04-08,1460088000000,15.36,16.26,1.146731081,,,,,,,,,,
2016-04-11,1460347200000,15.48,14.85,1.1459675679999999,,,,,,,,,,
2016-04-12,1460433600000,15.01,13.84,1.1486837840000002,,,,,,,,,,
2016-04-13,1460520000000,14.82,13.72,1.149474324,,,,,,,,,,
2016-04-14,1460606400000,14.33,13.62,1.157312162,,,,,,,,,,
