Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-04-02,1396411200000,437.515,13.09,0.121,160.90118059366085,38.81672416664168,-36.13342416664165,-93.0872579858091,38.806571539097945,-38.806571539097945,-100.0,49.7787762472268,-25.21972624722679,-50.66361238366479,27.89338125106025,-27.89338125106025,-100.0,10.913190288037693,-10.913190288037693,-99.99999999999999
2014-04-03,1396497600000,447.0822,13.37,0.121,101.51430533082608,25.05847559731066,-25.05847559731066,-100.0,25.04810096087985,61.19339903912012,244.30354674269333,37.21542264623372,-37.21542264623372,-100.0,14.851456741624505,49.03593325837547,330.1759154773107,10.196644219255345,-10.196644219255345,-100.0
2014-04-04,1396584000000,448.8792,13.37,0.1206,90.05941442261354,22.324710378653773,-22.324710378653773,-100.0,22.314328476231278,6.5085715237687225,29.167678205963067,34.802125838475426,-34.802125838475426,-100.0,12.348303031174028,-5.969363031174026,-48.34156576902927,9.96602544505725,-9.96602544505725,-100.0
2014-04-05,1396670400000,464.8259,13.96,0.12135,97.16532672302364,24.938819828321808,-24.938819828321808,-100.0,24.92800224568512,19.237897754314844,77.17384475783574,37.679481659545495,-37.679481659545495,-100.0,14.427909956040622,6.496695043959362,45.02866363703186,10.500092289644499,-10.500092289644499,-100.0
2014-04-06,1396756800000,460.7028,15.57,0.12135,84.71277882647588,21.55442434577131,-21.55442434577131,-100.0,21.543702717286376,24.20959728271365,112.37435644378895,34.50883703962211,-34.50883703962211,-100.0,11.463511492561482,11.254648507438588,98.1780191413563,10.080191224724894,-10.080191224724894,-100.0
2014-04-07,1396843200000,446.2195,14.89,0.1182,87.75419156570341,21.62512133006353,-10.21082133006351,-47.217405970658255,21.61500632103053,-21.61500632103053,-100.0,34.08894028629339,-0.3636652862933829,-1.0668131166271742,11.768356027711945,-11.768356027711945,-100.0,9.846650293318586,-9.846650293318586,-100.0
2014-04-08,1396929600000,450.4638,14.89,0.1185,79.78025462880206,19.84971176712301,49.80978823287697,250.93456679495318,19.83947463078789,-19.83947463078789,-100.0,32.662591918559436,59.520098081440544,182.22711237934624,10.129676639041065,-10.129676639041065,-100.0,9.709797991746825,-9.709797991746825,-100.0
2014-04-09,1397016000000,440.1983,13.82,0.11925,45.59940217901286,11.092774531855982,77.87142546814404,702.0013364962448,11.082707372153832,-11.082707372153832,-100.0,25.203518726573922,85.77059627342607,340.31199057531535,3.1840399248569184,-3.1840399248569184,-100.0,7.898667447296914,-7.898667447296914,-100.0
2014-04-10,1397102400000,360.8407,15.89,0.11925,147.80428850034858,29.418027128749145,104.1412728712508,354.0049521861968,29.40977484573505,-29.40977484573505,-100.0,38.59671033129146,113.00462466870847,292.7830473082893,20.546835662428066,-20.546835662428066,-100.0,8.862939183306985,-8.862939183306985,-100.0
2014-04-11,1397188800000,420.0563,15.89,0.12045,198.72324161535118,45.977025867126635,12.197874132873352,26.530367945341105,45.96732267866892,-45.96732267866892,-100.0,56.100801150324116,23.07691384967586,41.13473137012864,35.08876812128926,-35.08876812128926,-100.0,10.878554557379658,-10.878554557379658,-99.99999999999999
2014-04-12,1397275200000,420.66,17.03,0.11875,195.62044914889785,45.32863815915186,35.56286184084809,78.45561500432576,45.319058168924435,-45.319058168924435,-100.0,55.49723520165725,46.427264798342655,83.65689683394581,34.45513421094123,-34.45513421094123,-100.0,10.863923957983204,-10.863923957983204,-100.0
2014-04-13,1397361600000,414.9495,16.11,0.11875,195.57141212910182,44.702158590098286,37.66604140990171,84.26000577574992,44.69270864916058,-44.69270864916058,-100.0,54.73319108611207,48.38248391388788,88.39697257513711,33.97673864222131,-33.97673864222131,-100.0,10.715970006939273,-10.715970006939273,-100.00000000000001
2014-04-14,1397448000000,457.6338,16.11,0.1204,210.6058497755844,53.06428330143692,-17.605983301436908,-33.178594350223065,53.05371647092298,-53.05371647092298,-100.0,63.97123721293039,-5.63124721293039,-8.80277990276567,41.07950872394207,-41.07950872394207,-100.0,11.974207746980909,-11.974207746980909,-100.00000000000001
2014-04-15,1397534400000,520.1233,15.61,0.12065,229.1841910703835,65.58713574120526,-65.58713574120526,-100.0,65.57510108227208,-29.88080108227209,-45.56729702144556,77.77716831828047,-77.77716831828047,-100.0,51.759570392294044,-42.07143539229406,-81.2824277199906,13.81553068997804,-13.81553068997804,-100.0
2014-04-16,1397620800000,529.1625,14.18,0.1215,226.351434652548,65.90910094416083,-65.90910094416083,-100.0,65.89677087668503,-23.66597087668498,-35.913703451375426,78.34217798151387,-78.34217798151387,-100.0,51.87233941741179,-36.09966441741173,-69.59328386352728,14.024431459273238,-14.024431459273238,-100.0
2014-04-17,1397707200000,494.4,14.18,0.1215,155.98311612315555,42.528372228027,-36.671572228026974,-86.22848772909235,42.516852164983895,-42.516852164983895,-100.0,54.98462457145797,-24.407824571457983,-44.39027230191886,30.253680511566984,-30.253680511566984,-100.0,12.263171653416912,-12.263171653416912,-100.0
2014-04-18,1397793600000,478.2312,13.36,0.11875,134.58558978483646,35.51260596707335,-35.51260596707335,-100.0,35.50171486684405,-16.88091486684408,-47.54957592938586,47.88027620305832,-42.589516203058345,-88.95002197238364,23.95836965784053,-23.95836965784053,-100.0,11.543345209003515,-11.543345209003515,-99.99999999999999
2014-04-19,1397880000000,501.5515,13.25,0.11875,135.14721052385005,37.39927360050774,-37.39927360050774,-100.0,37.387851410452726,8.024148589547252,21.461914196288628,50.36051926405969,-50.36051926405969,-100.0,25.272093183507423,-4.937668183507412,-19.53802618427245,12.115758226945303,-12.115758226945303,-100.00000000000001
2014-04-20,1397966400000,497.3177,13.25,0.11875,134.29003628496793,36.84908282892477,-36.84908282892477,-100.0,36.83775705821694,30.82624294178305,83.68110711264659,49.7153390088983,-49.7153390088983,-100.0,24.83869452672596,17.959420473274037,72.3042044498355,11.999062531490978,-11.999062531490978,-99.99999999999999
2014-04-21,1398052800000,493.0921,13.19,0.11875,120.877961586073,32.89653663608195,-32.89653663608195,-100.0,32.88530709797695,23.148092902023077,70.39038082587076,45.892516221869066,-45.892516221869066,-100.0,21.227243160669392,10.151551839330693,47.8232230275661,11.658063937307556,-11.658063937307556,-100.0
2014-04-22,1398139200000,484.429,13.27,0.11925,69.86363941020042,18.69598593367067,-18.69598593367067,-100.0,18.68490723548544,21.490792764514516,115.01685554906193,32.841372070547145,-32.841372070547145,-100.0,8.609397307271253,7.344852692728749,85.31204253433043,10.075509928214187,-10.075509928214187,-100.0
2014-04-23,1398225600000,486.9317,13.32,0.1213,67.48766149733476,18.154216730548143,-18.154216730548143,-100.0,18.14288936349556,22.923310636504425,126.3487318763423,32.47320333347011,-32.47320333347011,-100.0,8.115857334770283,8.60375766522975,106.0116918069664,10.027032028725277,-10.027032028725277,-100.0
2014-04-24,1398312000000,500.2568,13.32,0.1213,52.70905659975338,14.570113462136845,-14.570113462136845,-100.0,14.558476116705975,29.431023883294053,202.1573112966246,30.081193960139213,-30.081193960139213,-100.0,5.057298481979885,13.919361518020153,275.2331421136697,9.50117763472609,-9.50117763472609,-100.0
2014-04-25,1398398400000,459.6104,14.06,0.11925,79.68221882003304,20.2279334141758,-20.2279334141758,-100.0,20.217422307482366,-7.250822307482338,-35.86422738371965,33.30409633856834,-23.29017633856841,-69.93186694453814,10.31359078720962,-10.31359078720962,-100.0,9.903831520272746,-9.903831520272746,-100.0
2014-04-26,1398484800000,456.1395,13.97,0.11975,66.02624022127281,16.63824054217355,-16.63824054217355,-100.0,16.627765075178242,2.5736349248217323,15.477936530770616,30.112226881843924,-26.506651881843933,-88.02620937286457,7.295300188198439,-7.295300188198439,-100.0,9.332464886979803,-9.332464886979803,-100.0
2014-04-27,1398571200000,429.6537,13.97,0.11975,73.59725943136836,17.467172821089576,-13.056572821089587,-74.74920500772339,17.4573056134617,-17.4573056134617,-100.0,29.88287566915051,-3.9895906691505165,-13.350758853737617,8.390816821904025,-8.390816821904025,-100.0,9.066488791557674,-9.066488791557674,-100.0
2014-04-28,1398657600000,437.0587,13.71,0.122,78.38445506144917,18.92262905985584,-18.92262905985584,-100.0,18.912403203325965,-11.577903203325976,-61.218572165857104,31.39688691616629,-16.878451916166284,-53.75836133446578,9.53423735246284,-9.53423735246284,-100.0,9.378165850863125,-9.378165850863125,-100.0
2014-04-29,1398744000000,444.2533,13.41,0.12075,82.02654235827785,20.12659283182211,-20.12659283182211,-100.0,20.11630513993248,-2.8550051399324734,-14.192492707147592,32.69547873536845,-27.744113735368558,-84.85611714061328,10.473040428073377,-10.473040428073377,-100.0,9.643264711859102,-9.643264711859102,-100.0
2014-04-30,1398830400000,445.8655,13.41,0.12175,81.83488347506542,20.152538492153553,-20.152538492153553,-100.0,20.14212795965574,-11.237127959655766,-55.78917968430892,32.772709303025465,-19.384434303025447,-59.14809826612638,10.469544297152595,-10.469544297152595,-100.0,9.672583662503143,-9.672583662503143,-100.0
2014-05-01,1398916800000,456.2673,13.25,0.12175,80.71836960861384,20.341688239674056,-20.341688239674056,-100.0,20.331034835106294,0.5932651648936655,2.9180273886957013,33.29043290350387,-31.401367903503854,-94.32550184770595,10.466947169164458,-10.466947169164458,-100.0,9.864087665941836,-9.864087665941836,-100.0
2014-05-02,1399003200000,446.6438,12.91,0.1225,55.573070878613656,13.714888349424028,-12.123688349424016,-88.39800981634066,13.704395402584822,-13.704395402584822,-100.0,27.401962504354852,-3.4785725043548723,-12.694610846949525,5.059804204857656,-5.059804204857656,-100.0,8.644591197727166,-8.644591197727166,-100.0
