Datetime,Timestamp,Price,VIX,3-Month-LIBOR,3-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2017-06-06,1496721600000,24.290001,10.39,1.21956,36.71408223756745,1.7982416477441063,6.721758352255892,373.79616697724333,1.725308069378917,-1.725308069378917,-100.0,,,
2017-06-07,1496808000000,24.780001000000002,10.16,1.219,36.777964065458995,1.837619145468583,6.602380854531423,359.28994703893613,1.7632483986554792,-1.7632483986554792,-100.0,,,
2017-06-08,1496894400000,23.030001000000002,10.7,1.2209999999999999,38.89443229440634,1.803873381696304,7.8561246183036975,435.5141939572307,1.7346415745866146,-1.7346415745866146,-100.0,,,
2017-06-09,1496980800000,23.6,11.46,1.22811,39.01598947774842,1.8543599283958925,7.0656400716041095,381.02851358075975,1.7830021184270777,-1.7830021184270777,-100.0,,,
2017-06-12,1497240000000,23.48,10.42,1.23644,39.01213447125488,1.844977650437297,6.795021349562703,368.29830149715616,1.7735018671784069,-1.7735018671784069,-100.0,,,
2017-06-13,1497326400000,23.469998999999998,10.64,1.24167,39.02174236880868,1.844776811270828,7.185224188729171,389.4901618900674,1.7730297289521602,-1.7730297289521602,-100.0,,,
2017-06-14,1497412800000,23.99,10.9,1.24556,39.10763457717209,1.8898130180221,6.650185981977898,351.89650608598635,1.8162469059659967,-1.8162469059659967,-100.0,,,
2017-06-15,1497499200000,23.559998999999998,10.38,1.25033,39.309087778515504,1.865411131503647,7.284588868496356,390.5084914243267,1.792887378499092,-1.792887378499092,-100.0,,,
2017-06-16,1497585600000,24.200001,10.37,1.26744,39.41802452504949,1.9217491635680373,6.778251836431964,352.712620613142,1.84623750880961,-1.84623750880961,-100.0,,,
2017-06-19,1497844800000,23.85,10.86,1.27356,39.49529534085289,1.8977500421530475,8.362250957846955,440.6402725387249,1.82297172060629,-1.82297172060629,-100.0,,,
2017-06-20,1497931200000,24.16,10.75,1.2802200000000001,39.45299358011585,1.9205901766748088,9.119410823325193,474.8233607605957,1.8444443873940823,-1.8444443873940823,-100.0,,,
2017-06-21,1498017600000,24.280001000000002,10.48,1.28722,39.3424350010746,1.925041612155054,9.544957387844947,495.8312239889463,1.848099857121129,-1.848099857121129,-100.0,,,
2017-06-22,1498104000000,24.17,10.02,1.28944,39.36236589217935,1.9173299679965223,11.102669032003476,579.0692899670785,1.840604912739204,-1.840604912739204,-100.0,,,
2017-06-23,1498190400000,23.93,9.9,1.29556,38.99271694537377,1.8810493659880356,10.658951634011967,566.6492239247146,1.8047262003145388,-1.8047262003145388,-100.0,,,
2017-06-26,1498449600000,23.32,11.06,1.29328,38.90199372308712,1.8288739725019292,10.92112602749807,597.1502788985397,1.754627047170528,-1.754627047170528,-100.0,,,
2017-06-27,1498536000000,24.299999,10.03,1.29483,39.35195547337671,1.9272950060734928,10.662704993926509,553.2471656038689,1.8498353533855705,-1.8498353533855705,-100.0,,,
2017-06-28,1498622400000,23.4,11.44,1.29639,39.83471039803407,1.8781876856060595,11.901812314393942,633.6859945151556,1.8035071831026352,-1.8035071831026352,-100.0,,,
2017-06-29,1498708800000,23.459999,11.18,1.29861,33.608867648741146,1.5954301218699438,11.704568878130061,733.6309323539392,1.5204301248958227,-1.5204301248958227,-100.0,,,
2017-06-30,1498795200000,22.83,11.22,1.2991700000000002,33.92752264739572,1.5669364787964266,12.313062521203577,785.8048292207299,1.4939191217640175,-1.4939191217640175,-100.0,,,
2017-07-03,1499054400000,23.76,11.07,1.30072,34.22788790833743,1.6448720730417603,12.55512692695824,763.2889592283502,1.5687897720046085,-1.5687897720046085,-100.0,,,
2017-07-05,1499227200000,23.219998999999998,12.54,1.30211,33.91884774790685,1.5933866714311478,14.396613328568854,903.5228916304483,1.5189541876142894,-1.5189541876142894,-100.0,,,
2017-07-06,1499313600000,23.59,11.19,1.3030000000000002,33.94826116299775,1.6201683107208442,14.769831689279153,911.6232919472279,1.5444981735802834,-1.5444981735802834,-100.0,,,
2017-07-07,1499400000000,23.940001000000002,11.11,1.30411,33.87738294273619,1.6408939154662132,14.159107084533785,862.8898523589735,1.5640357596020156,-1.5640357596020156,-100.0,,,
2017-07-10,1499659200000,25.440001000000002,10.89,1.30522,35.14936159829619,1.807494346097128,13.41250465390287,742.0496049054933,1.7257511112086448,-1.7257511112086448,-100.0,,,
2017-07-11,1499745600000,26.209999,10.3,1.30411,35.385112825923116,1.8743405878779773,13.815662412122025,737.094554824923,1.7901947188639171,-1.7901947188639171,-100.0,,,
2017-07-12,1499832000000,25.98,9.9,1.3035,35.41322623262169,1.8593131701108288,16.340686829889172,878.8560793615605,1.7759446525332887,-1.7759446525332887,-100.0,,,
2017-07-13,1499918400000,26.33,9.51,1.30389,35.441603136181776,1.885845376829573,16.99415362317043,901.1424707438367,1.8013284879789584,-1.8013284879789584,-100.0,,,
