Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2016-08-23,1471924800000,12.16,13.45,0.435336667,41.02499942310345,0.23326631018013355,-0.2032663101801342,-87.13916296921202,0.23254116825839066,-0.23254116825839066,-100.0,,,,0.048440535172030064,-0.048440535172030064,-100.0,0.6556791361542018,-0.07767913615420062,-11.847126417628171,0.1848257750081035,-0.1848257750081035,-100.0,0.6990737886186578,-0.639073788618659,-91.41721503840728
2016-08-24,1472011200000,12.31,13.63,0.434966667,38.1225323001762,0.2194654583466571,-0.2194654583466571,-100.0,0.21873199531197152,0.09126800468802898,41.72595077270515,,,,0.03921658118201399,-0.03921658118201399,-100.0,0.6539464449955936,0.2715535550044077,41.525350750433006,0.1802488771646431,-0.1802488771646431,-100.0,0.6576629120052857,-0.3476629120052852,-52.86339029598358
2016-08-25,1472097600000,12.04,13.65,0.434776667,44.42834286712957,0.25009022468378994,-0.2400902246837884,-96.0014430741364,0.249373162329249,-0.249373162329249,-100.0,,,,0.06014680653915905,-0.06014680653915905,-100.0,0.6613938910668935,-0.06939389106689475,-10.492067133392414,0.1899434181446309,-0.1899434181446309,-100.0,0.7495536116968289,-0.7295536116968258,-97.33174522970712
2016-08-26,1472184000000,12.01,12.94,0.434743333,44.6657936351695,0.2507981302485094,-0.2507981302485094,-100.0,0.2500829094322006,-0.07008290943220086,-28.0238700002812,,,,0.060878199860544775,-0.060878199860544775,-100.0,0.6606272180034214,0.11987278199657858,18.145298699448645,0.18991993038796465,-0.18991993038796465,-100.0,0.7516791699292193,-0.5716791699292196,-76.05361340304945
2016-08-29,1472443200000,12.07,13.12,0.434403333,23.64417265942021,0.1336051380049117,-0.1336051380049117,-100.0,0.132886906193046,0.0071130938069545735,5.352742426421846,,,,0.005387228342929429,-0.005387228342929429,-100.0,0.6081330849404711,0.1353669150595298,22.259422881552414,0.12821790966198227,-0.12821790966198227,-100.0,0.4000971822028694,-0.2600971822028688,-65.0085013772945
2016-08-30,1472529600000,12.19,13.42,0.434403333,22.023045009722686,0.12570737050950953,-0.12570737050950953,-100.0,0.12498199803339992,0.2850180019666002,228.04724396423282,,,,0.003647215100628265,-0.003647215100628265,-100.0,0.6123855740007134,0.4071144259992874,66.48008106063143,0.12206015540888128,-0.12206015540888128,-100.0,0.376396739052419,0.03360326094758115,8.92761744753091
2016-08-31,1472616000000,12.0,13.48,0.4357,21.55439323665081,0.12112347059530125,-0.12112347059530125,-100.0,0.12040727279054142,0.6095927272094589,506.2756701332293,,,,0.0031569679911149784,-0.0031569679911149784,-100.0,0.6024049602961163,0.7275950397038855,120.78171457058241,0.11796650260418627,-0.11796650260418627,-100.0,0.36265421398114395,0.3673457860188565,101.29367641594713
2016-09-01,1472702400000,12.05,11.98,0.43552,15.732210994917786,0.08887276320326443,-0.08887276320326443,-100.0,0.08815387834654054,0.6318461216534601,716.7536284332474,,,,0.0002867310152045721,-0.0002867310152045721,-100.0,0.6020319019156464,0.7204680980843552,119.67274421701715,0.08858603218805985,-0.08858603218805985,-100.0,0.2658994047530694,0.45410059524693125,170.7790943227711
2016-09-02,1472788800000,11.83,12.02,0.434036667,20.70823136161303,0.11473274813823232,-0.11473274813823232,-100.0,0.11402939181934445,0.4859706081806552,426.1801281467617,,,,0.002424579116089676,-0.002424579116089676,-100.0,0.5931860549812598,0.5983139450187398,100.86446570926924,0.11230816902214263,-0.11230816902214263,-100.0,0.3434948880958091,0.25650511190419056,74.67508856569798
2016-09-06,1473134400000,11.93,11.94,0.43548,21.665793428195386,0.12103721635762454,-0.12103721635762454,-100.0,0.12032555588618445,0.5296744441138159,440.2011195483969,,,,0.0032379150477053753,-0.0032379150477053753,-100.0,0.5989906715526967,0.6475093284473044,108.1000688656533,0.11779930130991915,-0.11779930130991915,-100.0,0.3623999886014335,0.28760001139856683,79.35982904096295
2016-09-07,1473220800000,11.78,12.51,0.435666667,19.44935389367736,0.10732551324755236,-0.10732551324755236,-100.0,0.1066224995220848,0.2933775004779138,275.15533943860163,,,,0.001587144531714796,-0.001587144531714796,-100.0,0.5898489801199744,0.39915101988002455,67.6700364555751,0.10573836871583757,-0.10573836871583757,-100.0,0.3212735260171895,0.07872647398280908,24.504500871508746
2016-09-08,1473307200000,11.27,17.5,0.436406667,33.28715321333988,0.17548650885139327,-0.07548650885139363,-43.01556247569872,0.17481278883390505,-0.17481278883390505,-100.0,,,,0.022718789381954485,-0.022718789381954485,-100.0,0.5855113833635919,-0.1220113833635903,-20.838430614733827,0.1527677194694388,-0.1527677194694388,-100.0,0.5257858065366916,-0.3257858065366923,-61.96169666172942
