Datetime,Timestamp,Price,VIX,2-Month-LIBOR,2-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2016-06-14,1465876800000,9.06,20.14,0.5397,68.87663581154139,1.0096503996218482,1.2003496003781509,118.88764673670477,1.0016161306378368,-1.0016161306378368,-100.0,,,
2016-06-15,1465963200000,9.05,19.37,0.5372,68.76849591610875,1.006952490021221,1.2730475099787784,126.42577704455047,0.9989642477598446,-0.9989642477598446,-100.0,,,
2016-06-16,1466049600000,9.04,19.41,0.53815,68.479526387235,1.001663363252141,1.1883366367478605,118.63632836581341,0.9936698429895384,-0.9936698429895384,-100.0,,,
2016-06-17,1466136000000,9.2,18.37,0.53375,68.39558886660944,1.0181257156170984,1.0618742843829017,104.29697119861929,1.0100572009865063,-1.0100572009865063,-100.0,,,
2016-06-20,1466395200000,9.35,18.48,0.53575,67.901530124281,1.027341680744418,1.0026583192555831,97.59735617161476,1.01911090152843,-1.01911090152843,-100.0,,,
2016-06-21,1466481600000,8.78,21.17,0.5362,68.57268968846464,0.9741516871346234,1.6158483128653764,165.87235172976438,0.9664161882720056,-0.9664161882720056,-100.0,,,
2016-06-22,1466568000000,9.13,17.25,0.5339,66.29454104210339,0.9796541446783866,1.4403458553216133,147.02595432742936,0.9716447716617448,-0.9716447716617448,-100.0,,,
2016-06-23,1466654400000,8.77,25.76,0.53265,66.39644750890628,0.942449803171678,1.9475501968283224,206.6476315528026,0.9347742480876008,-0.9347742480876008,-100.0,,,
2016-06-24,1466740800000,8.62,23.85,0.53315,65.12674864274248,0.9087949203353284,2.3712050796646733,260.91751027720784,0.9012435673971572,-0.9012435673971572,-100.0,,,
2016-06-27,1467000000000,8.9,18.75,0.5244,65.60192766223982,0.9450352709989716,1.834964729001028,194.1689146756751,0.9373665329693792,-0.9373665329693792,-100.0,,,
2016-06-28,1467086400000,9.3,16.64,0.5294,66.44661719615937,1.0001304651291492,1.5298695348708504,152.96699662811443,0.9920406925374614,-0.9920406925374614,-100.0,,,
2016-06-29,1467172800000,9.05,15.63,0.53365,65.5421962127821,0.9601581959393304,1.5398418040606696,160.3737603420893,0.9522227195443635,-0.9522227195443635,-100.0,,,
2016-06-30,1467259200000,9.27,14.77,0.542,65.87516580191068,0.9885023045850332,1.5214976954149666,153.91948894379982,0.9802467937504886,-0.9802467937504886,-100.0,,,
2016-07-01,1467345600000,8.94,15.58,0.5489999999999999,65.84327242172861,0.9529020823460668,1.9370979176539336,203.2840470748846,0.944837677982164,-0.944837677982164,-100.0,,,
2016-07-05,1467691200000,9.0,14.96,0.5475,65.73571434188428,0.957736272023948,1.6822637279760526,175.64999646729345,0.9496399159306944,-0.9496399159306944,-100.0,,,
2016-07-06,1467777600000,9.08,14.76,0.55,65.74765416955178,0.96643992486388,1.61356007513612,166.95916979665185,0.9582343197374756,-0.9582343197374756,-100.0,,,
2016-07-07,1467864000000,9.3,13.2,0.55025,65.92492663976908,0.9924993619323771,1.3775006380676222,138.7910855061564,0.9840911241216936,-0.9840911241216936,-100.0,,,
2016-07-08,1467950400000,9.24,13.54,0.55425,65.9181070495354,0.9860223758359092,1.403977624164091,142.38800848447858,0.9776076836863136,-0.9776076836863136,-100.0,,,
2016-07-11,1468209600000,9.4,13.55,0.55525,65.89254411786446,1.0027182399651915,1.2872817600348077,128.37921050279235,0.9941424008904108,-0.9941424008904108,-100.0,,,
2016-07-12,1468296000000,9.29,13.04,0.5594,65.77318209076206,0.9892358312900704,1.2407641687099298,125.42652919191569,0.9806970301975158,-0.9806970301975158,-100.0,,,
2016-07-13,1468382400000,9.37,12.82,0.56145,65.69221529471132,0.9965529884311844,1.1134470115688169,111.7298351913682,0.9879091096795998,-0.9879091096795998,-100.0,,,
2016-07-14,1468468800000,9.17,12.67,0.56275,65.53582797879137,0.972992547810044,1.3270074521899566,136.38413317519328,0.9645135921398812,-0.9645135921398812,-100.0,,,
2016-07-15,1468555200000,9.27,12.44,0.56325,65.46252372003231,0.9825175975286156,0.9274824024713846,94.39855375662846,0.9739385656535822,-0.9739385656535822,-100.0,,,
2016-07-18,1468814400000,9.35,11.97,0.56425,65.47227653803165,0.9911497365402829,0.9288502634597168,93.71442368556448,0.982481312086544,-0.982481312086544,-100.0,,,
2016-07-19,1468900800000,9.58,11.77,0.5705,65.5743541530674,1.0171421750068321,0.5928578249931675,58.28662300717061,1.0081621836800894,-1.0081621836800894,-100.0,,,
2016-07-20,1468987200000,9.46,12.74,0.57495,64.80777297961988,0.9928101734719704,0.6671898265280278,67.20215448586599,0.9838735309503086,-0.9838735309503086,-100.0,,,
2016-07-21,1469073600000,9.73,12.02,0.5767,64.6247951786534,1.0183050798193545,0.1816949201806448,17.842876735219384,1.0090854106330278,-1.0090854106330278,-100.0,,,
2016-07-22,1469160000000,9.85,12.87,0.5770000000000001,63.88257115576413,1.019146283908487,0.4708537160915132,46.20079801358457,1.009808055697076,-1.009808055697076,-100.0,,,
2016-07-25,1469419200000,10.1,13.05,0.581,64.04008393045349,1.0475932339577536,0.15240676604224745,14.548277050860904,1.037951647097734,-1.037951647097734,-100.0,,,
2016-07-26,1469505600000,10.13,12.83,0.5870000000000001,63.02374477378535,1.0342426206978574,0.02575737930214128,2.4904581175315936,1.0244725790020688,-1.0244725790020688,-100.0,,,
2016-07-27,1469592000000,10.12,12.72,0.5945,62.61267494759265,1.0266067093790925,0.17339329062090858,16.889943250592967,1.0167216663231482,-1.0167216663231482,-100.0,,,
2016-07-28,1469678400000,10.07,11.87,0.60265,62.612664045708435,1.0215951549222757,0.2584048450777239,25.294251233736876,1.0116241732819171,-1.0116241732819171,-100.0,,,
2016-07-29,1469764800000,10.19,12.44,0.6014,62.54854356709171,1.0327117988539498,-0.15271179885394925,-14.787455611858109,1.02264291481937,-1.02264291481937,-100.0,,,
2016-08-01,1470024000000,10.05,13.37,0.6074,37.57330828693319,0.614913231381589,0.5450867686184111,88.64450150043257,0.6048836584854351,-0.6048836584854351,-100.0,,,
2016-08-02,1470110400000,10.44,12.86,0.6069,37.594892348381705,0.6391347215875127,0.07086527841248813,11.087690281709252,0.6287245136470014,-0.6287245136470014,-100.0,,,
2016-08-03,1470196800000,11.32,12.42,0.6084,40.92443783963072,0.7537604499568236,-0.7537604499568236,-100.0,0.7424448687626786,-0.5624448687626789,-75.75577560392077,,,
2016-08-04,1470283200000,11.15,11.39,0.61105,40.44904168006755,0.7339233329714832,-0.6839233329714842,-93.18729930583339,0.7227291628422616,-0.7227291628422616,-100.0,,,
2016-08-05,1470369600000,11.26,11.5,0.6123,39.39264735767857,0.7220076748048587,-0.7220076748048587,-100.0,0.7106799551826041,-0.5206799551826045,-73.26504024569253,,,
2016-08-08,1470628800000,11.3,11.66,0.6148,39.37689337689772,0.7243074923069406,-0.24430749230694196,-33.72980328131294,0.7128931405744492,-0.7128931405744492,-100.0,,,
2016-08-09,1470715200000,11.07,12.05,0.6268,39.34967908578072,0.70918216098379,0.21081783901620987,29.726895375337648,0.6977819923696336,-0.6977819923696336,-100.0,,,
2016-08-10,1470801600000,11.37,11.68,0.62955,39.64444266713284,0.7338260321117298,0.07617396788827069,10.380385071522332,0.7220655702561922,-0.7220655702561922,-100.0,,,
2016-08-11,1470888000000,11.66,11.55,0.6328,39.67820864745341,0.7532064944182677,-0.1932064944182672,-25.651198688546696,0.7410838450011514,-0.7410838450011514,-100.0,,,
2016-08-12,1470974400000,11.48,11.81,0.6288,39.69940596846103,0.7419355940158061,0.11806440598419332,15.913026270266538,0.7300754933988403,-0.7300754933988403,-100.0,,,
2016-08-15,1471233600000,11.64,12.64,0.63255,39.4113479690704,0.7469068090092357,-0.38690680900923613,-51.80121594050859,0.7348097317481308,-0.7348097317481308,-100.0,,,
2016-08-16,1471320000000,11.4,12.19,0.6320600000000001,39.717905777805406,0.7371338604182949,-0.4871338604182949,-66.08485738829924,0.725295380357025,-0.725295380357025,-100.0,,,
2016-08-17,1471406400000,11.75,11.43,0.63183,37.68386320166232,0.72124494253391,-0.5912449425339092,-81.97561017990934,0.7090474382187493,-0.7090474382187493,-100.0,,,
2016-08-18,1471492800000,11.8,11.34,0.63567,37.530594734357635,0.7214339665557334,-0.1714339665557345,-23.76294636835492,0.7091101500445767,-0.7091101500445767,-100.0,,,
