Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2012-11-27,1353992400000,32.150002,15.92,0.86,53.67203733023487,6.911607336152871,143.19838566384712,2071.8536036445903,6.636302825141603,-6.636302825141603,-100.0,6.3014775317591845,142.2010153682408,2256.629729322268,7.619907895197348,-7.619907895197348,-100.0,0.6101298043936865,4.3898701956063135,719.4977468718686
2012-11-28,1354078800000,33.23,15.51,0.86,53.71595725263346,7.149376794487562,144.29062120551242,2018.2265581073573,6.86482412475819,-6.86482412475819,-100.0,6.518874009995521,143.25962399000446,2197.6130198304427,7.881593706779682,-7.881593706779682,-100.0,0.630502784492041,4.369497215507959,693.0179093543902
2012-11-29,1354165200000,33.689999,15.06,0.86,53.52331886282525,7.22347781759078,149.24652718240918,2066.131176023835,6.934986118564906,-6.934986118564906,-100.0,6.583701174569033,148.20180387543095,2251.0408650971654,7.965284840591867,-7.965284840591867,-100.0,0.6397766430217473,4.360223356978253,681.5227477490203
2012-11-30,1354251600000,33.82,15.87,0.861,53.51428154304637,7.250314460404347,149.54968053959558,2062.664748630162,6.960374244189364,-6.960374244189364,-100.0,6.608037854440712,148.50095714555928,2247.2776399996587,7.994600627414982,-7.994600627414982,-100.0,0.6422766059636347,4.357723394036365,678.4807906086334
2012-12-03,1354510800000,34.619999,16.64,0.86,53.52778535794942,7.423471812487575,146.54652518751243,1974.0968766257806,7.127016406484627,-7.127016406484627,-100.0,6.766047373225313,145.47294967677462,2150.0433214884365,8.185769146922214,-8.185769146922214,-100.0,0.6574244392622619,4.342575560737738,660.5436764125807
2012-12-04,1354597200000,33.900002,17.12,0.86,53.55589554636914,7.272736458806987,150.38725954119303,2067.822206854205,6.9824464776775566,-6.9824464776775566,-100.0,6.6290647003534415,149.33593119964658,2252.745114883016,8.01926032016754,-8.01926032016754,-100.0,0.6436717584535456,4.356328241546454,676.7934408078982
2012-12-05,1354683600000,33.709999,16.46,0.8590000000000001,53.55702265761067,7.231985867051732,155.14801113294828,2145.3030189092106,6.943657120541677,-6.943657120541677,-100.0,6.591930464296462,154.10256658570353,2337.745633397704,7.974685230460903,-7.974685230460903,-100.0,0.6400554027552694,4.359944597244731,681.1823755375427
2012-12-06,1354770000000,33.900002,16.58,0.8590000000000001,53.5249143796835,7.26857719154841,154.1314238084516,2120.517121117857,6.978623309219662,-6.978623309219662,-100.0,6.624822659107405,153.08017824089262,2310.706053851076,8.015371182662214,-8.015371182662214,-100.0,0.6437545324410046,4.356245467558995,676.6935606714682
2012-12-07,1354856400000,34.169998,15.9,0.855,53.52624605100208,7.32609906683774,157.95389993316226,2156.043734764045,7.035190988147633,-7.035190988147633,-100.0,6.677243531653009,156.89425556834698,2349.685986808788,8.080289949028401,-8.080289949028401,-100.0,0.6488555351847305,4.3511444648152695,670.587554373947
2012-12-10,1355115600000,34.57,16.05,0.853,53.48074290296086,7.405557032460963,162.90444796753906,2199.7595488560273,7.111929036249085,-7.111929036249085,-100.0,6.748984954449707,161.8325200455503,2397.879401684719,8.169175558427241,-8.169175558427241,-100.0,0.6565720780112558,4.343427921988744,661.5310134943453
2012-12-11,1355202000000,35.279999,15.57,0.853,53.504994891486646,7.560931458168732,164.45907254183123,2175.116564033283,7.261272927282787,-7.261272927282787,-100.0,6.8909465952357625,163.36505745476424,2370.720120915042,8.340305087805518,-8.340305087805518,-100.0,0.6699848629329699,4.33001513706703,646.2855172744755
2012-12-12,1355288400000,35.259998,15.95,0.852,53.504235143538075,7.556402258110098,168.74359774188991,2233.120895076512,7.257263217014862,-7.257263217014862,-100.0,6.886800742419042,167.65019935758096,2434.3698275593288,8.335704649269044,-8.335704649269044,-100.0,0.6696015156910562,4.330398484308944,646.7127661501476
2012-12-13,1355374800000,33.610001000000004,16.56,0.8495,53.65265497436158,7.221581027222557,169.40842297277743,2345.863355048893,6.93727337523306,-6.93727337523306,-100.0,6.583746564133151,168.3657573858668,2557.294023179561,7.9657235795441785,-7.9657235795441785,-100.0,0.6378344630894057,4.362165536910594,683.9024526492458
2012-12-14,1355461200000,33.810001,17.0,0.846,53.61147986380548,7.2587497134333026,169.1712542865667,2330.583929261155,6.973923618142639,-6.973923618142639,-100.0,6.617022023463847,168.12248192653612,2540.757478672077,8.00845467340865,-8.00845467340865,-100.0,0.6417276899694553,4.358272310030545,679.1466813965886
2012-12-17,1355720400000,34.400002,16.34,0.8440000000000001,53.564346936341686,7.3789320491449715,165.99106995085504,2249.527016176943,7.089817810570392,-7.089817810570392,-100.0,6.725880910697623,164.9241209893024,2452.0820867789653,8.142311060194313,-8.142311060194313,-100.0,0.6530511384473483,4.346948861552652,665.6368246884422
2012-12-18,1355806800000,34.59,15.57,0.8425,53.54812405658385,7.417330822472737,162.69266617752726,2193.4125640534658,7.127134242093438,-7.127134242093438,-100.0,6.760634097431423,161.61986290256857,2390.6021324830026,8.185427688033164,-8.185427688033164,-100.0,0.6566967250413134,4.343303274958687,661.3864679598404
2012-12-19,1355893200000,34.610001000000004,17.36,0.8425,53.54502487823206,7.421208686625852,162.9087923133741,2195.1786992186403,7.130844305674021,-7.130844305674021,-100.0,6.7641232312288615,161.83537771877113,2392.5551351815025,8.18974068122944,-8.18974068122944,-100.0,0.6570854553969907,4.342914544603009,660.9360333473147
2012-12-20,1355979600000,34.43,17.67,0.843,53.530583845989504,7.380775092269435,162.17922990773056,2197.3197649335743,7.091750144051567,-7.091750144051567,-100.0,6.727062462086959,161.11144253791304,2394.974677965617,8.145086266458199,-8.145086266458199,-100.0,0.6537126301824756,4.346287369817524,664.862076873796
2012-12-21,1356066000000,34.0,17.84,0.843,53.452321695183045,7.2783976048882595,165.62159639511174,2275.5227920480497,6.992982320560415,-6.992982320560415,-100.0,6.632625826905015,164.567368173095,2481.179738883101,8.032939778360781,-8.032939778360781,-100.0,0.6457717779832448,4.354228222016755,674.2673449767466
2012-12-24,1356325200000,34.279999,17.84,0.843,53.45589959496945,7.338807227823287,166.55119177217668,2269.4586000397817,7.051041473077903,-7.051041473077903,-100.0,6.687727645892243,165.48827140410773,2474.506740802379,8.09957355340959,-8.09957355340959,-100.0,0.6510795819310449,4.348920418068955,667.9552759388398
2012-12-26,1356498000000,33.59,19.48,0.843,53.472681424205206,7.193249837638044,164.52674816236197,2287.238061737969,6.911276325856508,-6.911276325856508,-100.0,6.555322727253412,163.4851752727466,2493.9302315821233,7.938750539882803,-7.938750539882803,-100.0,0.6379271103846325,4.3620728896153675,683.7886050939729
2012-12-27,1356584400000,33.689999,19.47,0.843,53.43759728022953,7.210134197031152,161.39986980296885,2238.5140885370333,6.92732123692557,-6.92732123692557,-100.0,6.570208709421752,160.35529534057824,2440.6423362263517,7.9577550513108966,-7.9577550513108966,-100.0,0.6399254876094007,4.360074512390599,681.3409680990723
