DATE,USD1WKD156N
2014-07-17,0.12275
2014-07-18,0.122
2014-07-21,0.123
2014-07-22,0.123
2014-07-23,0.123
2014-07-24,0.12325
2014-07-25,0.122
2014-07-28,0.12175
2014-07-29,0.12225
2014-07-30,0.12325
2014-07-31,0.12325
2014-08-01,0.122
2014-08-04,0.1205
2014-08-05,0.122
2014-08-06,0.12
2014-08-07,0.1215
2014-08-08,0.1205
2014-08-11,0.12025
2014-08-12,0.12125
2014-08-13,0.1205
2014-08-14,0.1215
2014-08-15,0.12175
2014-08-18,0.12175
2014-08-19,0.12225
2014-08-20,0.12125
2014-08-21,0.1225
2014-08-22,0.121
2014-08-25,.
2014-08-26,0.123
2014-08-27,0.1235
2014-08-28,0.12425
2014-08-29,0.12325
2014-09-01,0.12445
2014-09-02,0.12225
2014-09-03,0.12125
2014-09-04,0.12125
2014-09-05,0.11825
2014-09-08,0.11985
2014-09-09,0.11955
2014-09-10,0.12125
2014-09-11,0.1215
2014-09-12,0.11925
2014-09-15,0.1193
2014-09-16,0.12175
2014-09-17,0.122
2014-09-18,0.12175
2014-09-19,0.11975
2014-09-22,0.1215
2014-09-23,0.122
2014-09-24,0.122
2014-09-25,0.12175
2014-09-26,0.1175
2014-09-29,0.1225
2014-09-30,0.1185
2014-10-01,0.11775
2014-10-02,0.1195
2014-10-03,0.11845
2014-10-06,0.1205
2014-10-07,0.11875
2014-10-08,0.1173
2014-10-09,0.12
2014-10-10,0.1186
2014-10-13,0.11955
2014-10-14,0.1193
2014-10-15,0.12
2014-10-16,0.12025
2014-10-17,0.1205
2014-10-20,0.1204
2014-10-21,0.11875
2014-10-22,0.11875
2014-10-23,0.1187
2014-10-24,0.1205
2014-10-27,0.1205
2014-10-28,0.11775
2014-10-29,0.1207
2014-10-30,0.122
2014-10-31,0.12075
2014-11-03,0.11975
2014-11-04,0.1185
2014-11-05,0.1207
2014-11-06,0.12225
2014-11-07,0.122
2014-11-10,0.11985
2014-11-11,0.12175
2014-11-12,0.122
2014-11-13,0.1215
2014-11-14,0.12025
2014-11-17,0.12
2014-11-18,0.1218
2014-11-19,0.12175
2014-11-20,0.124
2014-11-21,0.12575
2014-11-24,0.1239
2014-11-25,0.12525
2014-11-26,0.1248
2014-11-27,0.1246
2014-11-28,0.1241
2014-12-01,0.1262
2014-12-02,0.13075
2014-12-03,0.133
2014-12-04,0.1341
2014-12-05,0.134
2014-12-08,0.1366
2014-12-09,0.136
2014-12-10,0.135
2014-12-11,0.1345
2014-12-12,0.1335
2014-12-15,0.1319
2014-12-16,0.131
2014-12-17,0.1305
2014-12-18,0.1308
2014-12-19,0.132
2014-12-22,0.134
2014-12-23,0.13425
2014-12-24,0.133
2014-12-25,.
2014-12-26,.
2014-12-29,0.1326
2014-12-30,0.136
2014-12-31,0.135
2015-01-01,.
2015-01-02,0.1348
2015-01-05,0.13475
2015-01-06,0.1335
2015-01-07,0.1342
2015-01-08,0.1341
2015-01-09,0.1349
2015-01-12,0.1319
2015-01-13,0.133
2015-01-14,0.1345
2015-01-15,0.1351
2015-01-16,0.135
2015-01-19,0.1355
2015-01-20,0.1355
2015-01-21,0.1361
2015-01-22,0.1347
2015-01-23,0.1344
2015-01-26,0.1369
2015-01-27,0.1371
2015-01-28,0.1367
2015-01-29,0.1368
2015-01-30,0.1351
2015-02-02,0.136
2015-02-03,0.136
2015-02-04,0.137
2015-02-05,0.136
2015-02-06,0.1365
2015-02-09,0.134
2015-02-10,0.1362
2015-02-11,0.1375
2015-02-12,0.138
2015-02-13,0.138
2015-02-16,0.1375
2015-02-17,0.1379
2015-02-18,0.14
2015-02-19,0.1414
2015-02-20,0.1395
2015-02-23,0.1406
2015-02-24,0.13875
2015-02-25,0.138
2015-02-26,0.139
2015-02-27,0.135
2015-03-02,0.1365
2015-03-03,0.1385
2015-03-04,0.1385
2015-03-05,0.139
2015-03-06,0.1389
2015-03-09,0.1387
2015-03-10,0.1385
2015-03-11,0.1385
2015-03-12,0.139
2015-03-13,0.14
2015-03-16,0.14
2015-03-17,0.141
2015-03-18,0.1415
2015-03-19,0.1435
2015-03-20,0.142
2015-03-23,0.142
2015-03-24,0.14025
2015-03-25,0.13975
2015-03-26,0.1415
2015-03-27,0.1425
2015-03-30,0.14425
2015-03-31,0.1407
2015-04-01,0.1444
2015-04-02,0.1438
2015-04-03,.
2015-04-06,.
2015-04-07,0.142
2015-04-08,0.1413
2015-04-09,0.14575
2015-04-10,0.14625
2015-04-13,0.147
2015-04-14,0.14675
2015-04-15,0.14375
2015-04-16,0.147
2015-04-17,0.1475
2015-04-20,0.14775
2015-04-21,0.14925
2015-04-22,0.14645
2015-04-23,0.146
2015-04-24,0.144
2015-04-27,0.14525
2015-04-28,0.1495
2015-04-29,0.1476
2015-04-30,0.14975
2015-05-01,0.1475
2015-05-04,.
2015-05-05,0.149
2015-05-06,0.1453
2015-05-07,0.1485
2015-05-08,0.1485
2015-05-11,0.14825
