DATE,USD12MD156N
2016-04-29,1.2295
2016-05-02,.
2016-05-03,1.2318
2016-05-04,1.23005
2016-05-05,1.2303
2016-05-06,.
2016-05-09,1.22715
2016-05-10,1.2244
2016-05-11,1.22515
2016-05-12,1.2269
2016-05-13,1.2289
2016-05-16,1.23265
2016-05-17,1.24235
2016-05-18,1.26965
2016-05-19,1.2985
2016-05-20,1.302
2016-05-23,1.303
2016-05-24,1.31235
2016-05-25,1.3227
2016-05-26,1.3207
2016-05-27,1.3167
2016-05-30,.
2016-05-31,1.33740
2016-06-01,1.3284
2016-06-02,1.3324
2016-06-03,1.3314
2016-06-06,1.2856
2016-06-07,1.2851
2016-06-08,1.27835
2016-06-09,1.27425
2016-06-10,1.2735
2016-06-13,1.25925
2016-06-14,1.25325
2016-06-15,1.26525
2016-06-16,1.2385
2016-06-17,1.24075
2016-06-20,1.2515
2016-06-21,1.2525
2016-06-22,1.251
2016-06-23,1.24975
2016-06-24,1.2052
2016-06-27,1.1957
2016-06-28,1.20475
2016-06-29,1.21625
2016-06-30,1.23025
2016-07-01,1.225
2016-07-04,1.235
2016-07-05,1.23375
2016-07-06,1.2305
2016-07-07,1.2465
2016-07-08,1.253
2016-07-11,1.2695
2016-07-12,1.2845
2016-07-13,1.2934
2016-07-14,1.298
2016-07-15,1.30825
2016-07-18,1.3264
2016-07-19,1.3289
2016-07-20,1.3449
2016-07-21,1.3589
2016-07-22,1.3719
2016-07-25,1.3859
2016-07-26,1.3986
2016-07-27,1.4136
2016-07-28,1.42
2016-07-29,1.4321
2016-08-01,1.4336
2016-08-02,1.4426
2016-08-03,1.4546
2016-08-04,1.4766
2016-08-05,1.4751
2016-08-08,1.5081
2016-08-09,1.5225
2016-08-10,1.5245
2016-08-11,1.5195
2016-08-12,1.5257
2016-08-15,1.50661
2016-08-16,1.49822
2016-08-17,1.51961
2016-08-18,1.51544
2016-08-19,1.52322
2016-08-22,1.53294
2016-08-23,1.531
2016-08-24,1.52656
2016-08-25,1.52611
2016-08-26,1.53656
2016-08-29,.
2016-08-30,1.55933
2016-08-31,1.55711
2016-09-01,1.56556
2016-09-02,1.55944
2016-09-05,1.56244
2016-09-06,1.56133
2016-09-07,1.53922
2016-09-08,1.54033
2016-09-09,1.55678
2016-09-12,1.56644
2016-09-13,1.554
2016-09-14,1.55622
2016-09-15,1.55011
2016-09-16,1.54489
2016-09-19,1.55578
2016-09-20,1.56467
2016-09-21,1.57078
2016-09-22,1.56133
2016-09-23,1.55744
2016-09-26,1.55522
2016-09-27,1.55122
2016-09-28,1.55138
2016-09-29,1.55633
2016-09-30,1.55178
2016-10-03,1.559
2016-10-04,1.56567
2016-10-05,1.57267
2016-10-06,1.58122
2016-10-07,1.58711
2016-10-10,1.58622
2016-10-11,1.59122
2016-10-12,1.59567
2016-10-13,1.58733
2016-10-14,1.58567
2016-10-17,1.58067
2016-10-18,1.57122
2016-10-19,1.564
2016-10-20,1.56622
2016-10-21,1.57178
2016-10-24,1.57067
2016-10-25,1.57844
2016-10-26,1.57956
2016-10-27,1.58233
2016-10-28,1.58233
2016-10-31,1.57511
2016-11-01,1.57567
2016-11-02,1.56511
2016-11-03,1.56011
2016-11-04,1.559
2016-11-07,1.56844
2016-11-08,1.56789
2016-11-09,1.55622
2016-11-10,1.58344
2016-11-11,1.58789
2016-11-14,1.61011
2016-11-15,1.60456
2016-11-16,1.61178
2016-11-17,1.60456
2016-11-18,1.62067
2016-11-21,1.62289
2016-11-22,1.62789
2016-11-23,1.62956
2016-11-24,1.64344
2016-11-25,1.64511
2016-11-28,1.64122
2016-11-29,1.64067
2016-11-30,1.639
2016-12-01,1.64344
2016-12-02,1.64456
2016-12-05,1.644
2016-12-06,1.64567
2016-12-07,1.64511
2016-12-08,1.64456
2016-12-09,1.64844
2016-12-12,1.65456
2016-12-13,1.654
2016-12-14,1.65456
2016-12-15,1.69956
2016-12-16,1.69344
2016-12-19,1.69178
2016-12-20,1.69067
2016-12-21,1.68956
2016-12-22,1.68789
2016-12-23,1.68956
2016-12-26,.
2016-12-27,.
2016-12-28,1.69011
2016-12-29,1.68733
2016-12-30,1.68567
2017-01-02,.
2017-01-03,1.689
2017-01-04,1.689
2017-01-05,1.689
2017-01-06,1.68456
2017-01-09,1.70067
2017-01-10,1.70178
2017-01-11,1.70289
2017-01-12,1.69789
2017-01-13,1.69844
2017-01-16,1.70178
2017-01-17,1.70233
2017-01-18,1.71039
2017-01-19,1.72817
2017-01-20,1.73289
2017-01-23,1.72122
2017-01-24,1.70733
2017-01-25,1.71872
2017-01-26,1.72817
2017-01-27,1.724
2017-01-30,1.72483
2017-01-31,1.71344
2017-02-01,1.71511
2017-02-02,1.71233
2017-02-03,1.71344
2017-02-06,1.70733
2017-02-07,1.70511
2017-02-08,1.70011
2017-02-09,1.694
2017-02-10,1.70261
2017-02-13,1.71039
2017-02-14,1.70789
2017-02-15,1.724
2017-02-16,1.74511
2017-02-17,1.73539
2017-02-20,1.73539
2017-02-21,1.74539
2017-02-22,1.74567
2017-02-23,1.74428
2017-02-24,1.73956
2017-02-27,1.73983
2017-02-28,1.75622
2017-03-01,1.78983
2017-03-02,1.79817
2017-03-03,1.80817
2017-03-06,1.80011
2017-03-07,1.79983
2017-03-08,1.80122
2017-03-09,1.81428
2017-03-10,1.81844
2017-03-13,1.82122
2017-03-14,1.82344
2017-03-15,1.82761
2017-03-16,1.81428
2017-03-17,1.81317
2017-03-20,1.81594
2017-03-21,1.81539
2017-03-22,1.80678
2017-03-23,1.80372
2017-03-24,1.80289
2017-03-27,1.79706
2017-03-28,1.79817
2017-03-29,1.794
2017-03-30,1.79344
2017-03-31,1.80178
2017-04-03,1.80261
2017-04-04,1.79178
2017-04-05,1.79594
2017-04-06,1.79817
2017-04-07,1.799
2017-04-10,.
2017-04-11,1.789
2017-04-12,1.78344
2017-04-13,1.77178
2017-04-14,.
2017-04-17,.
2017-04-18,1.76122
2017-04-19,1.73567
2017-04-20,1.73928
2017-04-21,1.74456
2017-04-24,1.76817
2017-04-25,1.77483
2017-04-26,1.78289
2017-04-27,1.7765
2017-04-28,1.774
2017-05-01,.
2017-05-02,1.78011
2017-05-03,1.77011
2017-05-04,1.78067
2017-05-05,1.779
2017-05-08,1.78817
2017-05-09,1.79067
2017-05-10,1.78761
2017-05-11,1.78567
2017-05-12,1.76567
2017-05-15,1.74511
2017-05-16,1.74539
2017-05-17,1.73289
2017-05-18,1.70456
2017-05-19,1.72289
2017-05-22,1.7265
2017-05-23,1.71956
2017-05-24,1.72567
2017-05-25,1.72289
2017-05-26,1.72122
2017-05-29,.
2017-05-30,1.7215
2017-05-31,1.72372
2017-06-01,1.7265
2017-06-02,1.73067
2017-06-05,1.72567
2017-06-06,1.72289
2017-06-07,1.724
2017-06-08,1.72844
2017-06-09,1.72844
2017-06-12,1.73567
2017-06-13,1.73567
2017-06-14,1.73622
2017-06-15,1.72956
2017-06-16,1.73233
2017-06-19,1.72844
2017-06-20,1.73594
2017-06-21,1.73539
2017-06-22,1.73817
2017-06-23,1.73344
2017-06-26,1.73456
2017-06-27,1.73289
2017-06-28,1.73678
2017-06-29,1.73956
2017-06-30,1.73844
2017-07-03,1.74844
2017-07-04,1.75122
2017-07-05,1.75122
2017-07-06,1.75733
2017-07-07,1.75761
2017-07-10,1.75094
2017-07-11,1.75233
2017-07-12,1.74594
2017-07-13,1.73789
2017-07-14,1.73983
2017-07-17,1.73289
2017-07-18,1.73344
2017-07-19,1.73344
2017-07-20,1.73789
2017-07-21,1.73567
2017-07-24,1.73567
2017-07-25,1.739
2017-07-26,1.73622
2017-07-27,1.72956
2017-07-28,1.729
2017-07-31,1.72733
2017-08-01,1.72567
2017-08-02,1.72567
2017-08-03,1.72567
2017-08-04,1.72289
2017-08-07,1.73233
2017-08-08,1.73011
2017-08-09,1.72789
2017-08-10,1.72844
2017-08-11,1.72456
2017-08-14,1.71789
2017-08-15,1.72789
2017-08-16,1.73622
2017-08-17,1.73289
