Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,109-Calls,109-Calls-P,109-Calls-ROI,109-Puts,109-Puts-P,109-Puts-ROI,107-Butterfly-Spreads,107-Butterfly-Spreads-P,107-Butterfly-Spreads-ROI
2014-03-17,1395028800000,621.2225,14.52,0.3339,146.78446426194634,232.2127535055256,-232.2127535055256,-100.0,274.6047008042026,-86.98272580420256,-31.675614273705605,235.7384192448193,-235.7384192448193,-100.0,265.72635818277337,-90.5288331827733,-34.06844311639769,228.76295968470137,-228.76295968470137,-100.0,283.55891534410125,-83.51249034410137,-29.451548099892484,0.07587191846948826,-0.07587191846948826,-100.0
2014-03-18,1395115200000,613.6315,15.12,0.33399999999999996,146.76962210030374,229.35228644256068,-229.35228644256068,-100.0,271.2259040121678,-89.35519901216782,-32.94493545430644,232.83506417843915,-232.83506417843915,-100.0,262.4562496439416,-92.85817464394148,-35.380439509410245,225.944463056066,-225.944463056066,-100.0,280.0705127297778,-85.92717772977791,-30.68055144123064,0.07495434938380185,-0.07495434938380185,-100.0
2014-03-19,1395201600000,608.8157,15.12,0.3297,146.7631355579745,227.5384520274332,-227.5384520274332,-100.0,269.0972354389098,-89.0230364389098,-33.082107400215094,230.99396915383645,-230.99396915383645,-100.0,260.3962201650985,-92.49833516509851,-35.522149709566435,224.15730584298046,-224.15730584298046,-100.0,277.87262165467155,-85.62210865467159,-30.813438238287173,0.07437094195051941,-0.07437094195051941,-100.0
2014-03-20,1395288000000,586.5898,14.52,0.3297,146.90171675129827,219.43742477451684,-219.43742477451684,-100.0,259.4790308789279,-95.56674487892799,-36.83023809485365,222.7650656404501,-222.7650656404501,-100.0,251.09393518216203,-98.913445182162,-39.39300449865621,216.18135453244003,-216.18135453244003,-100.0,267.9356971995503,-92.29161519955044,-34.44543454424981,0.0715706238564735,-0.0715706238564735,-100.0
2014-03-21,1395374400000,570.7705,15.0,0.33,146.9863432089079,213.6420179390062,-213.6420179390062,-100.0,252.60286995614285,-96.79273495614288,-38.31814538486761,216.87889306870707,-216.87889306870707,-100.0,244.4428973845888,-100.0481723845888,-40.92905682883485,210.47473265445916,-210.47473265445916,-100.0,260.8324323728507,-93.6068873728508,-35.887748513974316,0.06958984515387101,-0.06958984515387101,-100.0
2014-03-22,1395460800000,564.4215,15.0,0.3315,147.0032712101703,211.2909774546315,-211.2909774546315,-100.0,249.81398593612536,-67.34238093612535,-26.95700990630046,214.49164778734738,-214.49164778734738,-100.0,241.7446654561031,-70.56149045610303,-29.188437446168113,208.15911265470857,-208.15911265470857,-100.0,257.95211194894057,-64.19207694894061,-24.885268999715294,0.0688055327929078,-0.0688055327929078,-100.0
2014-03-23,1395547200000,561.3534,15.09,0.3315,147.01430677420942,210.1581036677327,-210.1581036677327,-100.0,248.4717075777812,-39.767469577781135,-16.004828060889945,213.34124413119298,-213.34124413119298,-100.0,240.44611899619392,-42.968948996193895,-17.87051052251505,207.04338823763442,-207.04338823763442,-100.0,256.56572119273045,-36.6344151927305,-14.278764529580698,0.06842503336201844,-0.06842503336201844,-100.0
2014-03-24,1395633600000,586.2718,14.02,0.3325,147.09851262295598,219.61271217702674,-219.61271217702674,-100.0,259.6239631533764,-39.13793715337636,-15.074855447859829,222.93610590190238,-222.93610590190238,-100.0,251.24113162635777,-42.48054162635768,-16.908275070793,216.36072906652697,-216.36072906652697,-100.0,268.07820529477107,-35.86674329477114,-13.379208971998711,0.07141061437590679,-0.07141061437590679,-100.0
2014-03-25,1395720000000,582.2802,14.93,0.3295,147.11042983094816,218.13245451377003,-218.13245451377003,-100.0,257.88049358254904,-31.40767958254889,-12.179160643841069,221.4330661295264,-221.4330661295264,-100.0,249.55440914094487,-34.72719914094475,-13.915682459984634,214.9027605223073,-214.9027605223073,-100.0,266.27749564844646,-28.15907764844644,-10.57508730877638,0.07091762429365644,-0.07091762429365644,-100.0
2014-03-26,1395806400000,579.0722,14.93,0.3295,147.11934085754808,216.94372982864303,-216.94372982864303,-100.0,256.4727820430986,-35.750928043098725,-13.939462799249787,220.22604755074764,-220.22604755074764,-100.0,248.19245953689583,-39.05204953689585,-15.734583399416472,213.73193362504367,-213.73193362504367,-100.0,264.823626067807,-32.5203280678071,-12.279995010520851,0.07052151850524524,-0.07052151850524524,-100.0
