Datetime,Timestamp,Price,VIX,8-Month-LIBOR,8-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2016-11-25,1480050000000,111.57,13.15,1.405534865,25.19657087772198,9.558910234768403,55.11108976523161,576.5415555925748,8.53254453080718,-8.53254453080718,-100.0,12.470896747667576,57.77760325233243,463.2995078171789,5.917349328904429,-5.917349328904429,-100.0,2.6151952019027505,-2.6151952019027505,-100.0
2016-11-28,1480309200000,111.46,12.9,1.402364865,25.10011470540297,9.513982738272947,54.90601726172704,577.108649155422,8.490930862719793,-8.490930862719793,-100.0,12.425218002771835,57.56778199722815,463.3140600381085,5.880318720996336,-5.880318720996336,-100.0,2.6106121417234567,-2.6106121417234567,-100.0
2016-11-29,1480395600000,110.52,13.33,1.405304865,24.955526597238265,9.383618465610958,54.766381534389026,583.6381960231719,8.367077629901537,-8.367077629901537,-100.0,12.273866478271543,57.40213352172845,467.6776761695069,5.7821526843476025,-5.7821526843476025,-100.0,2.5849249455539347,-2.5849249455539347,-100.0
2016-11-30,1480482000000,109.49,14.07,1.406046486,24.943837748207976,9.292324135722831,55.18767586427718,593.9060568509135,8.284728027632426,-8.284728027632426,-100.0,12.155948666117823,57.79855133388217,475.4754476298802,5.724232363431952,-5.724232363431952,-100.0,2.5604956642004737,-2.5604956642004737,-100.0
2016-12-01,1480568400000,109.9,14.12,1.405486486,24.94642348797013,9.327838310842417,52.11216168915758,558.6735099019016,8.316870073452186,-8.316870073452186,-100.0,12.202096352434225,54.732903647565756,448.553281884608,5.746676526913512,-5.746676526913512,-100.0,2.5701935465386745,-2.5701935465386745,-99.99999999999999
2016-12-02,1480654800000,109.11,12.14,1.4075281080000002,24.923369377974176,9.253430025370406,50.71656997462962,548.0840059910591,8.248277736041986,-8.248277736041986,-100.0,12.107670950765288,53.31782904923472,440.3640408303685,5.697276275903299,-5.697276275903299,-100.0,2.5510014601386874,-2.5510014601386874,-100.0
2016-12-05,1480914000000,109.95,11.79,1.407346486,24.92949023411553,9.326760533116158,51.82323946688384,555.6402920700829,8.314000021064231,-8.314000021064231,-100.0,12.202821397582904,54.44467860241708,446.16467641820367,5.743198911133582,-5.743198911133582,-100.0,2.570801109930649,-2.570801109930649,-99.99999999999999
2016-12-06,1481000400000,111.03,12.22,1.407168108,24.92182081614883,9.415587190111973,49.70441280988803,527.8949873894901,8.393007716637484,-8.393007716637484,-100.0,12.320072203730257,52.35142779626974,424.92793005238116,5.7971217039295055,-5.7971217039295055,-100.0,2.595886012707979,-2.595886012707979,-100.0
2016-12-07,1481086800000,112.12,12.64,1.410304865,24.87532390043947,9.492433052040248,48.36756694795974,509.53814141005614,8.45752356402442,-8.45752356402442,-100.0,12.426717869811066,51.03928213018892,410.7221445348942,5.837553856196023,-5.837553856196023,-100.0,2.619969707828397,-2.619969707828397,-100.0
2016-12-08,1481173200000,113.95,11.75,1.414168108,24.891905715114287,9.654784643312523,49.53521535668746,513.0639075517701,8.600115751529032,-8.600115751529032,-100.0,12.636761680952999,52.250738319046974,413.4820267901617,5.9373262337587045,-5.9373262337587045,-100.0,2.662789517770327,-2.662789517770327,-100.0
2016-12-09,1481259600000,113.3,12.64,1.413608108,24.817556296587103,9.572555423053224,52.087444576946794,544.1331209376606,8.524315964639321,-8.524315964639321,-100.0,12.539309541395042,54.78569045860497,436.9115402865305,5.8784820559018565,-5.8784820559018565,-100.0,2.6458339087374645,-2.6458339087374645,-100.0
2016-12-12,1481518800000,115.19,12.72,1.41378973,24.873217570773665,9.752822852583002,50.027177147417,512.9507415811154,8.686961026516121,-8.686961026516121,-100.0,12.767692888896661,52.77180711110333,413.32296735454827,5.995624154133132,-5.995624154133132,-100.0,2.6913368723829887,-2.6913368723829887,-100.0
2016-12-13,1481605200000,115.19,13.19,1.444904595,24.7317293933205,9.711840254213303,49.18815974578671,506.4762028437128,8.622632057096261,-8.622632057096261,-100.0,12.7319263933216,51.92757360667839,407.8532344792416,5.937678606060415,-5.937678606060415,-100.0,2.684953451035846,-2.684953451035846,-100.0
2016-12-14,1481691600000,115.82,12.79,1.441041351,24.648967314140226,9.73288732627531,47.51711267372469,488.21188493003,8.640636299459715,-8.640636299459715,-100.0,12.771370430713835,50.26962956928615,393.61186680791013,5.942731955239032,-5.942731955239032,-100.0,2.6979043442206825,-2.6979043442206825,-100.0
2016-12-15,1481778000000,115.97,12.2,1.439002973,24.2353250884776,9.591237524126264,43.91876247587373,457.90506559136236,8.499111610357957,-8.499111610357957,-100.0,12.644136078416158,46.66436392158382,369.05933020794515,5.8081164603362785,-5.8081164603362785,-100.0,2.6909951500216787,-2.6909951500216787,-100.00000000000001
2016-12-16,1481864400000,116.64,11.71,1.437154595,24.236331013445373,9.646350984438484,45.5636490155615,472.3407751704752,8.549319738403803,-8.549319738403803,-100.0,12.716756673275045,48.32524332672494,380.0123299385218,5.842576989542103,-5.842576989542103,-100.0,2.7067427488617,-2.7067427488617,-100.0
2016-12-19,1482123600000,116.95,11.45,1.436612973,24.18601752722357,9.652958061236703,44.447041938763306,460.4499642161392,8.553423763368906,-8.553423763368906,-100.0,12.73280783184633,47.214692168153675,370.81131508216026,5.840750248871899,-5.840750248871899,-100.0,2.7126735144970073,-2.7126735144970073,-100.00000000000001
2016-12-20,1482210000000,117.06,11.27,1.4375329730000002,24.14494742782579,9.646986898068434,43.09301310193158,446.69919796988495,8.545716935028944,-8.545716935028944,-100.0,12.730862328255936,45.86213767174407,360.24376424174983,5.831655863368418,-5.831655863368418,-100.0,2.7140610716605256,-2.7140610716605256,-100.0
2016-12-21,1482296400000,116.29,11.43,1.4375329730000002,23.999958548998016,9.529565234900554,43.82043476509943,459.8366629005686,8.435539231125894,-8.435539231125894,-100.0,12.596949402898758,46.567550597101224,369.6732368106939,5.743124699312816,-5.743124699312816,-100.0,2.6924145318130774,-2.6924145318130774,-100.0
2016-12-22,1482382800000,116.52,11.44,1.4375329730000002,23.90383219768188,9.51256225385351,42.977437746146485,451.796651619667,8.416372470038695,-8.416372470038695,-100.0,12.588549423500426,45.727450576499564,363.2463839807875,5.721169128876362,-5.721169128876362,-100.0,2.6952033411623333,-2.6952033411623333,-100.00000000000001
2016-12-23,1482469200000,117.26,11.99,1.438461351,23.77224458151588,9.523926747586223,42.53607325241377,446.62327188934165,8.420066170602162,-8.420066170602162,-100.0,12.623018074461768,45.29998192553821,358.86807464204435,5.711350526326889,-5.711350526326889,-100.0,2.708715644275273,-2.708715644275273,-100.0
2016-12-27,1482814800000,116.76,12.95,1.43755973,23.770874779670528,9.482474595042987,43.127525404957005,454.81298128130135,8.384006604715196,-8.384006604715196,-100.0,12.56833567140646,45.87966432859354,365.04168513713296,5.68679108059505,-5.68679108059505,-100.0,2.6972155241201463,-2.6972155241201463,-99.99999999999999
2016-12-28,1482901200000,116.73,13.37,1.4370213509999998,23.77104543455008,9.479905017113316,46.46009498288666,490.09030047258864,8.382128604581348,-8.382128604581348,-100.0,12.56493750189041,49.21156249810957,391.65783746004007,5.685549909985028,-5.685549909985028,-100.0,2.6965786945963206,-2.6965786945963206,-100.00000000000001
2016-12-29,1482987600000,115.82,14.04,1.4370213509999998,23.779860607278053,9.40926995524454,46.470730044755456,493.8824187826984,8.320051552953345,-8.320051552953345,-100.0,12.47001889581383,49.200981104186155,394.55418243754923,5.644261413637196,-5.644261413637196,-100.0,2.675790139316149,-2.675790139316149,-100.0
2016-12-30,1483074000000,116.15,12.85,1.438101351,23.19400136075883,9.218639314611226,46.90136068538879,508.7666312212882,8.125500393829952,-8.125500393829952,-100.0,12.303970514320099,49.6235294856799,403.31313723423716,5.457988539577889,-5.457988539577889,-100.0,2.667511854252063,-2.667511854252063,-100.0
2017-01-03,1483419600000,116.02,11.85,1.44072973,23.100639766515798,9.174602424557584,47.02539757544242,512.5606037115016,8.080700764615884,-8.080700764615884,-100.0,12.259199119228114,49.74180088077188,405.7508194214225,5.4189925422835055,-5.4189925422835055,-100.0,2.6617082223323782,-2.6617082223323782,-99.99999999999999
2017-01-04,1483506000000,116.61,11.67,1.440351351,23.09969839717361,9.2207681141615,48.1392318858385,522.0739887374998,8.121590990443636,-8.121590990443636,-100.0,12.321054376785696,50.86944562321429,412.86601022602656,5.446336109253736,-5.446336109253736,-100.0,2.6752548811898995,-2.6752548811898995,-99.99999999999999
2017-01-05,1483592400000,117.91,11.32,1.441161351,22.019193593420066,8.915931070846009,49.59406892915398,556.241053627259,7.803877950835549,-7.803877950835549,-100.0,12.082009071721801,52.32349092827819,433.0694557310211,5.1300586077118675,-5.1300586077118675,-100.0,2.6738193431236814,-2.6738193431236814,-99.99999999999999
2017-01-06,1483678800000,118.99,11.56,1.451271351,22.025950082853818,9.003976248293206,46.54602375170679,516.9496505561092,7.873902045279165,-7.873902045279165,-100.0,12.199505783859804,49.299994216140185,404.114683738788,5.176435290996452,-5.176435290996452,-100.0,2.697466754282712,-2.697466754282712,-100.0
2017-01-09,1483938000000,119.11,11.49,1.453131351,21.76295917132143,8.913447683928787,46.326552316071215,519.7377486110047,7.780790926627084,-7.780790926627084,-100.0,12.120303802347207,49.07519619765279,404.90071039431314,5.0887798829105995,-5.0887798829105995,-100.0,2.6920110437164846,-2.6920110437164846,-100.0
2017-01-10,1484024400000,119.75,11.26,1.454052162,21.742304432950654,8.953769935760931,46.306230064239074,517.1702020094818,7.814309057583627,-7.814309057583627,-100.0,12.178553868746874,49.06894613125312,402.9127485914066,5.108566034478443,-5.108566034478443,-100.0,2.7057430231051844,-2.7057430231051844,-99.99999999999999
2017-01-11,1484110800000,119.25,11.54,1.45111973,21.637724317054854,8.875338785936249,46.88466121406374,528.2577076196413,7.742913064170808,-7.742913064170808,-100.0,12.089682304048367,49.632817695951616,410.5386431811488,5.0513778683711985,-5.0513778683711985,-100.0,2.6915351957996094,-2.6915351957996094,-100.00000000000001
2017-01-12,1484197200000,119.04,11.23,1.4505481080000002,21.554364047485475,8.827714494584294,42.702285505415695,483.72979814439043,7.697726158601591,-7.697726158601591,-100.0,12.038934607097815,45.44306539290218,377.46749920969114,5.013445687914249,-5.013445687914249,-100.0,2.6842804706873418,-2.6842804706873418,-100.00000000000001
2017-01-13,1484283600000,120.0,11.87,1.452563784,21.566122935527734,8.904191740779254,41.69580825922074,468.2716800477582,7.763515252248228,-7.763515252248228,-100.0,12.141076852869643,44.458923147130356,366.1859955743721,5.0574341887651855,-5.0574341887651855,-100.0,2.706081063483042,-2.706081063483042,-100.0
2017-01-17,1484629200000,119.99,12.48,1.4523705409999998,21.373446943674672,8.829335686591307,42.26066431340871,478.6392296488169,7.688905269225238,-7.688905269225238,-100.0,12.071985929712325,45.01751407028769,372.90893422504547,4.989077033214564,-4.989077033214564,-100.0,2.6998282360106733,-2.6998282360106733,-99.99999999999999
