Datetime,Timestamp,Price,VIX,9-Month-LIBOR,9-Month-VM,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,97-Strips,97-Strips-P,97-Strips-ROI
2013-08-15,1376539200000,71.7614,14.37,0.527359459,31.1560426077604,8.792695261779045,23.02874673822096,261.907709213176,6.368838181291501,-6.368838181291501,-100.0,21.530371624362047,10.291070375637972,47.797922651708525
2013-08-16,1376625600000,72.5343,15.1,0.52770973,31.1754907821624,8.892163281670904,22.409565718329077,252.0147798513901,6.442018665029553,-6.442018665029553,-100.0,21.77620061173001,9.525528388269983,43.7428390659615
2013-08-19,1376884800000,71.5814,14.91,0.527116216,31.196594618560997,8.78020190342722,23.415840096572772,266.68908476276334,6.362549061807282,-6.362549061807282,-100.0,21.505300027041784,10.690741972958207,49.7121265897949
2013-08-20,1376971200000,71.7657,15.94,0.52662973,30.91192109007895,8.734953585608785,22.51231741439121,257.726812097562,6.311325572854044,-6.311325572854044,-100.0,21.357604731316876,9.889666268683136,46.30512828145853
2013-08-21,1377057600000,71.8514,14.76,0.531062162,30.91233666659986,8.7466183529815,23.137523647018494,264.5310760487395,6.317819876043121,-6.317819876043121,-100.0,21.38225810506774,10.501883894932256,49.11494306788504
2013-08-22,1377144000000,71.5743,13.98,0.532021622,30.86345822481808,8.701533188967764,23.661395811032246,271.92214632969893,6.281610728621018,-6.281610728621018,-100.0,21.264754646209802,11.098174353790206,52.1904651073335
2013-08-23,1377230400000,71.8528,14.99,0.532021622,30.820923325867504,8.725259387399845,22.537524612600137,258.3020585628273,6.2959208600401295,-6.2959208600401295,-100.0,21.317101107480106,9.94568289251989,46.655888351676396
2013-08-26,1377489600000,69.7986,16.77,0.527089189,30.833185859261217,8.477422978708475,24.877935021291517,293.46105631126176,6.119997467571796,-6.119997467571796,-100.0,20.717417913852067,12.637940086147943,61.00152122576033
2013-08-27,1377576000000,70.128,16.49,0.526589189,30.832899047377037,8.517238728764319,26.098601271235676,306.4209199995273,6.148938455018172,-6.148938455018172,-100.0,20.815115638800663,13.800724361199343,66.30145419645875
2013-08-28,1377662400000,70.2428,16.81,0.5263459460000001,30.832915130871307,8.531124337904664,25.083359662095326,294.02173346187647,6.159069262819062,-6.159069262819062,-100.0,20.84926286354279,12.765221136457214,61.22624679829135
2013-08-29,1377748800000,69.6023,17.01,0.5263459460000001,30.81471360029797,8.449134306379605,21.90663469362039,259.2766773405361,6.098708512524137,-6.098708512524137,-100.0,20.64655133142788,9.70921766857213,47.02585682574939
2013-08-30,1377835200000,69.7971,16.61,0.527089189,30.795068025945948,8.468420406796312,24.578392593203677,290.23585760431,6.111045557682459,-6.111045557682459,-100.0,20.69051152216123,12.35630147783877,59.71965199895691
2013-09-03,1378180800000,71.2416,15.88,0.527575676,30.863772656948687,8.66003097460841,22.345617025391586,258.03160624840615,6.253620881864624,-6.253620881864624,-100.0,21.167272738337658,9.838375261662335,46.47918219451723
2013-09-04,1378267200000,70.7528,15.77,0.5265243239999999,30.869234692334523,8.60162919596155,23.51815480403845,273.4151201853735,6.2122615361897635,-6.2122615361897635,-100.0,21.02615226834108,11.093631731658931,52.76111192423224
2013-09-05,1378353600000,71.1743,15.85,0.52975,30.875421489237645,8.655150337383695,21.485778662616305,248.24269741236049,6.249907421543328,-6.249907421543328,-100.0,21.15496518047035,8.985963819529651,42.476854690478206
2013-09-06,1378440000000,72.31,15.63,0.5290310810000001,30.91645419606929,8.802908412825921,20.956391587174075,238.06213360848344,6.3596575448584565,-6.3596575448584565,-100.0,21.522223502542836,8.237076497457174,38.27242336965774
2013-09-09,1378699200000,70.6628,14.53,0.522740541,30.96110665293499,8.61125797689165,22.465826023108352,260.88901393263905,6.226840734895769,-6.226840734895769,-100.0,21.06493944668319,10.012144553316809,47.52989952170636
2013-09-10,1378785600000,66.8157,13.82,0.521983784,31.41301149097735,8.242359896541686,26.56641110345831,322.31559209887195,5.9881190666504205,-5.9881190666504205,-100.0,20.218598029842525,14.590172970157468,72.16213977162246
2013-09-11,1378872000000,67.5271,14.29,0.520227027,31.433342645893685,8.334248384369033,24.914464615630962,298.9407498624386,6.056854132331108,-6.056854132331108,-100.0,20.447956649031248,12.800756350968747,62.60164069535624
2013-09-12,1378958400000,66.4143,14.16,0.519713514,31.45479064009911,8.201507236969581,28.17662176303041,343.5541900886201,5.9618866431093975,-5.9618866431093975,-100.0,20.125280523188376,16.252848476811625,80.75836984277099
2013-09-13,1379044800000,64.3028,14.38,0.514267568,31.541155038109274,7.957927371303235,30.688356628696752,385.6325296378152,5.792013842185407,-5.792013842185407,-100.0,19.54195505567405,19.104328944325946,97.76058173247596
2013-09-16,1379304000000,65.0457,14.53,0.510281081,31.454694425984467,8.030300195810117,29.60537080418989,368.67078542887805,5.841217095821768,-5.841217095821768,-100.0,19.71273438745365,17.92293661254636,90.92060117217211
2013-09-17,1379390400000,66.3828,13.59,0.510835135,31.50174731697244,8.205860339230675,27.212823660769324,331.62669769883763,5.971514842263041,-5.971514842263041,-100.0,20.148890023756756,15.269793976243243,75.78478992261725
2013-09-18,1379476800000,67.4714,13.16,0.50292973,31.48432902853912,8.334637561926044,24.96810443807395,299.5703682681085,6.06746434482675,-6.06746434482675,-100.0,20.469566251579543,12.833175748420452,62.69393103251601
2013-09-19,1379563200000,66.7728,13.12,0.502416216,31.486978102913092,8.248805437295081,24.52157856270491,297.2742992801868,6.005351689964688,-6.005351689964688,-100.0,20.259508817224457,12.51087518277555,61.75310218843466
2013-09-20,1379649600000,70.0914,14.31,0.5014675679999999,31.851791078660593,8.743318554627756,19.52802344537225,223.347957910515,6.3888407653676005,-6.3888407653676005,-100.0,21.521000085362957,6.750341914637062,31.366302160038376
2013-09-23,1379908800000,69.8714,14.08,0.49871081100000003,31.79486522448712,8.702005227172307,21.192736772827686,243.53854335380817,6.356294575979928,-6.356294575979928,-100.0,21.41459437913216,8.480147620867847,39.59985172136382
2013-09-24,1379995200000,68.79,14.01,0.497224324,31.82529068082957,8.57390206572353,24.459797934276466,285.28198417452256,6.265227009826144,-6.265227009826144,-100.0,21.10435608537582,11.929343914624177,56.52550528604172
2013-09-25,1380081600000,69.46,14.06,0.495737838,31.842756204615284,8.661067174997555,26.43273282500245,305.1902530130175,6.330644261707723,-6.330644261707723,-100.0,21.322355698413002,13.771444301587,64.58688006321925
2013-09-26,1380168000000,68.9643,15.46,0.492791892,31.822513267713763,8.593909441154409,27.500719558845592,320.00243599438545,6.281570006692388,-6.281570006692388,-100.0,21.157049454539184,14.937579545460814,70.60332102336699
2013-09-27,1380254400000,68.1071,16.6,0.49542432399999997,31.839730164209836,8.491613180026043,30.27449981997395,356.5223612774257,6.206733490216777,-6.206733490216777,-100.0,20.905080160459597,17.861032839540407,85.438719691318
2013-09-30,1380513600000,69.7086,15.54,0.49357297299999997,31.89126638874539,8.702744210036258,28.899913789963733,332.07817089045903,6.3650594978007895,-6.3650594978007895,-100.0,21.432863205637837,16.169794794362154,75.44393224190759
2013-10-01,1380600000000,69.9371,16.6,0.491485135,31.88912850469347,8.73025880030604,28.54075419969396,326.917618967876,6.38595523233068,-6.38595523233068,-100.0,21.5021692649674,15.768843735032597,73.33605991430886
2013-10-02,1380686400000,69.0586,17.67,0.4906,31.893134930745525,8.621296689439966,31.131861310560023,361.10416370071965,6.306877602929382,-6.306877602929382,-100.0,21.23505189529873,18.518106104701268,87.20537249452649
2013-10-03,1380772800000,69.0043,16.74,0.488372973,31.885116617590857,8.612139452436098,31.793689547563897,369.17295316868666,6.3006388489554785,-6.3006388489554785,-100.0,21.213417150347055,19.192411849652956,90.47298562805551
2013-10-04,1380859200000,69.6786,19.41,0.48985270299999994,31.809610813366927,8.67921508762948,30.71254291237052,353.8631385705054,6.344389690401805,-6.344389690401805,-100.0,21.36799446843309,18.02376353156692,84.34934573852219
2013-10-07,1381118400000,68.7057,20.34,0.491274324,31.833481852966443,8.56381412785008,32.791656872149915,382.90948848958914,6.2608908487307575,-6.2608908487307575,-100.0,21.085595825311593,20.269875174688416,96.13138439444064
2013-10-08,1381204800000,69.5126,19.6,0.49632837799999996,31.824644083259287,8.6635965576235,33.30918144237649,384.472905921112,6.331115415308759,-6.331115415308759,-100.0,21.325827388241017,20.64695061175899,96.81664507489938
2013-10-09,1381291200000,69.9483,16.48,0.493098649,31.76966174221552,8.704346981903385,32.045802018096595,368.1586003490077,6.3588611041949425,-6.3588611041949425,-100.0,21.42206919029327,19.328079809706722,90.225083478232
2013-10-10,1381377600000,70.4017,15.72,0.49192973,31.752236262289852,8.756408612959213,31.81394238704077,363.32181140972716,6.396307798872023,-6.396307798872023,-100.0,21.54902421070326,19.021326789296744,88.27001447169462
2013-10-11,1381464000000,70.8628,16.07,0.494389189,31.734358251452772,8.810175568114907,31.152908431885106,353.6014485866916,6.4333711426993645,-6.4333711426993645,-100.0,21.676917853513636,18.286166146486373,84.35777756809807
2013-10-14,1381723200000,71.24,18.66,0.49265945899999997,31.73800811152384,8.85749755164047,31.049702448359533,350.54711861149667,6.468922452760083,-6.468922452760083,-100.0,21.795342457160636,18.11185754283938,83.09966947497499
2013-10-15,1381809600000,71.5877,14.71,0.493416216,31.74320193709843,8.902152979845141,30.487778020154852,342.4764558548982,6.501532692879233,-6.501532692879233,-100.0,21.90521836560361,17.484712634396395,79.81985088015165
2013-10-16,1381896000000,72.0714,13.48,0.48622702700000003,31.750613675656876,8.962239013792761,30.828502986207234,343.98215600769623,6.54910269115301,-6.54910269115301,-100.0,22.06044439609878,17.730297603901228,80.371443501096
2013-10-17,1381982400000,72.6985,13.04,0.483564865,31.763446498976123,9.04262870484486,31.689826295155143,350.4492701129747,6.609879166186622,-6.609879166186622,-100.0,22.262387037218105,18.470067962781897,82.96535287030886
2013-10-18,1382068800000,74.4803,13.16,0.48230810799999996,31.835755079172223,9.281786482046543,31.292322517953444,337.1368494468297,6.790080841678876,-6.790080841678876,-100.0,22.861948165404293,17.7121608345957,77.47441603160715
2013-10-21,1382328000000,74.2668,13.33,0.47873243200000004,31.749359273956305,9.232962103999412,32.90824189600059,356.42128198214783,6.750297692186095,-6.750297692186095,-100.0,22.733557488371602,19.4076465116284,85.37003731842483
2013-10-22,1382414400000,74.9943,13.42,0.478016216,31.74638739244433,9.322476727103236,31.92305227289675,342.43102136245477,6.815876763591773,-6.815876763591773,-100.0,22.954230254286784,18.29129874571322,79.68596003038374
2013-10-23,1382500800000,75.9871,13.2,0.4763972970000001,31.684178084816388,9.42977867746955,32.33273432253045,342.8790370211195,6.890875071181352,-6.890875071181352,-100.0,23.211528819832253,18.550984180167745,79.92142320378969
2013-10-24,1382587200000,75.1368,13.09,0.476297297,31.639759280548077,9.313164059051992,32.47413994094801,348.6907321189576,6.802724653084415,-6.802724653084415,-100.0,22.91861336522082,18.868690634779185,82.32911098981482
2013-10-25,1382673600000,75.6965,13.31,0.476875676,31.63264695681604,9.380908241759826,33.50348675824017,357.1454479119287,6.851455332935553,-6.851455332935553,-100.0,23.083818907630935,19.800576092369063,85.77686461499438
2013-10-28,1382932800000,73.8111,13.41,0.475889189,31.718301892698854,9.167963457749947,35.70526954225004,389.4569356302063,6.70203316920832,-6.70203316920832,-100.0,22.57202979616659,22.30120320383341,98.8001673098129
2013-10-29,1383019200000,74.9851,13.65,0.475402703,31.721031524584273,9.314333808033368,36.57511919196662,392.67563247971145,6.809442578590557,-6.809442578590557,-100.0,22.93321896521448,22.956234034785524,100.10035690849138
2013-10-30,1383105600000,74.6717,13.75,0.474197297,31.717229503986964,9.274144309827244,35.89430669017275,387.03631829556235,6.780365851888785,-6.780365851888785,-100.0,22.834876013604813,22.333574986395178,97.80466937104907
2013-10-31,1383192000000,74.29,13.28,0.47162297299999995,31.656748991630568,9.211159253177689,37.72754074682229,409.5851532890059,6.7314957322385345,-6.7314957322385345,-100.0,22.674150717654758,24.26454928234524,107.01414833346834
