Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,102-Calls.1,102-Calls-P.1,102-Calls-ROI.1,102-Puts.1,102-Puts-P.1,102-Puts-ROI.1,102-Calls.1.1,102-Calls-P.1.1,102-Calls-ROI.1.1,102-Puts.1.1,102-Puts-P.1.1,102-Puts-ROI.1.1,102-Calls.1.1.1,102-Calls-P.1.1.1,102-Calls-ROI.1.1.1,102-Puts.1.1.1,102-Puts-P.1.1.1,102-Puts-ROI.1.1.1,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI
2011-01-12,1294808400000,48.8057,16.89,0.25438,14.342530098272881,0.3879068308264486,-0.3879068308264486,-100.0,0.3855258928011338,1.7458741071988657,452.85521408530684,0.08241561063231995,-0.08241561063231995,-100.0,1.056101053846497,2.051412946153505,194.24400143167315,0.08241561063231995,-0.08241561063231995,-100.0,1.056101053846497,2.051412946153505,194.24400143167315,0.08241561063231995,-0.08241561063231995,-100.0,1.056101053846497,2.051412946153505,194.24400143167315,0.08241561063231995,-0.08241561063231995,-100.0,1.056101053846497,2.051412946153505,194.24400143167315,0.08241561063231995,-0.08241561063231995,-100.0,1.056101053846497,2.051412946153505,194.24400143167315
2011-01-13,1294894800000,49.2028,16.24,0.25438,10.989649641240533,0.29992666513028965,-0.29992666513028965,-100.0,0.2975263549724083,0.6981736450275982,234.65942877307282,0.03457862494865793,-0.03457862494865793,-100.0,1.0161863085876277,0.9635696914123812,94.82214858332651,0.0345786249486606,-0.0345786249486606,-100.0,1.0161863085876277,0.9635696914123812,94.82214858332651,0.0345786249486606,-0.0345786249486606,-100.0,1.0161863085876277,0.9635696914123812,94.82214858332651,0.0345786249486606,-0.0345786249486606,-100.0,1.0161863085876277,0.9635696914123812,94.82214858332651,0.0345786249486606,-0.0345786249486606,-100.0,1.0161863085876277,0.9635696914123812,94.82214858332651
2011-01-14,1294981200000,49.3828,16.39,0.25438,11.093453984760316,0.3038557984943644,-0.3038557984943644,-100.0,0.30144670721369593,0.3099532927863073,102.82192021642523,0.03594670260773292,-0.03594670260773292,-100.0,1.021145429501452,0.5779105704985525,56.59434531090274,0.03594670260773292,-0.03594670260773292,-100.0,1.021145429501452,0.5779105704985525,56.59434531090274,0.03594670260773292,-0.03594670260773292,-100.0,1.021145429501452,0.5779105704985525,56.59434531090274,0.03594670260773292,-0.03594670260773292,-100.0,1.021145429501452,0.5779105704985525,56.59434531090274,0.03594670260773292,-0.03594670260773292,-100.0,1.021145429501452,0.5779105704985525,56.59434531090274
2011-01-18,1295326800000,49.7828,15.46,0.25438,11.08722024473999,0.3061455851288386,-0.3061455851288386,-100.0,0.3037169802419726,0.35768301975802785,117.76852893541228,0.03616215304829673,-0.03616215304829673,-100.0,1.0293409760636931,0.627715023936311,60.98222440699469,0.03616215304829673,-0.03616215304829673,-100.0,1.0293409760636931,0.627715023936311,60.98222440699469,0.03616215304829673,-0.03616215304829673,-100.0,1.0293409760636931,0.627715023936311,60.98222440699469,0.03616215304829673,-0.03616215304829673,-100.0,1.0293409760636931,0.627715023936311,60.98222440699469,0.03616215304829673,-0.03616215304829673,-100.0,1.0293409760636933,0.627715023936311,60.98222440699469
2011-01-19,1295413200000,48.6643,15.87,0.25438,20.550311887670734,0.5536675029158786,-0.18796750291587472,-33.94952781695651,0.5512934629503512,-0.5512934629503512,-100.0,0.2018319235918078,-0.2018319235918078,-100.0,1.1726964028269649,-0.5651104028269671,-48.1889772548702,0.2018319235918078,-0.2018319235918078,-100.0,1.1726964028269649,-0.5651104028269671,-48.1889772548702,0.2018319235918078,-0.2018319235918078,-100.0,1.1726964028269649,-0.5651104028269671,-48.1889772548702,0.2018319235918078,-0.2018319235918078,-100.0,1.1726964028269649,-0.5651104028269671,-48.1889772548702,0.2018319235918078,-0.2018319235918078,-100.0,1.1726964028269649,-0.5651104028269671,-48.1889772548702
2011-01-20,1295499600000,48.4057,17.31,0.25375,20.838200597208164,0.558420444548311,-0.558420444548311,-100.0,0.5560648683137437,-0.16466486831373928,-29.61252862693563,0.2068885761122381,-0.2068885761122381,-100.0,1.1725998883529771,0.18691411164702745,15.940144076728958,0.2068885761122381,-0.2068885761122381,-100.0,1.1725998883529771,0.18691411164702745,15.940144076728958,0.2068885761122381,-0.2068885761122381,-100.0,1.1725998883529771,0.18691411164702745,15.940144076728958,0.2068885761122381,-0.2068885761122381,-100.0,1.1725998883529771,0.18691411164702745,15.940144076728958,0.2068885761122381,-0.2068885761122381,-100.0,1.172599888352977,0.18691411164702743,15.940144076728958
2011-01-21,1295586000000,47.5257,17.99,0.25375,19.56421027589137,0.5148218177411579,0.4337781822588411,84.25792522976097,0.5125090651221207,-0.5125090651221207,-100.0,0.17680681000180698,-0.17680681000180698,-100.0,1.1249618023303969,-1.1230478023303905,-99.82986088985054,0.17680681000180698,-0.17680681000180698,-100.0,1.1249618023303969,-1.1230478023303905,-99.82986088985054,0.17680681000180698,-0.17680681000180698,-100.0,1.1249618023303969,-1.1230478023303905,-99.82986088985054,0.17680681000180698,-0.17680681000180698,-100.0,1.1249618023303969,-1.1230478023303905,-99.82986088985054,0.17680681000180698,-0.17680681000180698,-100.0,1.1249618023303967,-1.1230478023303903,-99.82986088985054
2011-01-24,1295845200000,46.6743,18.47,0.25375,21.17312106321336,0.5470818270473821,2.0686181729526147,378.11860505712883,0.5448105062763773,-0.5448105062763773,-100.0,0.20641373089975626,1.4758002691002383,714.9719462301438,1.1375829837133369,-1.1375829837133369,-100.0,0.20641373089975626,1.4758002691002383,714.9719462301438,1.1375829837133369,-1.1375829837133369,-100.0,0.20641373089975626,1.4758002691002383,714.9719462301438,1.1375829837133369,-1.1375829837133369,-100.0,0.20641373089975626,1.4758002691002383,714.9719462301438,1.1375829837133369,-1.1375829837133369,-100.0,0.20641373089975623,1.4758002691002385,714.9719462301437,1.1375829837133367,-1.1375829837133367,-100.0
2011-01-25,1295931600000,48.2071,17.65,0.25375,30.88371022465279,0.8236234068155746,0.15787659318442948,19.16854133551612,0.8212774950924207,-0.8212774950924207,-100.0,0.4368430223921287,-0.4194850223921272,-96.0264902699029,1.3985921924345135,-1.3985921924345135,-100.0,0.4368430223921287,-0.4194850223921272,-96.0264902699029,1.3985921924345135,-1.3985921924345135,-100.0,0.4368430223921287,-0.4194850223921272,-96.0264902699029,1.3985921924345135,-1.3985921924345135,-100.0,0.4368430223921287,-0.4194850223921272,-96.0264902699029,1.3985921924345135,-1.3985921924345135,-100.0,0.4368430223921287,-0.41948502239212715,-96.0264902699029,1.3985921924345135,-1.3985921924345135,-100.0
2011-01-26,1296018000000,48.7714,17.59,0.25375,31.950782299360828,0.8620092478323933,-0.5706092478323903,-66.19525826053992,0.8596358754657736,-0.8596358754657736,-100.0,0.4681434368265816,-0.4681434368265816,-100.0,1.441150597012637,-0.7571225970126392,-52.535980527092704,0.4681434368265816,-0.4681434368265816,-100.0,1.441150597012637,-0.7571225970126392,-52.535980527092704,0.4681434368265816,-0.4681434368265816,-100.0,1.441150597012637,-0.7571225970126392,-52.535980527092704,0.4681434368265816,-0.4681434368265816,-100.0,1.441150597012637,-0.7571225970126392,-52.535980527092704,0.46814343682658155,-0.46814343682658155,-100.0,1.441150597012637,-0.7571225970126392,-52.5359805270927
