Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2015-03-25,1427256000000,194.300003,15.44,0.135333333,36.95224945849415,3.353959115151227,-3.353959115151227,-100.0,3.350357057169348,3.359649942830643,100.27737000871026,,,,0.559151998680651,-0.559151998680651,-100.0,10.270369987799713,6.154637162200288,59.926148420275524,2.794807116470576,2.205192883529424,78.9032227137826
2015-03-26,1427342400000,190.41000400000001,15.8,0.1355,35.38748172116999,3.1477259242654867,-2.557729924265473,-81.25643673574639,3.1441916343896983,-3.1441916343896983,-100.0,,,,0.4745758101122455,-0.4745758101122455,-100.0,9.991365005742722,-1.0608608057427205,-10.617776501338616,2.673150114153241,2.326849885846759,87.04523825755375
2015-03-27,1427428800000,185.0,15.07,0.134166667,34.41685075946948,2.9744486560274908,15.125557343972517,508.5163367443489,2.971048573108959,-2.971048573108959,-100.0,,,,0.4189756569456762,8.431030343054331,2012.2959898234585,9.665405569881187,-9.665405569881187,-100.0,2.5554729990818146,2.4445270009181854,95.65849460340641
2015-03-30,1427688000000,190.570007,14.51,0.133666667,44.909139619469855,3.997362865551821,8.682630134448175,217.2089556660644,3.99387346494126,-3.99387346494126,-100.0,,,,0.9789858149489276,2.172506835051067,221.91402591102954,10.503822294307897,-10.503822294307897,-100.0,3.0183770506028935,1.9816229493971065,65.65193533396682
2015-03-31,1427774400000,188.770004,15.29,0.134666667,41.50100818842829,3.65931918920586,15.240674810794133,416.4893528760917,3.6558368888233166,-3.6558368888233166,-100.0,,,,0.7765750886853837,8.684918711314587,1118.3617447756087,10.211418873283721,-10.211418873283721,-100.0,2.882744100520476,2.117255899479524,73.44584970609274
2015-04-01,1427860800000,187.58999599999999,15.11,0.135333333,35.51519107458469,3.1122890519201007,19.3877109480799,622.9405631883327,3.1088113883483857,-3.1088113883483857,-100.0,,,,0.4732900178087007,12.647210182191278,2672.1903497451667,9.849138271058422,-9.849138271058422,-100.0,2.6389990341114,2.3610009658886,89.46577605260825
2015-04-02,1427947200000,191.0,14.67,0.136166667,36.912549918034046,3.293466324686861,16.60652767531313,504.2264300938939,3.2899036410105964,-3.2899036410105964,-100.0,,,,0.5477389921445912,9.80225500785539,1789.585030175797,10.093998174284508,-10.093998174284508,-100.0,2.7457273325422697,2.2542726674577303,82.10111181617216
2015-04-03,1428033600000,203.100006,14.74,0.1318,46.03829692741982,4.367206751081042,2.3127862489189823,52.9580205550489,4.363539855308204,-4.363539855308204,-100.0,,,,1.115419599774519,-1.115419599774519,-100.0,11.266569659213074,-7.791562359213088,-69.15647437409353,3.251787151306523,1.748212848693477,53.76160146247793
2015-04-06,1428292800000,203.25,14.78,0.1371,46.265320040377595,4.39204132566482,-0.18203432566483,-4.144640547918241,4.388224159454936,-4.388224159454936,-100.0,,,,1.130951643709892,-1.130951643709892,-100.0,11.289443619189512,-5.336950619189481,-47.27381436333909,3.261089681954928,1.7389103180450718,53.32298365381494
2015-04-07,1428379200000,207.669998,13.98,0.136366667,41.84398943500264,4.058968101284506,-3.8989641012844913,-96.05801287402628,4.055088786084838,-4.055088786084838,-100.0,,,,0.8749994869132394,-0.8749994869132394,-100.0,11.25442610595357,-1.030930205953581,-9.160220132488329,3.183968614371267,1.8160313856287331,57.03672383678135
2015-04-08,1428465600000,210.08999599999999,13.09,0.136366667,36.62185998988297,3.594134456532956,-3.594134456532956,-100.0,3.5902099353087493,-0.200210935308732,-5.576580169858907,,,,0.5871159340095922,-0.5871159340095922,-100.0,11.08749498672418,2.8070038132758555,25.316844035887947,3.0070185225233637,1.9929814774766363,66.27765883544375
2015-04-09,1428552000000,210.899994,12.58,0.136366667,39.05313666323208,3.8473501470853653,-3.8473501470853653,-100.0,3.843410494943925,0.2665905050560582,6.936300595701729,,,,0.7230738406983193,-0.7230738406983193,-100.0,11.263936905949777,3.3910637940502117,30.105493508748282,3.124276306387046,1.875723693612954,60.03706169580325
2015-04-10,1428638400000,209.77999900000003,13.94,0.135333333,16.484295228467186,1.616572734858707,-1.616572734858707,-100.0,1.6126836987898798,2.897311301210152,179.6577533079938,,,,0.0076207811902404545,-0.0076207811902404545,-100.0,10.492537243318026,4.506457706682029,42.94917046448303,1.6089519536684664,3.391048046331534,210.76129952792104
2015-04-13,1428897600000,207.46000700000002,13.67,0.134533333,20.695196209412288,2.006559435638138,-0.05656243563814201,-2.818876661889344,2.0027361439909006,-2.0027361439909006,-100.0,,,,0.042156453244041714,-0.042156453244041714,-100.0,10.41114234701442,-1.9881389970144028,-19.096261781345607,1.9644029823940965,3.0355970176059035,154.53025905643352
