Date,Price
10/23/17,32.529999
10/24/17,32.709999
10/25/17,32.900002
10/26/17,34.110001
10/27/17,35.200001
10/30/17,35.75
10/31/17,37.189999
11/1/17,36.470001
11/2/17,36.07
11/3/17,36.889999
11/6/17,37.18
11/7/17,36.759998
11/8/17,36.709999
11/9/17,37.959999
11/10/17,39.209999
11/13/17,39.98
11/14/17,39.740002
11/15/17,40.66
11/16/17,41.900002
11/17/17,44.18
11/20/17,45.209999
11/21/17,48.060001
11/22/17,48.810001
11/24/17,48.860001
11/27/17,41.02
11/28/17,42.549999
11/29/17,39.130001
11/30/17,39.220001
12/1/17,38.220001
12/4/17,36.869999
12/5/17,37.599998
12/6/17,37.610001
12/7/17,38.73
12/8/17,38.09
12/11/17,38.299999
12/12/17,38.080002
12/13/17,36.189999
12/14/17,37.009998
12/15/17,37.029999
12/18/17,37.75
12/19/17,36.919998
12/20/17,35.66
12/21/17,35.869999
12/22/17,35.139999
12/26/17,35.049999
12/27/17,35.75
12/28/17,35.130001
12/29/17,34.669998
1/2/18,36.169998
1/3/18,37.310001
1/4/18,38.099998
1/5/18,41.139999
1/8/18,40.759998
1/9/18,40.880001
1/10/18,40.84
1/11/18,42.299999
1/12/18,41.25
1/16/18,39.32
1/17/18,40.060001
1/18/18,40.27
1/19/18,42.560001
1/22/18,45.290001
1/23/18,45.009998
1/24/18,44.32
1/25/18,45.119999
1/26/18,45.970001
1/29/18,45.43
1/30/18,45.52
1/31/18,46.91
2/1/18,44.450001
2/2/18,43.610001
2/5/18,41.02
2/6/18,41.610001
2/7/18,41.669998
2/8/18,39.5
2/9/18,39.57
2/12/18,39.919998
2/13/18,42.110001
2/14/18,41.849998
2/15/18,44.290001
2/16/18,44.110001
2/20/18,44.93
2/21/18,44.099998
2/22/18,44.900002
2/23/18,44.860001
2/26/18,46.549999
2/27/18,45.91
2/28/18,46.049999
3/1/18,46.009998
3/2/18,46.02
3/5/18,50.419998
3/6/18,49.599998
3/7/18,50.720001
3/8/18,52.25
3/9/18,52.490002
3/12/18,53.189999
3/13/18,51.830002
3/14/18,54.610001
3/15/18,54.84
3/16/18,54.889999
3/19/18,54.580002
3/20/18,57.689999
3/21/18,57.09
3/22/18,55.16
3/23/18,51.669998
3/26/18,53.549999
3/27/18,51.060001
3/28/18,47.389999
