Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,100-Butterfly-Spreads,100-Butterfly-Spreads-P,100-Butterfly-Spreads-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2012-07-09,1341806400000,31.49,17.98,0.24575,51.30150481586829,1.849012419392967,-1.849012419392967,-100.0,1.8426525130914282,0.13734748690856868,7.453792070548348,2.1629161801533963,-2.1629161801533963,-100.0,1.5268834719778877,-0.17668347197789025,-11.571509890602114,1.5691310403538967,-1.5691310403538967,-100.0,2.192443935926324,0.4173560640736724,19.036111128530926,0.03402238172135918,-0.03402238172135918,-100.0,5.5406773518773615,-3.5606773518773647,-64.26429704792125
2012-07-10,1341892800000,31.27,18.72,0.24875,51.114329474961735,1.8294553753266296,-1.8294553753266296,-100.0,1.8230628130817141,0.336936186918285,18.481874815312946,2.1413001308445807,-2.1413001308445807,-100.0,1.5096354198445674,0.02496358015543265,1.6536164843034031,1.5515192668552429,-1.5515192668552429,-100.0,2.1703988533654366,0.6150001466345643,28.335812363747806,0.033908647046564155,-0.033908647046564155,-100.0,5.481973563734973,-3.3219745637349742,-60.59815001135557
2012-07-11,1341979200000,31.51,17.95,0.24875,47.95071156743023,1.7297818693005609,-1.7297818693005609,-100.0,1.7233402435782368,-0.16334124357823576,-9.478177288953928,2.04632042551437,-2.04632042551437,-100.0,1.4098076323064888,-0.4800086323064896,-34.047810588255984,1.4496705789176012,-1.4496705789176012,-100.0,2.073300120680827,0.11689887931917298,5.638299933189892,0.036427265830849535,-0.036427265830849535,-100.0,5.182903982179359,-3.6229049821793575,-69.90106308425113
2012-07-12,1342065600000,32.700001,18.33,0.24875,47.49520656837266,1.778114168997826,-1.778114168997826,-100.0,1.7714292699955525,0.1985717300044474,11.20969001516758,2.106963954794804,-2.106963954794804,-100.0,1.4464127337725738,-0.13041175377257194,-9.016219971489633,1.4874303137461895,-1.4874303137461895,-100.0,2.134611736763869,0.4893892832361289,22.926383979226905,0.03816593054534145,-0.03816593054534145,-100.0,5.327657607991204,-3.3576566079912045,-63.02313052090467
2012-07-13,1342152000000,34.25,16.74,0.24875,48.09017648867545,1.8856474272754795,-1.8856474272754795,-100.0,1.8786456601859955,2.8713543398140047,152.84172000427833,2.229597361649514,-2.229597361649514,-100.0,1.5377356299018174,2.5272643700981803,164.34973092608533,1.581177379012752,-1.581177379012752,-100.0,2.259035576581482,3.1759644234185203,140.58939382551,0.03947988611130704,-0.03947988611130704,-100.0,5.649940514736954,-0.8999405147369544,-15.928318402461146
2012-07-16,1342411200000,35.959999,17.11,0.24775,47.107892778074465,1.9394762533235617,-1.9394762533235617,-100.0,1.9321544592954247,5.707844540704577,295.413470348845,2.301445810285351,-2.301445810285351,-100.0,1.5750704721377744,5.345728547862223,339.39615035806617,1.6198229793536465,-1.6198229793536465,-100.0,2.331554729444946,6.027644250555056,258.52467344783315,0.04231628299187396,-0.04231628299187396,-100.0,5.811106965942548,1.8288920340574553,31.472351907754174
2012-07-17,1342497600000,33.349998,16.48,0.24775,52.77447636588492,2.014274950802058,-2.014274950802058,-100.0,2.007484577526613,2.6525124224733885,132.1311482124312,2.3456427801608086,-2.3456427801608086,-100.0,1.6719882543508735,2.3210087856491253,138.81729011010458,1.7179308273926068,-1.7179308273926068,-100.0,2.378004606651647,2.9489923533483524,124.01121280840096,0.03502370594929971,-0.03502370594929971,-100.0,6.036034479130729,-1.3760374791307282,-22.797044713516886
2012-07-18,1342584000000,32.150002,16.16,0.24675,54.191897443514364,1.9937468007360213,-1.9937468007360213,-100.0,1.987227177222799,1.7527748227772015,88.2020356236648,2.3122144835888503,-2.3122144835888503,-100.0,1.6628252125458918,1.4341767474541085,86.24939871210468,1.7081568647539047,-1.7081568647539047,-100.0,2.3445068887704177,2.0384951512295864,86.94771429307592,0.03287774687071199,-0.03287774687071199,-100.0,5.9747207786948415,-2.234718778694841,-37.40289900514829
2012-07-19,1342670400000,32.27,15.45,0.24675,52.76863971885996,1.9488179177787488,-1.9488179177787488,-100.0,1.9422739601525016,1.917726039847501,98.736124727581,2.269457764044997,-2.269457764044997,-100.0,1.6176446855712712,1.5969553144287296,98.72101881661145,1.6620713518511998,-1.6620713518511998,-100.0,2.300796515072424,2.2046034849275813,95.8191422181542,0.033893280338699316,-0.033893280338699316,-100.0,5.83990979571,-1.9799097957099967,-33.90308866010977
2012-07-20,1342756800000,31.790001,16.27,0.24675,52.89811034251272,1.92452378546952,-1.92452378546952,-100.0,1.9180771657148727,1.3519238342851274,70.483287036122,2.2403051454573024,-2.2403051454573024,-100.0,1.5981874380977512,1.036013541902248,64.82428263454298,1.6420496089144567,-1.6420496089144567,-100.0,2.2712740767647155,1.6345269432352865,71.96520049942919,0.03330718343271899,-0.03330718343271899,-100.0,5.767124736653913,-2.4971237366539123,-43.299284317244435
