Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Straddles,100-Straddles-P,100-Straddles-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-03-27,1395892800000,207.320007,14.62,0.109766667,24.775611618612434,2.3998161818210235,15.680170818178963,653.3904945286506,2.396698831810113,-2.396698831810113,-100.0,,,,4.7965150136311365,13.283471986368852,276.9400689587914,0.11767333207263594,7.596313317927345,6455.424677902707,10.480400464561171,-10.480400464561171,-100.0,2.2821428497483875,2.7178571502516125,119.09233247827864,10.459266781242237,17.986720568757736,171.96923020469578,0.09030494873184658,-0.09030494873184658,-100.0,2.3063938830782664,-2.3063938830782664,-100.0
2014-03-28,1395979200000,212.369995,14.41,0.1093,42.5895697785149,4.224354264556396,-4.224354264556396,-100.0,4.2211745567917385,-4.081175556791749,-96.68341126109706,,,,8.445528821348134,-8.305529821348145,-98.34232997173477,0.9412006778073944,-0.9412006778073944,-100.0,11.556361734654505,-0.797862984654472,-6.904101852937764,3.283153586749002,1.7168464132509982,52.29260124108387,11.434087826399805,-0.9555870763998372,-8.357352951177376,0.8125673540233862,-0.8125673540233862,-100.0,3.4086072027683523,-3.4086072027683523,-100.00000000000001
2014-03-31,1396238400000,208.449997,13.88,0.111933333,37.5786301497826,3.658835623648841,-3.658835623648841,-100.0,3.655639414875367,-2.7256464148753707,-74.56004560472485,,,,7.314475038524207,-6.3844820385242125,-87.28558105534754,0.6332050849075124,-0.6332050849075124,-100.0,11.052348915695347,0.30014393430465697,2.7156574280642287,3.0256305387413285,1.9743694612586715,65.25481006283124,10.962134276499997,-1.469627426500011,-13.406398694189653,0.5365980281651836,-0.5365980281651836,-100.0,3.119041386710183,-3.119041386710183,-100.0
2014-04-01,1396324800000,216.970001,13.1,0.1121,52.60725315429005,5.330375259323604,-5.330375259323604,-100.0,5.327043457903869,-3.817049457903863,-71.65418281392863,,,,10.657418717227472,-9.147424717227468,-85.8315222469477,1.6679323324276965,-1.6679323324276965,-100.0,12.512933990936975,-0.15443994093698166,-1.234242433060395,3.662442926895907,1.3375570731040929,36.52089874988811,12.326646028157654,-2.988139978157648,-24.241305958911,1.4749807668089403,-1.4749807668089403,-100.0,3.852062691094929,-3.852062691094929,-100.0
2014-04-02,1396411200000,230.289993,13.09,0.110033333,59.27591060889535,6.374261092516947,-6.374261092516947,-100.0,6.370789943953255,6.989210056046757,109.70711823076927,,,,12.7450510364702,0.6149489635298124,4.825001969549786,2.3263027754166643,-2.3263027754166643,-100.0,13.837157719424825,11.037341930575169,79.76596172695763,4.0479583171002815,0.9520416828997176,23.519058456651894,13.596749439817385,-13.596749439817385,-100.0,2.078952198681911,-0.23345184868190216,-11.229303339918753,4.291837745271344,-4.291837745271344,-100.0
2014-04-03,1396497600000,225.399994,13.37,0.108166667,56.92360841443468,5.9914576816599805,-5.9914576816599805,-100.0,5.9881178754319535,15.221874124568044,254.20131068261605,,,,11.979575557091934,9.230416442908066,77.05128114863501,2.0808817951275245,-2.0808817951275245,-100.0,13.347374698588116,19.132617001411887,143.34367194648203,3.910575886532457,1.089424113467544,27.858406154944767,13.126592620839148,-13.126592620839148,-100.0,1.8534201049225416,8.086572195077459,436.30541039239534,4.134697770509412,-4.134697770509412,-100.0
2014-04-04,1396584000000,212.229996,13.96,0.1087,77.71636510754381,7.700236824788661,-7.700236824788661,-100.0,7.697076656458577,0.7529203435414189,9.781900027066088,,,,15.39731348124724,-6.947316481247243,-45.120315889577405,3.694075047693232,-3.694075047693232,-100.0,14.302256670946662,4.759240129053354,33.2761482229667,4.0061617770954285,0.9938382229045716,24.807740630612532,13.975794952001793,-11.814292152001796,-84.53395454481539,3.361292992088245,-3.361292992088245,-100.0,4.335783664370332,-4.335783664370332,-100.0
2014-04-07,1396843200000,207.520004,15.57,0.1098,78.33268854843371,7.589018549018887,-7.589018549018887,-100.0,7.5858972442135135,1.844110755786474,24.309724959603862,,,,15.174915793232401,-5.7449077932324135,-37.85792205709957,3.665106218805235,-3.665106218805235,-100.0,14.03782904875962,5.7681791512404175,41.09025071615396,3.9239123302136516,1.0760876697863484,27.42384587699891,13.715309080963804,-12.769316880963828,-93.10265489158412,3.336343641398699,-3.336343641398699,-100.0,4.249553602814815,-4.249553602814815,-100.0
2014-04-08,1396929600000,215.460007,14.89,0.109766667,77.52127954214545,7.797838894946451,-7.797838894946451,-100.0,7.794599148503764,13.755403851496242,176.47352467300004,,,,15.592438043450215,5.957564956549788,38.20803994826411,3.732912315949953,-3.732912315949953,-100.0,14.502510932185118,17.820492417814876,122.87866908802827,4.064926578996498,0.9350734210035024,23.00345166958323,14.172226496389046,-14.172226496389046,-100.0,3.396148387268532,7.380854262731455,217.33014642118613,4.398450761235232,-4.398450761235232,-100.0
2014-04-09,1397016000000,216.929993,13.82,0.110366667,57.95164510485729,5.870415272945478,-5.870415272945478,-100.0,5.86713559358715,11.952856406412835,203.72558662999802,,,,11.737550866532633,6.082441133467356,51.820360163978215,2.084663264595214,-2.084663264595214,-100.0,12.927719251269028,15.738772398731015,121.74438578704478,3.785752008350264,1.214247991649736,32.07415564916717,12.709177654691189,-12.709177654691189,-100.0,1.8595623093008133,5.113930040699202,275.0071893327423,4.007573284286337,-4.007573284286337,-100.0
