Datetime,Timestamp,Price,VIX,10-Month-LIBOR,10-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2017-01-09,1483938000000,14.91,11.49,1.5597027030000001,,,,,,,,,,
2017-01-10,1484024400000,14.9,11.26,1.557992703,,,,,,,,,,
2017-01-11,1484110800000,14.74,11.54,1.570982703,,,,,,,,,,
2017-01-12,1484197200000,14.75,11.23,1.573494324,,,,,,,,,,
2017-01-13,1484283600000,14.69,11.87,1.569569459,,,,,,,,,,
2017-01-17,1484629200000,14.64,12.48,1.569536216,,,,,,,,,,
2017-01-18,1484715600000,14.73,12.78,1.5721875680000001,,,,,,,,,,
2017-01-19,1484802000000,14.89,11.54,1.5723510809999999,,,,,,,,,,
2017-01-20,1484888400000,14.61,11.77,1.579725946,,,,,,,,,,
2017-01-23,1485147600000,14.66,11.07,1.5958475680000002,,,,,,,,,,
2017-01-24,1485234000000,14.6,10.81,1.601249189,,,,,,,,,,
2017-01-25,1485320400000,14.41,10.63,1.5916310809999998,,,,,,,,,,
2017-01-26,1485406800000,14.53,10.58,1.5802778380000002,,,,,,,,,,
2017-01-27,1485493200000,14.45,11.88,1.591569459,,,,,,,,,,
2017-01-30,1485752400000,14.62,11.99,1.599455946,,,,,,,,,,
2017-01-31,1485838800000,14.36,11.81,1.595679459,49.469350048385294,2.625946160879064,30.77405183912094,1171.9224216241735,2.4388419018355934,-2.4388419018355934,-100.0,,,
2017-02-01,1485925200000,14.36,11.93,1.595437838,49.17240412510257,2.6109971073656983,32.7190018926343,1253.1228701990156,2.4239209946727107,-2.4239209946727107,-100.0,,,
2017-02-02,1486011600000,14.28,10.97,1.584827838,49.16893257327114,2.5957572428787907,30.62424275712121,1179.7806917860235,2.410952461604793,-2.410952461604793,-100.0,,,
2017-02-03,1486098000000,14.4,11.37,1.586982703,49.164397782152214,2.6174480806544835,30.012550919345518,1146.6340494456335,2.4308385793215628,-2.4308385793215628,-100.0,,,
2017-02-06,1486357200000,14.4,11.29,1.584596216,49.15226732704997,2.6167180599907933,32.11328294000921,1227.2351168059042,2.4303873565016287,-2.4303873565016287,-100.0,,,
2017-02-07,1486443600000,14.47,11.45,1.585706216,49.1536367732351,2.6295627989099897,34.280438201090014,1303.655429537564,2.4421960160018026,-2.4421960160018026,-100.0,,,
2017-02-08,1486530000000,14.73,10.88,1.579694595,49.16747409219124,2.6772214319383627,33.22277956806164,1240.9425373532765,2.4872064147052937,-2.4872064147052937,-100.0,,,
2017-02-09,1486616400000,14.61,10.85,1.578057838,49.17413651164484,2.6556700223208543,34.19432897767915,1287.5970542377813,2.467397000199071,-2.467397000199071,-100.0,,,
2017-02-10,1486702800000,14.5,11.07,1.5728610809999999,49.17973565102329,2.6357010149799613,33.214296985020034,1260.169374153106,2.4494568887405404,-2.4494568887405404,-100.0,,,
2017-02-13,1486962000000,14.33,10.74,1.567826216,49.185360795926364,2.604834454104016,29.075163545895986,1116.2000525633002,2.4213592854621977,-2.4213592854621977,-100.0,,,
2017-02-14,1487048400000,14.31,11.97,1.574581081,49.129074083291826,2.598708537310848,27.841291462689146,1071.3510600730704,2.4147051509140924,-2.4147051509140924,-100.0,,,
2017-02-15,1487134800000,13.89,11.76,1.579529189,49.17301548317321,2.524810721999211,30.325191278000787,1201.087709814085,2.3456502315883547,-2.3456502315883547,-100.0,,,
2017-02-16,1487221200000,14.47,11.49,1.577422703,49.30150814590091,2.6366478512558142,30.463352148744182,1155.3819041186991,2.4502535155163017,-2.4502535155163017,-100.0,,,
2017-02-17,1487307600000,14.63,11.57,1.590507568,49.30906041623418,2.6668461369117202,30.043153863088282,1126.5424520470865,2.4768377129775443,-2.4768377129775443,-100.0,,,
2017-02-21,1487653200000,15.04,11.74,1.6111291890000001,49.364036023861026,2.7455439078045,30.4144570921955,1107.775293840291,2.547694721931446,-2.547694721931446,-100.0,,,
2017-02-22,1487739600000,17.15,11.71,1.602579189,50.71725958319475,3.2114547672144282,28.298545232785568,881.17527052487,2.9870382001028988,-2.9870382001028988,-100.0,,,
