Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,95-Calls.1,95-Calls-P.1,95-Calls-ROI.1,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls,90-Calls-P,90-Calls-ROI
2016-01-13,1452661200000,11.61,25.22,0.424,39.63525526391039,0.5279562458584612,-0.5279562458584612,-100.0,0.5239109452997184,0.7660890547002808,146.2250524775766,0.2991441083717681,-0.2991441083717681,-100.0,0.8753965427850909,0.9951034572149088,113.67459300775486,0.2288121374866932,-0.2288121374866932,-100.0,0.7130573371078484,-0.7130573371078484,-100.0,0.36083339556587024,0.5808666044341306,160.979169769804,0.3792729339540193,-0.3792729339540193,-100.0,0.7234062743785152,0.9148937256214841,126.47025026254816,0.7401063295198895,0.2015936704801096,27.238474046139327,0.856949385022884,-0.856949385022884,-100.0,0.2726063494920803,0.43689365050792,160.26539782434983,,,,1.2833709280429044,-1.2833709280429044,-100.0,0.11873015754003592,0.010269842459963652,8.649733709399527,,,
2016-01-14,1452747600000,10.82,23.95,0.4245,44.3778680037381,0.5506075057682569,-0.5506075057682569,-100.0,0.5468330218072763,-0.16683302180727555,-30.50895157280269,0.3341330123546897,-0.3341330123546897,-100.0,0.8711698041956613,0.04983019580433989,5.719917697370996,0.21647449341356725,-0.21647449341356725,-100.0,0.7203659151944377,-0.7203659151944377,-100.0,0.39210466575228864,-0.3367046657522863,-85.87111941304948,0.4111848112329701,-0.4111848112329701,-100.0,0.7318970927531625,-0.0272970927531615,-3.7296353576810337,0.8032894769852588,-0.7478894769852582,-93.10335793169901,0.8507027247317724,-0.6897027247317746,-81.074469927111,0.30611696496884194,-0.30611696496884194,-100.0,,,,1.2338150747490984,-0.5318150747490984,-43.10330499546257,0.1484180391842158,-0.1484180391842158,-100.0,,,
2016-01-15,1452834000000,10.27,27.02,0.4255,46.55439221422802,0.5481300820805464,-0.0981300820805453,-17.902699612484568,0.5445390237590582,-0.5445390237590582,-100.0,0.3415434115608389,-0.3415434115608389,-100.0,0.8512728003232759,-0.7877728003232765,-92.54058158843029,0.20658667051970747,-0.20658667051970747,-100.0,0.7081822023063156,0.049917797693685095,7.048722423568303,0.39659887573447294,-0.39659887573447294,-100.0,0.4155314756966417,-0.27363147569664026,-65.85096237003347,0.7199326856255093,-0.7199326856255093,-100.0,0.8121303514311147,-0.6702303514311132,-82.52743543570942,0.8304486157672084,0.1330513842327914,16.021627552461158,0.3135371103617963,-0.3135371103617963,-100.0,,,,1.1885179524093132,0.28848204759068885,24.27241818315745,0.15828599991997327,-0.15828599991997327,-100.0,,,
2016-01-19,1453179600000,9.47,26.05,0.4255,51.48241327400844,0.5586674160295955,1.9413325839704043,347.49343317125954,0.5553560896124106,-0.5553560896124106,-100.0,0.3663342724568759,1.6601657275431227,453.1832952480727,0.8363573797188337,-0.8363573797188337,-100.0,0.1923331435727196,-0.1923331435727196,-100.0,0.7041995215373679,2.0799004784626307,295.3567014532913,0.4168875349127004,-0.4168875349127004,-100.0,0.4360332463461312,1.7798667536538684,408.19519350159317,0.7167225801364321,-0.7167225801364321,-100.0,0.8529207812588316,1.362979218741168,159.80138468774763,0.8142506514792185,2.159249348520781,265.18239126958684,0.3376048913828926,-0.3376048913828926,-100.0,,,,1.1339724081081863,2.3130275918918146,203.97565014396199,0.18399221433271906,-0.18399221433271906,-100.0,,,
2016-01-20,1453266000000,9.49,27.59,0.4255,51.297038369948226,0.5578410299609216,2.2021589700390782,394.7646106621713,0.5545227102461299,-0.5545227102461299,-100.0,0.3651603107059551,1.920339689294044,525.8894882583214,0.8361760750054232,-0.8361760750054232,-100.0,0.19268071925496644,-0.19268071925496644,-100.0,0.7037535412260071,2.340946458773992,332.63725461272077,0.4158347711026584,-0.4158347711026584,-100.0,0.4349576132103685,2.0403423867896318,469.0899353916618,0.716239743904131,-0.716239743904131,-100.0,0.850792384313027,1.6245076156869718,190.9405450306989,0.8141313512240611,2.4203686487759377,297.2946128578478,0.3364789474950083,-0.3364789474950083,-100.0,,,,1.1348959280916215,2.574104071908378,226.81410763688697,0.18290944034830847,-0.18290944034830847,-100.0,,,
2016-01-21,1453352400000,10.02,26.69,0.426,53.52290000235178,0.6144298113828359,1.3755701886171643,223.8775142633958,0.6109220529139225,-0.6109220529139225,-100.0,0.4102956314263779,1.0787043685736208,262.90905531300547,0.9076124850340196,-0.9076124850340196,-100.0,0.20413417995645802,-0.20413417995645802,-100.0,0.767585930825545,1.5230140691744545,198.4161001409236,0.4635834051106995,-0.4635834051106995,-100.0,0.4845787043041829,1.204821295695818,248.6327370547261,0.7815657130812017,-0.7815657130812017,-100.0,0.9481621094148824,0.7412378905851167,78.17628264459333,0.8829676718358623,1.608032328164137,182.11678405175635,0.37863530129039397,-0.37863530129039397,-100.0,,,,1.217116560958683,1.774883439041318,145.82690729664384,0.21195957833666013,-0.21195957833666013,-100.0,,,
2016-01-22,1453438800000,9.85,22.34,0.425,53.47664512401149,0.6034820729456225,1.8065179270543776,299.3490623899868,0.6000419204045064,-0.6000419204045064,-100.0,0.4028251682011024,1.5146748317988985,376.0129583171246,0.891713008032931,-0.891713008032931,-100.0,0.20065690474452008,-0.20065690474452008,-100.0,0.7540572969211734,1.9514427030788253,258.7923637960396,0.4552203489562929,-0.4552203489562929,-100.0,0.4758362829542788,1.6386637170457208,344.3755290941471,0.7677929258369298,-0.7677929258369298,-100.0,0.9310566319105718,1.1834433680894278,127.10756011274488,0.8675041296994772,2.0349958703005218,234.58053980740016,0.371735984785416,-0.371735984785416,-100.0,,,,1.1960729296670325,2.198927070332969,183.8455679241161,0.2079767923800273,-0.2079767923800273,-100.0,,,
2016-01-25,1453698000000,9.81,24.15,0.4253,53.46981797724829,0.6009561592597024,1.0690438407402976,177.89048739548932,0.5975275588221898,-0.5975275588221898,-100.0,0.4011157737268087,0.7783842262731904,194.05475357928242,0.8880157432674212,-0.8880157432674212,-100.0,0.19984038553289368,-0.19984038553289368,-100.0,0.7509227191384369,1.2133772808615628,161.58484088132508,0.4532969767140491,-0.4532969767140491,-100.0,0.473828830275481,0.9018711697245192,190.3369132689071,0.7645973718248431,-0.7645973718248431,-100.0,0.9271258069895301,0.4485741930104701,48.38331428471776,0.8639123311139896,1.2965876688860094,150.08324597174087,0.3701551606983529,-0.3701551606983529,-100.0,,,,1.1911602540313302,1.4598397459686696,122.55611627638076,0.207074513637568,-0.207074513637568,-100.0,,,
2016-01-26,1453784400000,9.54,22.5,0.4265,53.69504300518782,0.5868703076649053,1.9031296923350949,324.28454250947635,0.5835266663551808,-0.5835266663551808,-100.0,0.3924678746541797,1.6205321253458205,412.9082225580223,0.8659570512789685,-0.8659570512789685,-100.0,0.19440243301072568,-0.19440243301072568,-100.0,0.7326248727644638,2.043575127235536,278.9388134645734,0.4431815406940309,-0.4431815406940309,-100.0,0.463233238206036,1.740566761793965,375.7430638040268,0.7459892876570189,-0.7459892876570189,-100.0,0.9064147789000668,1.2973852210999324,143.13372324691213,0.8423968958799941,2.1246031041200064,252.20927504731358,0.3622204366357553,-0.3622204366357553,-100.0,,,,1.1602163047067873,2.283783695293214,196.84119987180992,0.20320702752803527,-0.20320702752803527,-100.0,,,
2016-01-27,1453870800000,9.05,23.11,0.4255,55.25344171309178,0.5728022519435871,1.6771977480564129,292.80571826760087,0.5696377847761607,-0.5696377847761607,-100.0,0.3880088065210545,1.4094911934789451,363.2626811016625,0.8371861159952578,-0.8371861159952578,-100.0,0.18479344542253265,-0.18479344542253265,-100.0,0.7105218073636532,1.8109781926363464,254.8800295596652,0.4359522742112514,-0.4359522742112514,-100.0,0.4554724427656125,1.5230275572343883,334.3841282661622,0.7237130415831627,-0.7237130415831627,-100.0,0.8914247169768639,1.0870752830231365,121.94807506682032,0.8139624807666159,1.8885375192333829,232.0177605059508,0.35845623695756235,-0.35845623695756235,-100.0,,,,1.1127497392784642,2.042250260721537,183.53185704143903,0.2049017188277804,-0.2049017188277804,-100.0,,,
