Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Calls.1,110-Calls-P.1,110-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2016-08-24,1472011200000,12.31,13.63,1.229,59.54548317746414,1.6069420234252316,4.932057976574766,306.92196138240126,2.7561206367288733,-2.7561206367288733,-100.0,,,,2.0699357245138907,5.700064275486107,275.373974562651,1.99555264569902,-1.99555264569902,-100.0,,,
2016-08-25,1472097600000,12.04,13.65,1.2234399999999999,59.59000890518417,1.5730768228532552,5.432923177146745,345.3692215293389,2.6974110066110786,-2.6974110066110786,-100.0,,,,2.0258610854660555,6.184138914533945,305.2597712103871,1.9534376161549851,-1.9534376161549851,-100.0,,,
2016-08-26,1472184000000,12.01,12.94,1.22428,59.58780485991802,1.5691013317953797,5.55989866820462,354.3364953901948,2.690579621605817,-2.690579621605817,-100.0,,,,2.0207618384290003,6.309238161571,312.2207694933505,1.9484693746203083,-1.9484693746203083,-100.0,,,
2016-08-29,1472443200000,12.07,13.12,1.2315,59.58247646330797,1.5769181593680512,4.706080840631949,298.43532542728195,2.703529291660505,-2.703529291660505,-100.0,,,,2.030862110892006,5.459136889107993,268.8088403358021,1.957781322066963,-1.957781322066963,-100.0,,,
2016-08-30,1472529600000,12.19,13.42,1.2315,59.47815646860934,1.5890332891665355,4.681966710833463,294.6424560613958,2.726845194936628,-2.726845194936628,-100.0,,,,2.047578237952398,5.442421762047602,265.7979881389093,1.9737708795615718,-1.9737708795615718,-100.0,,,
2016-08-31,1472616000000,12.0,13.48,1.2445,59.491390076115856,1.5649935529900976,5.1450064470099015,328.7557598674949,2.684229804948417,-2.684229804948417,-100.0,,,,2.0164209215193365,5.8935790784806645,292.2792069643852,1.9429993323905348,-1.9429993323905348,-100.0,,,
2016-09-01,1472702400000,12.05,11.98,1.2445,59.463252528054646,1.5705644800584766,6.124436519941522,389.951294436093,2.6944642163999566,-2.6944642163999566,-100.0,,,,2.0238962231400537,6.876104776859946,339.7459167245118,1.9501687107232168,-1.9501687107232168,-100.0,,,
2016-09-02,1472788800000,11.83,12.02,1.25122,59.50060620273651,1.5432724366435555,7.083726563356444,459.00687365108075,2.6462242401178084,-2.6462242401178084,-100.0,,,,1.988317684542224,7.821681315457775,393.3818713310183,1.9155465967915462,-1.9155465967915462,-100.0,,,
2016-09-06,1473134400000,11.93,11.94,1.24706,59.509008923369294,1.556508676375481,7.240491323624521,465.17513416532205,2.6690513915228467,-2.6690513915228467,-100.0,,,,2.005296112017409,7.984703887982593,398.18078936729484,1.93215312578774,-1.93215312578774,-100.0,,,
2016-09-07,1473220800000,11.78,12.51,1.2486700000000002,59.51990025619028,1.537331991043196,7.834668008956803,509.62759212734437,2.6357840715642187,-2.6357840715642187,-100.0,,,,1.980472711314844,8.569527288685155,432.7011041215412,1.9081564208794104,-1.9081564208794104,-100.0,,,
