Datetime,Price,Timestamp,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2014-07-11,631.1804,1405051200000,12.08,0.12225,27.734241301740877,9.677939408491397,-9.677939408491397,-100.0,9.663141427790322,-6.6983414277903535,-69.31846623424686,,,
2014-07-12,634.4775,1405137600000,11.82,0.12275,27.90104931909549,9.78698423972503,-9.78698423972503,-100.0,9.772048119864278,-1.095648119864336,-11.212062266017094,,,
2014-07-13,627.5759,1405224000000,11.82,0.12275,28.95295878089476,10.04516827443507,-10.04516827443507,-100.0,10.030394623889322,-3.82699462388922,-38.153978655779845,,,
2014-07-14,618.3798,1405310400000,11.96,0.1225,26.10466227784209,8.925056379485452,-7.2945563794854715,-81.73120784146815,8.910528860312695,-8.910528860312695,-100.0,,,
2014-07-15,619.3558,1405396800000,11.0,0.12275,25.97993455466956,8.896485888160614,-8.896485888160614,-100.0,8.881905745499466,-8.333705745499401,-93.82790117675093,,,
2014-07-16,615.2039,1405483200000,11.0,0.12275,26.38123934885587,8.973220952117911,-6.249720952117856,-69.64857976268554,8.958738548582403,-8.958738548582403,-100.0,,,
2014-07-17,622.6234,1405569600000,14.54,0.12275,27.01842364215843,9.300581099485784,-9.300581099485784,-100.0,9.285924034845095,13.330975965154893,143.56111373656393,,,
2014-07-18,628.2156,1405656000000,12.06,0.12275,19.62186195528082,6.817334205437874,-6.817334205437874,-100.0,6.802545495830373,21.485054504169625,315.83845366912885,,,
2014-07-19,625.8011,1405742400000,12.81,0.122,19.05190552621448,6.594051343781531,-6.594051343781531,-100.0,6.5794094838555575,25.36909051614441,385.58309189289184,,,
2014-07-20,621.3725,1405828800000,12.81,0.122,18.132493581481945,6.231789780380268,-6.231789780380268,-100.0,6.217251536348955,24.20984846365104,389.39792482432097,,,
2014-07-21,620.0103,1405915200000,12.24,0.12300000000000001,14.39196066055065,4.937001560748229,-4.937001560748229,-100.0,4.922376284800522,30.39482371519955,617.4827350979589,,,
2014-07-22,618.8076,1406001600000,11.52,0.12300000000000001,14.437571872784636,4.943017128856752,-4.943017128856752,-100.0,4.928420223114017,31.675779776885967,642.7166991225369,,,
2014-07-23,617.9274,1406088000000,11.52,0.12300000000000001,13.436029014918144,4.594090158362178,-4.594090158362178,-100.0,4.579514015448638,48.97788598455139,1069.4996416503643,,,
