Datetime,Price,Timestamp,VIX,10-Month-LIBOR,10-Month-VM,96-Calls,96-Calls-P,96-Calls-ROI,96-Puts,96-Puts-P,96-Puts-ROI,94-Calls,94-Calls-P,94-Calls-ROI,94-Puts,94-Puts-P,94-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,96-Butterfly-Spreads,96-Butterfly-Spreads-P,96-Butterfly-Spreads-ROI
2016-02-10,93.7,1455080400000,28.14,1.0393702702702703,27.79005417826812,11.59783249779302,40.89016750220698,352.56732247157447,7.084666282354717,-7.084666282354717,-100.0,12.609390487219475,41.75260951278052,331.1231383872185,6.238165234602818,-6.238165234602818,-100.0,10.64738755286308,39.96661244713691,375.3654335273059,7.992280374603162,-7.992280374603162,-100.0,0.061113044496515556,-0.061113044496515556,-100.0
2016-02-11,93.99,1455166800000,25.4,1.0261229729729728,27.79076896179347,11.628816805741005,40.41078319425903,347.50554479720336,7.1114238298300805,-7.1114238298300805,-100.0,12.643289844029047,41.27611015597096,326.46653414707663,6.261884221782942,-6.261884221782942,-100.0,10.67565294857215,39.48414705142787,369.85229139271337,8.022272618996404,-8.022272618996404,-100.0,0.061309181119188594,-0.061309181119188594,-100.0
2016-02-12,96.64,1455253200000,24.11,1.0352648648648648,27.91114900012048,12.000288645661811,38.865311354338175,323.86980431831745,7.348617928392159,-7.348617928392159,-100.0,13.042320161571858,39.756079838428136,304.8236766611987,6.474225917578656,-6.474225917578656,-100.0,11.021023361229242,37.91177663877074,343.9950664848443,8.285776170683143,-8.285776170683143,-100.0,0.06276623147747529,-0.06276623147747529,-100.0
2016-02-16,98.12,1455598800000,22.31,1.0385851351351352,27.872977836474448,12.172548500846489,38.16225149915351,313.5107779319974,7.447090687110388,-7.447090687110388,-100.0,13.230975812636455,39.06622418736354,295.2633633420501,6.559798370019879,-6.559798370019879,-100.0,11.177931673941712,37.194468326058285,332.749111472626,8.398193489086111,-8.398193489086111,-100.0,0.06381048488518815,-0.06381048488518815,-100.0
2016-02-17,96.26,1455685200000,21.64,1.0404702702702702,27.888186883463288,11.947577937308688,39.32282206269132,329.1279811609179,7.310278060231483,-7.310278060231483,-100.0,12.985821709228814,40.20977829077117,309.64369595645024,6.439715579590732,-6.439715579590732,-100.0,10.97190045950871,38.373299540491296,349.7415938296759,8.243406834992397,-8.243406834992397,-100.0,0.06256629412014902,-0.06256629412014902,-100.0
2016-02-18,96.04,1455771600000,20.53,1.046572972972973,27.835991524748398,11.905475946395704,39.686124053604296,333.34344827784037,7.274189407798978,-7.274189407798978,-100.0,12.941958560441284,40.5704414395587,313.4799207561005,6.40632382473202,-6.40632382473202,-100.0,10.931526920816117,38.73927307918387,354.381170716558,8.204588579331997,-8.204588579331997,-100.0,0.06253358846599255,-0.06253358846599255,-100.0
2016-02-19,96.88,1455858000000,19.38,1.044235135135135,27.847885519466995,12.012627523286532,38.63257247671349,321.59968667823983,7.342605912785125,-7.342605912785125,-100.0,13.05801947584422,39.52478052415579,302.6858751227315,6.466956648894937,-6.466956648894937,-100.0,11.030291342867812,37.6773086571322,341.58035799747347,8.281310948814307,-8.281310948814307,-100.0,0.0630557721389664,-0.0630557721389664,-100.0
2016-02-22,94.69,1456117200000,20.98,1.0611932432432432,27.88200018730241,11.758799891692592,43.91880010830744,373.49730000367964,7.181784472840043,-7.181784472840043,-100.0,12.780497360522899,44.79090263947711,350.4629074751793,6.3261280962298025,-6.3261280962298025,-100.0,10.798648225739312,42.9851517742607,398.06048753215856,8.098986652327355,-8.098986652327355,-100.0,0.06154580287702771,-0.06154580287702771,-100.0
2016-02-23,96.1,1456203600000,20.72,1.0600445945945949,27.89002777643985,11.936089871378016,43.31791012862199,362.91541531113614,7.291782931889131,-7.291782931889131,-100.0,12.972903622695544,44.20309637730444,340.7340227208116,6.4232697444460225,-6.4232697444460225,-100.0,10.961721582584763,42.37027841741523,386.5294160064258,8.222741581856532,-8.222741581856532,-100.0,0.06244546252427341,-0.06244546252427341,-100.0
2016-02-24,96.76,1456290000000,19.11,1.0576189189189191,27.8707046325946,12.010676187997287,42.15972381200271,351.0187365981481,7.3363087622128225,-7.3363087622128225,-100.0,13.05476315862093,43.05083684137906,329.771105904359,6.461945054206972,-6.461945054206972,-100.0,11.029507705766227,41.20569229423378,373.59502702637786,8.273590958611244,-8.273590958611244,-100.0,0.06291848839258307,-0.06291848839258307,-100.0
