Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2014-07-02,1404273600000,647.34,10.82,0.5467,118.44559167189043,289.8889931757065,-289.8889931757065,-100.0,286.3596416685114,106.62985833148865,37.23634298122321,576.2486348442179,-183.2591348442179,-31.802094402142902
2014-07-03,1404360000000,640.6879,10.32,0.5467,117.66293213137152,285.2340593407041,-285.2340593407041,-100.0,281.74097563584013,103.35082436415995,36.68292272038713,566.9750349765443,-181.88323497654426,-32.079584418398376
2014-07-04,1404446400000,626.9575,10.32,0.5467,117.69411482687815,279.18670667134916,-279.18670667134916,-100.0,275.76848224898634,90.84021775101364,32.94075414644219,554.9551889203356,-188.34648892033556,-33.93904457164611
2014-07-05,1404532800000,628.3313,11.33,0.5532,116.54601198591713,277.3920982793509,-277.3920982793509,-100.0,273.9257662421814,83.39023375781862,30.442639588746182,551.3178645215323,-194.0018645215323,-35.1887499038144
2014-07-06,1404619200000,631.7065,11.98,0.5532,116.54593251568852,278.88199368208234,-278.88199368208234,-100.0,275.3970415890731,87.81595841092695,31.887037676301322,554.2790352711554,-191.06603527115539,-34.47109183512329
2014-07-07,1404705600000,617.9918,11.98,0.5562,116.33660975234476,272.39810141174456,-272.39810141174456,-100.0,268.9703723712426,84.06482762875744,31.25430763531387,541.3684737829872,-188.33327378298713,-34.788371119387044
2014-07-08,1404792000000,620.2193,11.65,0.5562,116.31576152047218,273.3365014648082,-273.3365014648082,-100.0,269.8964174603119,80.67698253968808,29.891831577035127,543.2329189251201,-192.6595189251201,-35.46536158124035
2014-07-09,1404878400000,620.5496,12.59,0.5572,116.31237701509316,273.4767528609744,-273.4767528609744,-100.0,270.0286657814893,82.40753421851076,30.51806887984108,543.5054186424636,-191.06921864246357,-35.154979525264935
2014-07-10,1404964800000,615.1129,12.59,0.5572,115.65455424133751,269.72019207370715,-269.72019207370715,-100.0,266.3023140460449,64.9295859539551,24.381908278396892,536.022506119752,-204.79060611975206,-38.20559841828732
2014-07-11,1405051200000,631.1804,12.08,0.5492,115.45406489498166,276.32533530116564,-276.32533530116564,-100.0,272.8683939942305,66.6247060057695,24.416424720547962,549.1937292953961,-209.70062929539614,-38.18336191937909
2014-07-12,1405137600000,634.4775,11.82,0.5497,115.39772207959173,277.64926812756335,-277.64926812756335,-100.0,274.17111377558047,50.328586224419496,18.356633392683143,551.8203819031438,-227.32068190314385,-41.19468750305121
2014-07-13,1405224000000,627.5759,11.82,0.5497,115.37713768284794,274.5855923440489,-274.5855923440489,-100.0,271.14527200521167,65.54952799478832,24.175058451149532,545.7308643492606,-209.03606434926058,-38.30387430964144
2014-07-14,1405310400000,618.3798,11.96,0.5519,115.38279386950063,270.5776081175533,-270.5776081175533,-100.0,267.17417042653545,65.02002957346457,24.336195924052863,537.7517785440888,-205.55757854408876,-38.22536470276605
2014-07-15,1405396800000,619.3558,11.0,0.5519,115.35632702814553,270.9494461360001,-270.9494461360001,-100.0,267.54063673784293,67.9920632621571,25.41373306544867,538.490082873843,-202.95738287384296,-37.69008739969527
2014-07-16,1405483200000,615.2039,11.0,0.5549,115.35859381239445,269.1430195682029,-269.1430195682029,-100.0,265.73870712726176,71.63789287273823,26.958019645377053,534.8817266954646,-197.50512669546464,-36.925009182060606
2014-07-17,1405569600000,622.6234,14.54,0.5549,115.32343793973341,272.31520613148757,-272.31520613148757,-100.0,268.86983690245444,75.26526309754553,27.99319699251041,541.1850430339421,-197.0499430339421,-36.41082575550476
2014-07-18,1405656000000,628.2156,12.06,0.5544,115.1485615656777,274.38995301648504,-274.38995301648504,-100.0,270.91676231069744,82.80503768930255,30.564752429138604,545.3067153271825,-191.5849153271825,-35.133423070396645
2014-07-19,1405742400000,625.8011,12.81,0.5529,115.1522479070898,273.34048017434657,-273.34048017434657,-100.0,269.8899736079646,83.42222639203544,30.909716754877483,543.2304537823111,-189.91825378231107,-34.96089964396898
2014-07-20,1405828800000,621.3725,12.81,0.5529,115.15712677543414,271.41635302052083,-271.41635302052083,-100.0,267.9902646173217,74.96833538267816,27.974275666218556,539.4066176378426,-196.44801763784267,-36.41928208039483
2014-07-21,1405915200000,620.0103,12.24,0.5521,115.15707058200279,270.81982385090595,-270.81982385090595,-100.0,267.4061790222189,77.50462097778114,28.98385566899756,538.2260028731248,-193.31520287312475,-35.917105795926155
2014-07-22,1406001600000,618.8076,11.52,0.5561,115.15929628327775,270.30611907120215,-270.30611907120215,-100.0,266.8744805221221,75.3157194778779,28.221401810516962,537.1805995933242,-194.99039959332424,-36.29885363338566
2014-07-23,1406088000000,617.9274,11.52,0.5536,115.1604474020208,269.91966654663656,-269.91966654663656,-100.0,266.5082719130796,75.79252808692047,28.43909029271701,536.4279384597162,-194.12713845971615,-36.18885679540243
2014-07-24,1406174400000,600.0065,11.84,0.5536,115.21300749642086,262.19784581086566,-262.19784581086566,-100.0,258.8853871721982,53.147312827801784,20.52928263287828,521.0832329830639,-209.05053298306393,-40.118453204933274
2014-07-25,1406260800000,599.928,12.69,0.5571,115.20193308762043,262.1470801125004,-262.1470801125004,-100.0,258.8141736554504,52.979526344549576,20.470102389013373,520.9612537679509,-209.1675537679509,-40.15030911706138
2014-07-26,1406347200000,593.8526,12.69,0.5601,115.20913337240556,259.51178812750544,-259.51178812750544,-100.0,256.19491728288637,46.020482717113616,17.963074055172815,515.7067054103918,-213.49130541039176,-41.39781452725121
2014-07-27,1406433600000,590.9454,12.56,0.5601,115.1920075113428,258.20724353104845,-258.20724353104845,-100.0,254.90661039747002,43.308189602530014,16.989826013142835,513.1138539285184,-214.89905392851847,-41.8813587439126
2014-07-28,1406520000000,584.6931,13.28,0.5636,115.16864328750955,255.43510636133274,-255.43510636133274,-100.0,252.14904486935302,38.7589551306469,15.37144634068681,507.58415123068573,-216.67615123068578,-42.6877298484072
2014-07-29,1406606400000,582.2034,13.28,0.5646,115.16970794025349,254.35116348250816,-254.35116348250816,-100.0,251.073305187514,42.36199481248596,16.87236115398565,505.4244686700222,-211.9891686700222,-41.94279893647653
