Datetime,Timestamp,Price,VIX,2-Month-LIBOR,2-Month-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI
2017-04-18,1492488000000,142.44,14.15,1.035,15.727319650301574,14.627542859455701,6.216457140544293,42.498300639234024,0.16561948519531633,-0.16561948519531633,-100.0
2017-04-19,1492574400000,142.27,14.63,1.035,15.514525076293166,14.598969563371071,6.918030436628925,47.387114594623974,0.15430627738381286,-0.15430627738381286,-100.0
2017-04-20,1492660800000,143.64,10.84,1.035,15.574077032072132,14.742648174206451,6.0613518257935795,41.11440328880969,0.15888888272400248,-0.15888888272400248,-100.0
2017-04-21,1492747200000,144.53,10.76,1.035,15.57990944212285,14.834301311355432,6.10869868864458,41.17955109869896,0.16018038126660983,-0.16018038126660983,-100.0
2017-04-24,1493006400000,143.68,10.85,1.04056,15.643153638868165,14.751511734831666,6.276488265168325,42.548102038573525,0.1625113843473045,-0.1625113843473045,-100.0
2017-04-25,1493092800000,143.79,10.36,1.04,15.613182892074718,14.7611082006853,6.097891799314738,41.31052842652855,0.1610575799859948,-0.1610575799859948,-100.0
2017-04-26,1493179200000,143.65,10.82,1.04611,10.301085069772823,14.59646432602122,8.208535673978787,56.23646583608177,0.00933263677281626,-0.00933263677281626,-100.0
2017-04-27,1493265600000,146.58,10.11,1.04056,10.938230564504558,14.899510718203715,5.9184892817962975,39.72270897839142,0.01604975374101536,-0.01604975374101536,-100.0
2017-04-28,1493352000000,147.51,10.59,1.04,10.962993403682104,14.994227704913897,5.706772295086125,38.05979479167111,0.016458269909015222,-0.016458269909015222,-100.0
2017-05-01,1493611200000,147.06,10.68,1.03722,10.913839483695623,14.94728589655449,3.258714103445527,21.801376691381115,0.015812061487793905,-0.015812061487793905,-100.0
2017-05-02,1493697600000,146.53,10.46,1.03722,10.861390795799558,14.892794375109304,2.730205624890715,18.332393210597033,0.015133141243377723,-0.015133141243377723,-100.0
2017-05-03,1493784000000,148.96,10.57,1.03722,11.262248107889704,15.145072726938054,-0.4790727269380568,-3.163225001131527,0.0206857932270752,-0.0206857932270752,-100.0
2017-05-04,1493870400000,153.01,9.77,1.04361,12.357231973591734,15.579419575894377,-3.2384195758943406,-20.7865226308242,0.042379103825096465,-0.042379103825096465,-100.0
2017-05-05,1493956800000,153.99,9.96,1.04611,12.344584010996455,15.679458101315845,2.8695418986841332,18.301282353905567,0.0423372601926042,-0.0423372601926042,-100.0
2017-05-08,1494216000000,153.26,10.21,1.06028,12.363699768204485,15.608737158831559,2.0272628411684366,12.988000377861406,0.042537785844339204,-0.042537785844339204,-100.0
2017-05-09,1494302400000,153.95,10.6,1.06,12.175387383258226,15.674570566623714,2.1604294333762937,13.78302151369017,0.038353441479510586,-0.038353441479510586,-100.0
2017-05-10,1494388800000,156.1,10.4,1.06833,12.405898827791319,15.900837550699862,2.41916244930016,15.21405675384491,0.04433130168757993,-0.04433130168757993,-100.0
2017-05-11,1494475200000,155.7,10.42,1.07,12.425544416980038,15.860956696725424,4.089043303274593,25.78055902591801,0.044698099966076654,-0.044698099966076654,-100.0
2017-05-12,1494561600000,155.47,10.65,1.07028,12.449677302439698,15.838192378905347,5.298807621094653,33.45588621686434,0.045233265560551406,-0.045233265560551406,-100.0
2017-05-15,1494820800000,150.25,15.59,1.07833,14.470040772171892,15.376109435975366,4.718890564024633,30.689756623244897,0.11162229129082757,-0.11162229129082757,-100.0
2017-05-16,1494907200000,152.54,14.66,1.07778,14.732090864744945,15.622253774820194,4.571746225179822,29.264319291423373,0.12524044502730725,-0.12524044502730725,-100.0
2017-05-17,1494993600000,153.06,12.04,1.07556,14.681951467973269,15.672685172402993,6.423314827597011,40.98413741448342,0.12334524309207406,-0.12334524309207406,-100.0
2017-05-18,1495080000000,153.99,10.93,1.07833,14.705066477922834,15.76960167290261,7.239398327097376,45.90729986247564,0.12515325087285234,-0.12515325087285234,-100.0
2017-05-19,1495166400000,153.8,10.72,1.07833,14.719909132324775,15.75084169190302,6.779158308096953,43.03997488325904,0.12569611551378568,-0.12569611551378568,-100.0
2017-05-22,1495425600000,153.34,10.02,1.07639,14.75162024868345,15.704803250909293,4.14919674909072,26.41992187231308,0.1268302078199426,-0.1268302078199426,-100.0
2017-05-23,1495512000000,153.87,9.99,1.09611,14.252249060146081,15.741021166971393,3.275978833028603,20.81173005409857,0.10472374548943009,-0.10472374548943009,-100.0
2017-05-24,1495598400000,153.61,9.81,1.09889,14.182330062931076,15.712109076648147,3.2488909233518655,20.677624547429307,0.10160226229436287,-0.10160226229436287,-100.0
2017-05-25,1495684800000,153.67,10.38,1.10139,14.157288978321976,15.71775960869033,5.759240391309703,36.641611366326195,0.10058799552568143,-0.10058799552568143,-100.0
2017-05-26,1495771200000,152.76,10.41,1.11056,14.20849485866135,15.628792708602191,6.867207291397818,43.93946109233416,0.1020338910934262,-0.1020338910934262,-100.0
2017-05-30,1496116800000,153.18,9.89,1.12028,14.210565968587364,15.673973889334633,5.734026110665383,36.58310362866627,0.1023268976742715,-0.1023268976742715,-100.0
2017-05-31,1496203200000,155.45,9.75,1.12083,14.418473220326055,15.915365080545314,4.039634919454727,25.381980865727748,0.11283299508633604,-0.11283299508633604,-100.0
2017-06-01,1496289600000,153.93,10.07,1.12083,14.59270154878243,15.767547552409752,7.165452447590241,45.44430529714905,0.11953363208362067,-0.11953363208362067,-100.0
2017-06-02,1496376000000,154.45,10.45,1.11444,14.592987530545699,15.819422944338612,8.085577055661389,51.11170669189941,0.12000499013180388,-0.12000499013180388,-100.0
2017-06-05,1496635200000,155.37,10.39,1.12583,14.615527998201308,15.91721078845697,7.599789211543026,47.74573455453848,0.12166404600346237,-0.12166404600346237,-100.0
2017-06-06,1496721600000,154.99,10.16,1.1347200000000002,14.625960381170822,15.880721727678605,8.628278272321381,54.33177673079621,0.12177263679623973,-0.12177263679623973,-100.0
2017-06-07,1496808000000,148.98,10.7,1.14306,16.792220191172497,15.386471923583784,14.581528076416234,94.76849630529163,0.23676802844665445,-0.23676802844665445,-100.0
2017-06-08,1496894400000,145.42,10.7,1.145,17.565290060310023,15.071824246642464,16.130175753357562,107.02205313302314,0.2837184325777784,-0.2837184325777784,-100.0
2017-06-09,1496980800000,145.63,11.46,1.15167,17.528078128894627,15.092257494639256,15.750742505360762,104.36306504149826,0.28136192219649203,-0.28136192219649203,-100.0
2017-06-12,1497240000000,146.59,10.42,1.16278,17.453480658411557,15.188646200047629,14.14035379995238,93.09818408903381,0.27771160947215456,-0.27771160947215456,-100.0
2017-06-13,1497326400000,145.16,10.64,1.17278,17.4061208407958,15.039147556463973,12.946852443536045,86.08767481619236,0.2715271588312884,-0.2715271588312884,-100.0
2017-06-14,1497412800000,144.29,10.9,1.18167,17.315600462323204,14.9445153605065,16.69448463949351,111.70977604005554,0.2635089405836055,-0.2635089405836055,-100.0
2017-06-15,1497499200000,142.27,10.38,1.19167,17.550116550093502,14.753397415099982,18.063602584900025,122.43690098398675,0.27581826566920853,-0.27581826566920853,-100.0
2017-06-16,1497585600000,146.34,10.37,1.20111,18.459669936944657,15.246518334042875,12.697481665957142,83.28118845078113,0.3527309493196906,-0.3527309493196906,-100.0
2017-06-19,1497844800000,145.01,10.86,1.23833,18.56676740544284,15.123821237246858,12.647178762753157,83.62422805954462,0.3574258990841255,-0.3574258990841255,-100.0
2017-06-20,1497931200000,145.87,10.75,1.24389,18.129844625743598,15.18018469875119,13.416815301248818,88.38374214480119,0.3250179550815737,-0.3250179550815737,-100.0
2017-06-21,1498017600000,145.63,10.48,1.24611,18.129095885756215,15.15559179887103,12.44740820112898,82.13079612012388,0.32438894321608736,-0.32438894321608736,-100.0
2017-06-22,1498104000000,146.28,10.02,1.24944,18.14738296928408,15.225310668613716,11.852689331386287,77.84858771926451,0.32719154264959904,-0.32719154264959904,-100.0
2017-06-23,1498190400000,145.82,9.9,1.25056,18.155682336301357,15.178293774362075,9.653706225637919,63.602051516120774,0.32678295384253353,-0.32678295384253353,-100.0
2017-06-26,1498449600000,143.73,11.06,1.25111,18.40341330482275,14.979935104338821,9.053064895661194,60.43460690987269,0.3411703993891724,-0.3411703993891724,-100.0
2017-06-27,1498536000000,145.83,10.03,1.25111,18.58180708917141,15.213082860149626,5.429917139850346,35.692418096754785,0.3604351392646148,-0.3604351392646148,-100.0
2017-06-28,1498622400000,143.68,11.44,1.25222,18.803931292716406,15.006914213990314,6.231085786009686,41.5214327020055,0.37300649666167196,-0.37300649666167196,-100.0
2017-06-29,1498708800000,144.02,11.18,1.25222,18.803149079199937,15.042362170492027,8.479637829507965,56.371716977683974,0.3738252171953036,-0.3738252171953036,-100.0
2017-06-30,1498795200000,143.5,11.22,1.25444,18.812453945024878,14.98923861145748,10.090761388542504,67.32003973056592,0.37319368003560704,-0.37319368003560704,-100.0
2017-07-03,1499054400000,144.09,11.07,1.25444,18.829206448372236,15.052239528687124,8.546760471312894,56.780656825345865,0.3761007539931729,-0.3761007539931729,-100.0
2017-07-05,1499227200000,142.73,12.54,1.2533299999999998,18.7981749334469,14.90743748055472,10.755562519445292,72.14896948905445,0.3700540147116165,-0.3700540147116165,-100.0
2017-07-06,1499313600000,144.18,11.19,1.25389,18.90817443219118,15.068041524974348,8.979958475025654,59.59605606436595,0.3828529702799486,-0.3828529702799486,-100.0
2017-07-07,1499400000000,145.06,11.11,1.25389,18.90865190704567,15.160048791693995,8.765951208305992,57.822711052940335,0.385229456529828,-0.385229456529828,-100.0
2017-07-10,1499659200000,145.53,10.89,1.25556,18.888419380836186,15.207807719915792,7.295192280084194,47.970045482167556,0.3847585817977901,-0.3847585817977901,-100.0
2017-07-11,1499745600000,145.74,10.3,1.255,18.861968900294713,15.227437865583667,8.996562134416322,59.08125985363516,0.38311954186499797,-0.38311954186499797,-100.0
2017-07-12,1499832000000,147.77,9.9,1.255,19.035681005478192,15.454332470100212,6.852667529899804,44.341400983561016,0.40324890556126824,-0.40324890556126824,-100.0
2017-07-13,1499918400000,149.04,9.51,1.255,18.95107641954969,15.579853729878465,6.124146270121543,39.3081114643386,0.39941457132882263,-0.39941457132882263,-100.0
2017-07-14,1500004800000,149.56,9.82,1.255,18.954770664134855,15.634530322016914,5.661469677983106,36.21131918501249,0.4011266682817407,-0.4011266682817407,-100.0
