Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,106-Calls,106-Calls-P,106-Calls-ROI,106-Puts,106-Puts-P,106-Puts-ROI,106-Straddles,106-Straddles-P,106-Straddles-ROI
2013-04-23,1366689600000,57.9231,13.61,0.1717,44.7715346496701,0.3452651850693478,2.5390488149306485,735.3909182649478,3.8186294419090734,-3.8186294419090734,-100.0,4.163894626978421,-1.279580626978425,-30.73037964716623
2013-04-24,1366776000000,58.34,13.62,0.1697,43.51214218003495,0.32121381022569473,3.6540861897743095,1137.5868886854014,3.8196012344507855,-3.8196012344507855,-100.0,4.14081504467648,-0.16551504467648304,-3.99716101517919
2013-04-25,1366862400000,59.6007,13.61,0.1692,27.88179100715415,0.06813287892218245,2.2777251210778098,3343.0630807180482,3.6421248701768927,-3.6421248701768927,-100.0,3.710257749099075,-1.3643997490990825,-36.773718737745
2013-04-26,1366948800000,61.4457,13.71,0.1692,20.4740142443688,0.013163039287032996,1.1171949607129679,8487.363262780236,3.697791570445872,-3.697791570445872,-100.0,3.710954609732905,-2.5805966097329183,-69.53996696603778
2013-04-29,1367208000000,63.2543,13.52,0.1667,18.318640846754967,0.006126636078606196,-0.006126636078606196,-100.0,3.7992411051586,-2.002483105158589,-52.707449980987576,3.8053677412372062,-2.008609741237195,-52.783590912140156
2013-04-30,1367294400000,62.7557,14.49,0.1667,23.75612152895311,0.032692929594547504,-0.032692929594547504,-100.0,3.795908294988564,-1.984866294988564,-52.28962716536184,3.8286012245831116,-2.017559224583111,-52.697032316359845
2013-05-01,1367380800000,63.6457,13.59,0.1677,23.53683904420152,0.03152436113455925,-0.03152436113455925,-100.0,3.848096628670661,-1.346454628670671,-34.99014600201993,3.87962098980522,-1.3779789898052162,-35.518391962159136
2013-05-02,1367467200000,64.2828,12.85,0.1672,21.388912767993666,0.018217007164104796,-0.018217007164104796,-100.0,3.873000089195706,0.8581679108042835,22.15770439040957,3.891217096359811,0.8399509036401929,21.58581448529195
2013-05-03,1367553600000,65.8157,12.66,0.1672,21.16746904546526,0.017475552374587533,-0.017475552374587533,-100.0,3.964180532432508,4.536161467567503,114.42873074158443,3.9816560848070957,4.518685915192915,113.48759960547515
2013-05-06,1367812800000,65.5226,12.83,0.1672,24.45994412251296,0.0398629465200413,-0.0398629465200413,-100.0,3.968991888798911,3.4023641112010807,85.72363477998181,4.008854835318952,3.3625011646810536,83.87685019314317
2013-05-07,1367899200000,66.2628,12.66,0.1677,21.39028075625675,0.018785739876661992,-0.018785739876661992,-100.0,3.992294788395114,4.351973211604886,109.00931525034909,4.011080528271776,4.333187471728223,108.03042823962527
2013-05-08,1367985600000,65.2528,13.13,0.1672,22.066206916220192,0.022354674612482084,-0.022354674612482084,-100.0,3.9353047871650086,1.956963212834978,49.7283773093665,3.9576594617774905,1.9346085382225109,48.88264280711071
2013-05-09,1368072000000,64.71,12.59,0.1647,22.17090942991811,0.022800076580298038,-0.022800076580298038,-100.0,3.9032335242618217,1.88076647573817,48.18483096252511,3.92603360084212,1.8579663991578719,47.32426127884756
2013-05-10,1368158400000,64.9628,12.55,0.1652,21.116229455054835,0.016986645767678832,-0.016986645767678832,-100.0,3.912573026605578,1.8973949733944195,48.494813016705216,3.929559672373257,1.880408327626741,47.85290170924084
2013-05-13,1368417600000,63.4086,12.77,0.1652,25.77657129943059,0.050265937367289126,-0.050265937367289126,-100.0,3.8526525122685915,0.1976634877314112,5.1305817771512245,3.9029184496358806,0.1473975503641216,3.776598262714737
2013-05-14,1368504000000,61.2643,12.81,0.1652,25.127296543927866,0.042788883025034696,-0.042788883025034696,-100.0,3.716589469076858,-2.3692314690768583,-63.74746225779243,3.759378352101893,-2.412020352101893,-64.16008515751858
2013-05-15,1368590400000,62.0826,13.07,0.1652,28.81965509673415,0.08198674613059788,-0.08198674613059788,-100.0,3.804857851547972,-1.060001851547966,-27.859170904813546,3.8868445976785697,-1.141988597678564,-29.38086586637964
2013-05-16,1368676800000,61.8943,12.45,0.16371,26.01674206387673,0.05132628773403036,-0.05132628773403036,-100.0,3.7629244638607418,-1.7192664638607482,-45.68963529224793,3.814250751594772,-1.7705927515947644,-46.42046018748148
2013-05-17,1368763200000,63.2757,13.02,0.16391,31.697020554898568,0.12294556296545965,-0.12294556296545965,-100.0,3.917379193958404,-1.3565371939583954,-34.628692469968726,4.040324756923863,-1.4794827569238551,-36.617916774845405
2013-05-20,1369022400000,62.8086,13.37,0.16371,31.65255000287584,0.12137981641183693,-0.12137981641183693,-100.0,3.887805564906813,-1.5584895649068071,-40.08661284336021,4.00918538131865,-1.6798693813186443,-41.90051647764223
2013-05-21,1369108800000,63.0506,13.82,0.16271,31.64677572917729,0.1217607178426654,-0.1217607178426654,-100.0,3.9027112296581454,-1.4576752296581432,-37.35032247789,4.02447194750081,-1.5794359475007944,-39.24579343835708
2013-05-22,1369195200000,63.1628,14.07,0.16071,28.446791365659188,0.07885441781942237,-0.07885441781942237,-100.0,3.8665588981011183,-1.1010908981011198,-28.477282439480486,3.9454133159205407,-1.1799453159205422,-29.906760621484807
2013-05-23,1369281600000,63.5928,13.99,0.15921,15.776346528172835,0.0016958285800124928,-0.0016958285800124928,-100.0,3.8152056516761452,0.006062348323851553,0.15889964728868974,3.8169014802561576,0.004366519743838726,0.11439959261263623
2013-05-24,1369368000000,63.0627,14.48,0.15921,16.527255952312235,0.002592090899929289,-0.002592090899929289,-100.0,3.7843130706486576,0.4250489293513482,11.23186484353135,3.786905161548587,0.4224568384514189,11.155727973886274
2013-05-28,1369713600000,63.5643,14.83,0.15921,16.365443448431648,0.002390176591877735,-0.002390176591877735,-100.0,3.814190922088677,0.4481670779113216,11.74999068127146,3.8165810986805546,0.4457769013194586,11.68000599996604
2013-05-29,1369800000000,64.5114,14.53,0.15971,13.234416359449641,0.00024495730237604485,-0.00024495730237604485,-100.0,3.8688344929826712,1.8146495070173216,46.904294053125035,3.869079450285047,1.8144045497149457,46.89499331892171
2013-05-30,1369886400000,64.2478,16.3,0.15950999999999999,12.279282060234456,8.849409755259594e-05,-8.849409755259594e-05,-100.0,3.852873200044641,1.7354947999553545,45.04417118983429,3.8529616941421936,1.7354063058578162,45.040839842664965
2013-05-31,1369972800000,64.3886,16.28,0.15900999999999998,12.284993708490171,8.928138480721742e-05,-8.928138480721742e-05,-100.0,3.8613239662666814,2.649192033733314,68.60838554022403,3.8614132476514884,2.649102752348507,68.60448707373372
2013-06-03,1370232000000,64.1871,16.27,0.15850999999999998,12.831605105520994,0.0001628183317636464,-0.0001628183317636464,-100.0,3.849320540580408,1.9083054594195872,49.57512473439921,3.8494833589121717,1.908142641087823,49.56879828224654
2013-06-04,1370318400000,63.5871,17.5,0.15850999999999998,14.067269481590573,0.000505758082746291,-0.000505758082746291,-100.0,3.8136828139147814,2.152943186085224,56.45312657439406,3.8141885719975277,2.1524374280024774,56.432381026070374
2013-06-05,1370404800000,62.6371,16.63,0.15850999999999998,16.151626265822173,0.0020866839528758123,-0.0020866839528758123,-100.0,3.7582943512919584,0.9227316487080373,24.551872803439075,3.7603810352448344,0.9206449647551613,24.482757362252762
2013-06-06,1370491200000,63.1158,15.14,0.15850999999999998,16.081072968214265,0.002018482977858116,-0.002018482977858116,-100.0,3.786932725339653,1.434415274660353,37.878023685559356,3.788951208317511,1.432396791682495,37.80457210792515
2013-06-07,1370577600000,62.6986,15.44,0.15850999999999998,11.809556482313216,4.835056212855633e-05,-4.835056212855633e-05,-100.0,3.7599440362089216,2.2719719637910742,60.42568564615817,3.7599923867710503,2.271923613228945,60.42362269727874
2013-06-10,1370836800000,62.5143,17.07,0.15850999999999998,11.82879575131715,4.942739510665692e-05,-4.942739510665692e-05,-100.0,3.7488930516742514,2.96796494832575,79.1691015832063,3.748942479069358,2.967915520930644,79.16673935385114
2013-06-11,1370923200000,61.7414,18.59,0.15950999999999999,11.918490823766934,5.476788328511763e-05,-5.476788328511763e-05,-100.0,3.702536746157428,2.671947253842568,72.16531359521474,3.702591514040713,2.6718924859592965,72.16276696543838
2013-06-12,1371009600000,62.2807,16.41,0.15900999999999998,14.862585050781453,0.0009093001890435326,-0.0009093001890435326,-100.0,3.735738121420184,4.776103878579825,127.84900127753424,3.7366474216092276,4.775194578390781,127.79355501339467
2013-06-13,1371096000000,61.4357,17.15,0.15900999999999998,15.674455499808714,0.0015386323368808685,-0.0015386323368808685,-100.0,3.6856947675843936,3.917547232415608,106.29060406386202,3.6872333999212743,3.9160086000787273,106.20452180115144
2013-06-14,1371182400000,61.7143,16.8,0.15900999999999998,14.73038924405663,0.0008192760603788486,-0.0008192760603788486,-100.0,3.7016824057635564,4.848375594236444,130.97762213979988,3.7025016818239354,4.847556318176064,130.92651225449407
2013-06-17,1371441600000,61.6814,16.61,0.15980999999999998,13.201041867486975,0.00022679253770720165,-0.00022679253770720165,-100.0,3.6991069547618314,5.428877045238167,146.76182958834474,3.6993337472995385,5.428650252700459,146.74670152870897
