Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,88-Calls,88-Calls-P,88-Calls-ROI,88-Puts,88-Puts-P,88-Puts-ROI,92-Calls,92-Calls-P,92-Calls-ROI,92-Puts,92-Puts-P,92-Puts-ROI,90-Butterfly-Spreads,90-Butterfly-Spreads-P,90-Butterfly-Spreads-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,100-Butterfly-Spreads,100-Butterfly-Spreads-P,100-Butterfly-Spreads-ROI
2014-12-24,1419397200000,113.99,14.5,0.127533333,17.401264775183314,11.400792327551358,-7.741792327551353,-67.90573940060638,4.5650307107668565e-08,-4.5650307107668565e-08,-100.0,13.680552453471366,-7.741752453471347,-56.58947239010749,5.69893161664576e-11,-5.69893161664576e-11,-100.0,9.121042514913142,-7.741842514913144,-84.87892148572963,1.0404525411778205e-05,-1.0404525411778205e-05,-100.0,1.0313281791241023e-05,-1.0313281791241023e-05,-100.0,0.9271536745504392,-0.9271536745504392,-100.0,0.9251622502159408,6.814837749784052,736.610010643367,2.4758607273738136,-2.4758607273738136,-100.0,0.194109131525984,5.266090868474002,2712.953701391977,0.20619504581619447,-0.20619504581619447,-100.0,2.4839637929950134,7.535836207004992,303.3794706773377,0.8277484240891297,-0.8277484240891297,-100.0
2014-12-26,1419570000000,113.91,15.06,0.127033333,15.426285961999097,11.392784003167408,-7.651784003167392,-67.16342555989874,8.452497939986612e-10,-8.452497939986612e-10,-100.0,13.670944357826299,-7.651744357826287,-55.97085437222076,1.876665748071209e-13,-1.876665748071209e-13,-100.0,9.114624406136244,-7.651824406136242,-83.95106660659323,7.593180598122359e-07,-7.593180598122359e-07,-100.0,7.576277276655219e-07,-7.576277276655219e-07,-100.0,0.8214605144580815,-0.8214605144580815,-100.0,0.8194782896556916,6.8305217103443,833.5207651705066,2.41443373702009,-2.41443373702009,-100.0,0.1342911567137488,5.237508843286244,3900.1144762274766,0.14370652294123865,-0.14370652294123865,-100.0,2.4198846536427965,7.5083153463571914,310.27575364199606,0.9152192310451657,-0.9152192310451657,-99.99999999999999
2014-12-29,1419829200000,112.52,15.92,0.127033333,17.5765030314408,11.253762293279252,-4.771762293279238,-42.40148466730042,6.045254832893584e-08,-6.045254832893584e-08,-100.0,13.504123072182793,-4.77172307218278,-35.33530497816682,8.559036593378744e-11,-8.559036593378744e-11,-100.0,9.003413860089893,-4.7718138600898925,-53.0000501392285,1.246653372556552e-05,-1.246653372556552e-05,-100.0,1.234571418251562e-05,-1.234571418251562e-05,-100.0,0.9243996025535424,-0.9243996025535424,-100.0,0.9224415660794634,3.8475584339205327,417.1059257740653,2.4495209734861447,-2.4495209734861447,-100.0,0.19720209774152053,2.3223979022584764,1177.6740353454668,0.20936242789826665,-0.20936242789826665,-100.0,2.45776523069469,4.562634769305305,185.64160288066532,0.8100841962773266,-0.8100841962773266,-100.0
2014-12-30,1419915600000,110.38,19.2,0.127033333,22.08442074409018,11.03974243544198,1.5082575645580365,13.662072039977375,1.3718241390711042e-05,-1.3718241390711042e-05,-100.0,13.247290491836452,1.5083095081635634,11.38579628108139,1.9057365417336127e-07,-1.9057365417336127e-07,-100.0,8.832626376223072,1.5077736237769273,17.070501564922616,0.00045924308469905134,-0.00045924308469905134,-100.0,0.00043199717556774436,-0.00043199717556774436,-100.0,1.1391359903950118,0.3708640096049933,32.55660542130627,1.137215193505483,-1.137215193505483,-100.0,2.559712710158422,1.1578872898415824,45.23504865395304,0.3502303292066777,-0.3502303292066777,-100.0,0.3679477375143669,-0.3679477375143669,-100.0,2.57358852468704,-1.8759885246870451,-72.89387975939839,0.6493884668827654,0.04821153311722881,7.424143725350834
2014-12-31,1420002000000,109.33,17.79,0.1271,22.464737828983946,10.934731989832144,2.6782680101678693,24.493220434285035,1.88186228769786e-05,-1.88186228769786e-05,-100.0,13.121275399313419,2.6783246006865937,20.412075192223607,2.9857546253832853e-07,-2.9857546253832853e-07,-100.0,8.748717851583905,2.6776821484160958,30.606566514558672,0.0005666099033321964,-0.0005666099033321964,-100.0,0.0005292712330344784,-0.0005292712330344784,-100.0,1.14771336525083,1.5322866347491768,133.50778000344178,1.1458098416849865,-1.1458098416849865,-100.0,2.5495896726080503,2.317010327391955,90.8777734819508,0.3611242195135205,-0.3611242195135205,-100.0,0.3791479032732212,0.11425209672678704,30.13391231770964,2.5638063092360563,-2.5638063092360563,-100.0,0.6333108453796115,-0.6333108453796115,-100.0
2015-01-02,1420174800000,106.25,19.92,0.128866667,16.631025524960187,10.62668806070242,2.9983119392975794,28.21492380476813,1.0529151936630525e-08,-1.0529151936630525e-08,-100.0,12.751650537954431,2.9983494620455815,23.513422463399504,7.206868409706741e-12,-7.206868409706741e-12,-100.0,8.501729431051416,2.998270568948584,35.2665959704364,3.86865207236515e-06,-3.86865207236515e-06,-100.0,3.847601007578305e-06,-3.847601007578305e-06,-100.0,0.8259988718315654,2.1740011281684346,263.19662196969057,0.8241232605279194,-0.8241232605279194,-100.0,2.2851759639125504,2.8398240360874496,124.27156949547384,0.1583378648349978,-0.1583378648349978,-100.0,0.16864143834763468,0.7063585616523653,418.85231089899116,2.2917283148179166,-2.2917283148179166,-100.0,0.8018196585970543,-0.8018196585970543,-100.0
2015-01-05,1420434000000,106.26,21.12,0.1184,17.038606718120178,10.627551114850153,3.958448885149848,37.24704630795525,2.2552203677028294e-08,-2.2552203677028294e-08,-100.0,12.752716623601652,3.9584833763983482,31.040314728489452,2.143241956084984e-11,-2.143241956084984e-11,-100.0,8.502391945265174,3.9584080547348175,46.556405305911376,6.384249491006099e-06,-6.384249491006099e-06,-100.0,6.339166517932426e-06,-6.339166517932426e-06,-100.0,0.8462222180868649,3.1137777819131287,367.96218716080773,0.8444987822002474,-0.8444987822002474,-100.0,2.297087899054219,3.7881121009457814,164.90932290860366,0.1701989318853201,-0.1701989318853201,-100.0,0.1809678527319889,1.6538321472679982,913.8817321976532,2.304409948127642,-2.304409948127642,-100.0,0.785611315612478,-0.785611315612478,-100.00000000000001
2015-01-06,1420520400000,107.75,19.31,0.1184,26.268556509027377,10.776817523021151,2.048182476978852,19.005448246697863,0.0002446809817622589,-0.0002446809817622589,-100.0,12.931548766980768,2.048451233019236,15.840726195532913,1.087698669512225e-05,-1.087698669512225e-05,-100.0,8.624840109891537,2.045159890108451,23.71243830668729,0.003232315806841357,-0.003232315806841357,-100.0,0.002753830830002357,-0.002753830830002357,-100.0,1.3224175865895305,0.7275824134104667,55.01911202548937,1.3206699843235512,-1.3206699843235512,-100.0,2.6597930853496052,1.545206914650393,58.09500457616574,0.5030804351289397,-0.5030804351289397,-100.0,0.525371220709097,-0.525371220709097,-100.0,2.6785886663978005,-2.5735886663977965,-96.0800252268218,0.5403291328796413,-0.43532913287963737,-80.56739982898668
2015-01-07,1420606800000,111.89,17.01,0.1274,39.57827881203212,11.210128003183017,-5.091128003183017,-45.41543148960864,0.01937057914850726,-0.01937057914850726,-100.0,13.432746878629644,-5.075946878629637,-37.78785474402883,0.004228508462591041,-0.004228508462591041,-100.0,9.023882333081461,-5.142682333081466,-56.98968740126904,0.0708858551795255,-0.0708858551795255,-100.0,0.03637320534506827,-0.03637320534506827,-100.0,2.0685178015947585,-2.0685178015947585,-100.0,2.0665651082231022,3.003434891776905,145.33463667928442,3.3586435362184517,-3.3586435362184517,-100.0,1.1189298967142278,1.7132701032857724,153.1168403236738,1.1579010078506329,-1.1579010078506329,-100.0,3.3937092606115438,3.9140907393884703,115.33370830603072,0.37950894087956755,-0.37950894087956755,-100.0
2015-01-08,1420693200000,112.01,17.55,0.12863333300000002,38.196514398196506,11.217466238699489,-6.0364662386994885,-53.81309923513828,0.014689898505261922,-0.014689898505261922,-100.0,13.445856116808656,-6.024656116808657,-44.806787046287354,0.002919250840965227,-0.002919250840965227,-100.0,9.020645489929649,-6.079845489929668,-67.39922876602353,0.05802967550889049,-0.05802967550889049,-100.0,0.031569129339327866,-0.031569129339327866,-100.0,1.99849799205456,-1.99849799205456,-100.0,1.996524280727648,4.023475719272362,201.52400640006127,3.2974593379935584,-3.2974593379935584,-100.0,1.055325100893164,2.7244748991068453,258.1645122248123,1.0927628705454209,-1.0927628705454209,-100.0,3.3309496849919777,4.9292503150080345,147.98333151705666,0.39322622442985944,-0.39322622442985944,-100.0
2015-01-09,1420779600000,109.25,19.6,0.128566667,36.23378986513457,10.935961568315818,-0.540961568315808,-4.9466301151158705,0.009229896231587207,-0.009229896231587207,-100.0,13.113269318808026,-0.53326931880801,-4.06663895816702,0.0015761283256661152,-0.0015761283256661152,-100.0,8.783011410502137,-0.5730114105021471,-6.524088193907822,0.041241256816068717,-0.041241256816068717,-100.0,0.024357592678526885,-0.024357592678526885,-100.0,1.8491558540524051,-1.8491558540524051,-100.0,1.847231773958839,-1.3172317739588375,-71.30841903698159,3.1272442336849764,-1.4722442336849753,-47.07800618278418,0.9403586351932702,-0.9403586351932702,-100.0,0.9746580988210524,-0.9746580988210524,-100.0,3.1576955371256186,-0.4426955371256156,-14.019576362596114,0.4035906244012186,2.311409375598785,572.7113653911247
2015-01-12,1421038800000,110.22,20.56,0.1291,35.9319879669554,11.032411033852725,-0.6804110338527211,-6.167382920785799,0.008656739529425805,-0.008656739529425805,-100.0,13.22955638178952,-0.6731563817895108,-5.088276298637725,0.0014410717845128036,-0.0014410717845128036,-100.0,8.858881212159034,-0.7112812121590366,-8.029018508373106,0.03948793351745429,-0.03948793351745429,-100.0,0.02361552624310548,-0.02361552624310548,-100.0,1.8500494191802657,-1.8500494191802657,-100.0,1.8481002032655167,-1.1781002032655152,-63.74655449871499,3.1413078461860664,-1.6069078461860613,-51.15410284086117,0.9349976145895909,-0.9349976145895909,-100.0,0.9692613285354312,-0.9692613285354312,-100.0,3.1716731283023734,-0.29727312830236485,-9.372754261769693,0.4104703363609663,2.463929663639042,600.2698478733114
