,Datetime,Timestamp,Price,VIX,9-Day-LIBOR,9-Day-VM,9-Day-VNM
2102,2016-11-21,1479704400000,111.8,12.41,0.4690165220000001,28.74968797502836,28.772049236683817
2103,2016-11-22,1479790800000,111.23,12.43,0.469171304,28.7173597396066,28.759596623449195
2104,2016-11-23,1479877200000,111.79,12.34,0.469076087,23.340046816692254,24.080036919035173
2105,2016-11-25,1480050000000,111.57,13.15,0.4677256520000001,23.315039097629064,24.01466537392579
2106,2016-11-28,1480309200000,111.46,12.9,0.470771304,16.367956246706274,19.2719600042536
2107,2016-11-29,1480395600000,110.52,13.33,0.47106087,16.12385874794454,17.78558289692023
2108,2016-11-30,1480482000000,109.49,14.07,0.471547826,10.63845253177959,10.676997685624016
2109,2016-12-01,1480568400000,109.9,14.12,0.474029565,11.890571919667693,11.916822622606771
2110,2016-12-02,1480654800000,109.11,12.14,0.4726069570000001,12.086596883696982,12.089709533093876
2111,2016-12-05,1480914000000,109.95,11.79,0.477145217,8.3799312860206,9.499623405306249
2112,2016-12-06,1481000400000,111.03,12.22,0.478114783,9.951844282650752,10.437360263575817
2113,2016-12-07,1481086800000,112.12,12.64,0.485957391,11.447148624417268,11.452177632819422
2114,2016-12-08,1481173200000,113.95,11.75,0.507726957,12.381980891592658,12.394449278093983
2115,2016-12-09,1481259600000,113.3,12.64,0.574767826,14.84644793041573,15.370687982669246
2116,2016-12-12,1481518800000,115.19,12.72,0.614461739,15.391124543296842,15.697729904364147
2117,2016-12-13,1481605200000,115.19,13.19,0.6497252170000001,15.81605130486954,17.63656319947876
2118,2016-12-14,1481691600000,115.82,12.79,0.6758413040000001,13.835429319891745,16.822414883392938
2119,2016-12-15,1481778000000,115.97,12.2,0.68607913,13.790160945141281,16.971833739509695
2120,2016-12-16,1481864400000,116.64,11.71,0.7067013040000001,11.820770322243389,16.490129308862045
2121,2016-12-19,1482123600000,116.95,11.45,0.7074452170000001,11.818394819425047,16.23954192647078
2122,2016-12-20,1482210000000,117.06,11.27,0.70662,11.80930974453727,15.342837308015229
2123,2016-12-21,1482296400000,116.29,11.43,0.708826087,11.79172744499531,14.32288347395471
2124,2016-12-22,1482382800000,116.52,11.44,0.711886087,10.977854866674877,11.62776180085652
2125,2016-12-23,1482469200000,117.26,11.99,0.715324348,9.902484579495455,11.224174506861788
2126,2016-12-27,1482814800000,116.76,12.95,0.71575913,6.320233195001662,7.157121234928305
2127,2016-12-28,1482901200000,116.73,13.37,0.71575913,7.1099478651882135,7.55430418352086
2128,2016-12-29,1482987600000,115.82,14.04,0.71575913,6.7372797432503795,6.89701082955734
2129,2016-12-30,1483074000000,116.15,12.85,0.720083913,8.15926041535949,8.162909490566939
2130,2017-01-03,1483419600000,116.02,11.85,0.727484783,7.614057903855296,7.655325650733362
2131,2017-01-04,1483506000000,116.61,11.67,0.727533478,7.381364831149565,7.533322914237467
2132,2017-01-05,1483592400000,117.91,11.32,0.727533478,8.010877871197177,8.043731843903416
2133,2017-01-06,1483678800000,118.99,11.56,0.727677826,9.12639815220178,9.491906606207557
2134,2017-01-09,1483938000000,119.11,11.49,0.722436957,9.990255754192368,10.744774169385183
2135,2017-01-10,1484024400000,119.75,11.26,0.722747391,9.707607919893123,10.146436548534464
2136,2017-01-11,1484110800000,119.25,11.54,0.722042174,9.141301140929963,10.310014774687202
2137,2017-01-12,1484197200000,119.04,11.23,0.722343478,9.780461193958752,10.577212913667331
2138,2017-01-13,1484283600000,120.0,11.87,0.7235113040000001,8.156837244160887,9.65769997563373
2139,2017-01-17,1484629200000,119.99,12.48,0.7216682609999999,8.574218622583773,10.551102863803665
2140,2017-01-18,1484715600000,119.78,12.78,0.7216682609999999,8.406921888177612,10.532173556173584
2141,2017-01-19,1484802000000,120.0,11.54,0.724914783,8.83721003619988,10.182095206557031
2142,2017-01-20,1484888400000,120.08,11.77,0.723643478,7.37863732430781,8.088301082935786
2143,2017-01-23,1485147600000,119.97,11.07,0.728835652,6.000256942144688,6.241760382492203
2144,2017-01-24,1485234000000,121.88,10.81,0.728555652,6.087934935376841,6.237244749655195
2145,2017-01-25,1485320400000,121.94,10.63,0.727947826,9.924635889291809,10.466640580433737
2146,2017-01-26,1485406800000,121.95,10.58,0.7263252170000001,9.29157731890075,10.199309719164207
2147,2017-01-27,1485493200000,121.63,11.88,0.727276087,9.071630854207484,10.150564242969335
2148,2017-01-30,1485752400000,121.35,11.99,0.72802,8.838881788153335,9.197720596331072
2149,2017-01-31,1485838800000,128.75,11.81,0.726504348,9.043182904401627,9.289542129725614
2150,2017-02-01,1485925200000,128.53,11.93,0.725172609,31.955120145797068,34.73551958153655
2151,2017-02-02,1486011600000,129.08,10.97,0.727098261,32.2296002331578,34.73348125559131
2152,2017-02-03,1486098000000,130.29,11.37,0.726538261,32.03717716765039,34.81532987954735
2153,2017-02-06,1486357200000,131.53,11.29,0.726586957,31.584377604168974,35.209320688245974
2154,2017-02-07,1486443600000,132.04,11.45,0.72543913,31.338962067746046,34.475657377468636
2155,2017-02-08,1486530000000,132.42,10.88,0.726356087,31.11490412473477,34.54397066471777
2156,2017-02-09,1486616400000,132.12,10.85,0.726833913,30.898266084670883,34.582170517208176
2157,2017-02-10,1486702800000,133.29,11.07,0.725603043,30.854987180585365,34.57402942235957
2158,2017-02-13,1486962000000,135.02,10.74,0.724237391,30.08957739359928,34.907566048035896
2159,2017-02-14,1487048400000,135.51,11.97,0.720844783,8.37370134696083,12.268306560839608
2160,2017-02-15,1487134800000,135.345,11.76,0.7191213040000001,7.37151400161503,12.400591529724919
2161,2017-02-16,1487221200000,135.72,11.49,0.7200382609999999,8.279379212692966,12.182572797723932
2162,2017-02-17,1487307600000,136.7,11.57,0.719782609,7.983059521024353,11.090852500036489
2163,2017-02-21,1487653200000,137.11,11.74,0.722513913,7.6164899408355895,10.529030591262243
2164,2017-02-22,1487739600000,136.53,11.71,0.7242526090000001,7.645950271577949,10.437336837977904
2165,2017-02-23,1487826000000,136.66,11.47,0.720092174,8.87849135416756,10.585167589309355
2166,2017-02-24,1487912400000,136.93,12.09,0.71989913,8.372827955880325,10.520906137380484
2167,2017-02-27,1488171600000,136.99,12.92,0.720092174,7.826346528569472,9.330685246232614
2168,2017-02-28,1488258000000,139.79,12.54,0.71959,5.142684222374054,5.822998642939281
2169,2017-03-01,1488344400000,138.96,11.81,0.7179686959999999,11.239752715776724,12.677246178715967
2170,2017-03-02,1488430800000,139.78,10.96,0.71714913,12.119492297872895,13.099086696862894
2171,2017-03-03,1488517200000,139.34,11.24,0.717997826,12.219749518229834,13.424373099655273
2172,2017-03-06,1488776400000,139.52,11.45,0.717873478,12.402431107868917,12.91625766799544
2173,2017-03-07,1488862800000,139.0,11.86,0.7197578259999999,12.39749903908643,12.82548401089891
2174,2017-03-08,1488949200000,138.68,12.3,0.721959565,12.319668720639154,12.775142023045824
2175,2017-03-09,1489035600000,139.14,11.66,0.721884348,12.528338445598116,12.830210401924171
2176,2017-03-10,1489122000000,139.2,11.35,0.726111739,12.560346903066216,12.918080324295225
2177,2017-03-13,1489377600000,138.99,12.3,0.745676522,12.560585103233057,12.918005429281187
2178,2017-03-14,1489464000000,140.46,11.63,0.821384783,5.952189854947884,6.049772888899171
2179,2017-03-15,1489550400000,140.69,11.21,0.849975217,7.521451182901908,7.789152816676785
2180,2017-03-16,1489636800000,139.99,11.28,0.881788261,6.99662965816249,7.1028183700723195
2181,2017-03-17,1489723200000,141.46,11.34,0.910580435,7.379731584549774,7.4317267252853885
2182,2017-03-20,1489982400000,139.84,12.47,0.92451913,9.101386525907888,9.466535926847772
2183,2017-03-21,1490068800000,141.42,12.81,0.94851,11.239041210878012,11.296314759054962
2184,2017-03-22,1490155200000,140.92,13.12,0.948718696,12.356799975582817,12.895769853944344
2185,2017-03-23,1490241600000,140.64,12.96,0.949326522,12.690967618789228,12.915340325898208
2186,2017-03-24,1490328000000,140.88,12.5,0.948815217,12.81586483737438,12.96195947224286
2187,2017-03-27,1490587200000,143.8,11.53,0.948381739,12.717195285864186,12.969706028959568
2188,2017-03-28,1490673600000,144.12,11.42,0.947175217,15.742729090355736,16.354517280109782
2189,2017-03-29,1490760000000,143.93,11.54,0.947271739,15.734208246148674,16.376652255640707
2190,2017-03-30,1490846400000,143.66,12.37,0.947223043,15.27737971286594,16.149003922211616
2191,2017-03-31,1490932800000,143.7,12.38,0.947223043,14.782848317589837,15.066535248387167
2192,2017-04-03,1491192000000,144.77,11.79,0.950774783,12.578187475269687,13.58573202513412
2193,2017-04-04,1491278400000,144.02,12.89,0.958940435,11.92895606425234,12.719627184908559
2194,2017-04-05,1491364800000,143.66,12.39,0.953863913,12.229988455438695,12.89991541020164
2195,2017-04-06,1491451200000,143.34,12.87,0.954925217,12.292150337104623,12.928511718329569
2196,2017-04-07,1491537600000,143.17,14.05,0.952126522,12.536047872110009,12.954050093762676
2197,2017-04-10,1491796800000,141.63,15.07,0.951065217,5.735501433078282,5.794948537181434
2198,2017-04-11,1491883200000,141.8,15.77,0.950891304,7.656831129357065,8.332278299951632
2199,2017-04-12,1491969600000,141.05,15.96,0.95094,7.837520689477838,8.32649037534029
2200,2017-04-13,1492056000000,141.83,14.66,0.95094,8.077689813995521,8.786456040731217
2201,2017-04-14,1492142400000,141.2,14.42,0.95094,8.989353337248877,9.322493847078531
2202,2017-04-17,1492401600000,140.68,14.93,0.951278261,7.312523995565513,8.69712973643393
2203,2017-04-18,1492488000000,142.44,14.15,0.949810435,7.196308081163501,8.447657132635841
2204,2017-04-19,1492574400000,142.27,14.63,0.949810435,10.781378862767998,10.900655843013832
2205,2017-04-20,1492660800000,143.64,10.84,0.949810435,10.756078609445003,10.848473296243473
2206,2017-04-21,1492747200000,144.53,10.76,0.951181739,12.093253331491823,12.109033766327006
2207,2017-04-24,1493006400000,143.68,10.85,0.947754348,10.334606081929048,11.018691580385278
2208,2017-04-25,1493092800000,143.79,10.36,0.948961739,11.221256274988363,11.492806098545996
2209,2017-04-26,1493179200000,143.65,10.82,0.949009565,10.493392861566043,11.102811858810247
2210,2017-04-27,1493265600000,146.58,10.11,0.949106087,10.395365665450147,10.669779605353158
2211,2017-04-28,1493352000000,147.51,10.59,0.950168261,13.720356923539509,15.426146804235877
2212,2017-05-01,1493611200000,147.06,10.68,0.950872609,12.903407352993742,15.69745956218055
2213,2017-05-02,1493697600000,146.53,10.46,0.953913043,12.794722351861203,14.139715593386871
2214,2017-05-03,1493784000000,148.96,10.57,0.953913043,13.141421870014666,14.270479531845325
2215,2017-05-04,1493870400000,153.01,9.77,0.951693043,14.621849229244319,16.150060363001657
2216,2017-05-05,1493956800000,153.99,9.96,0.952098696,19.060514633215625,21.883528313123826
2217,2017-05-08,1494216000000,153.26,10.21,0.951437391,17.608181387071863,21.92712071509005
2218,2017-05-09,1494302400000,153.95,10.6,0.951326087,18.52544309913412,22.08702784531887
2219,2017-05-10,1494388800000,156.1,10.4,0.950795217,17.985849795548408,22.225891905694812
2220,2017-05-11,1494475200000,155.7,10.42,0.950312609,16.860944289657432,20.61741397387631
2221,2017-05-12,1494561600000,155.47,10.65,0.950814783,17.622974629535094,20.356426410649185
2222,2017-05-15,1494820800000,150.25,15.59,0.949346957,17.381981996520267,20.300153844852193
2223,2017-05-16,1494907200000,152.54,14.66,0.95065,27.546631574961882,27.94931919227753
2224,2017-05-17,1494993600000,153.06,12.04,0.952388696,27.34520247874297,27.70945756010131
2225,2017-05-18,1495080000000,153.99,10.93,0.95123,23.264619102985673,23.26470067463546
2226,2017-05-19,1495166400000,153.8,10.72,0.951616957,23.236726654044464,23.236726654044464
2227,2017-05-22,1495425600000,153.34,10.02,0.952673913,23.08176291634318,23.091289140612385
2228,2017-05-23,1495512000000,153.87,9.99,0.953553043,23.0013304998062,23.01351011295115
2229,2017-05-24,1495598400000,153.61,9.81,0.955378696,21.55269751080162,21.72280004173284
2230,2017-05-25,1495684800000,153.67,10.38,0.955885217,21.545186898099434,21.695360689209988
2231,2017-05-26,1495771200000,152.76,10.41,0.956891739,21.568874270309713,21.680363630229724
2232,2017-05-30,1496116800000,153.18,9.89,0.957857826,9.91602977826319,10.396489577525992
2233,2017-05-31,1496203200000,155.45,9.75,0.95752,6.054636639038044,6.105890733567629
2234,2017-06-01,1496289600000,153.93,10.07,0.95752,9.710155181465321,10.140161374237756
2235,2017-06-02,1496376000000,154.45,10.45,0.959296087,11.044103306727635,11.044347778608046
2236,2017-06-05,1496635200000,155.37,10.39,0.961018261,11.157821799614254,11.186124600071805
2237,2017-06-06,1496721600000,154.99,10.16,0.962371304,11.286942541965065,11.55616756760802
2238,2017-06-07,1496808000000,148.98,10.7,0.963265217,11.392277614391698,11.474065177570683
