Datetime,Timestamp,Price,VIX,2-Day-LIBOR,2-Day-VM,119-Calls,119-Calls-P,119-Calls-ROI,119-Puts,119-Puts-P,119-Puts-ROI,116-Calls,116-Calls-P,116-Calls-ROI,116-Puts,116-Puts-P,116-Puts-ROI,116-Straddles,116-Straddles-P,116-Straddles-ROI,122-Calls,122-Calls-P,122-Calls-ROI,122-Puts,122-Puts-P,122-Puts-ROI,122-Straddles,122-Straddles-P,122-Straddles-ROI,119-Strangles,119-Strangles-P,119-Strangles-ROI
2010-02-05,1265346000000,27.9228,26.11,0.17781666699999998,60.954037591953,1.848205499024218e-05,-1.848205499024218e-05,-100.0,5.305026729348216,-0.10399472934822283,-1.9603054735409369,0.00017986393167373357,-0.00017986393167373357,-100.0,4.4675122730578485,-0.10416427305785092,-2.331594558475701,4.4676921369895215,-0.10434413698952394,-2.335526571439957,1.517043097283479e-06,-1.517043097283479e-06,-100.0,6.142685602503384,-0.10396960250338694,-1.6925756783159351,6.1426871195464825,-0.1039711195464843,-1.6925999570390058,4.467513790100946,-0.1041657901009474,-2.3316277239424865
2010-02-08,1265605200000,27.7314,26.51,0.17906666699999998,27.475014775457602,4.214892757920075e-19,-4.214892757920075e-19,-100.0,5.268642206215943,-0.14197620621594353,-2.6947399473898606,1.1805817328005376e-14,-1.1805817328005376e-14,-100.0,4.43670836908446,-0.14198436908445802,-3.200218659261512,4.436708369084472,-0.14198436908446954,-3.200218659261764,4.418930435331006e-24,-4.418930435331006e-24,-100.0,6.100576043347437,-0.14196804334743973,-2.327125214712358,6.100576043347437,-0.14196804334743884,-2.327125214712344,4.43670836908446,-0.141984369084458,-3.2002186592615116
2010-02-09,1265691600000,28.0271,26.0,0.17698333300000002,19.626603699123415,9.030777416284269e-35,-9.030777416284269e-35,-100.0,5.324825560900305,-0.3539765609003034,-6.647664920697499,3.5692871476790137e-26,-3.5692871476790137e-26,-100.0,4.484020714827191,-0.3539847148271882,-7.89435948983635,4.484020714827191,-0.3539847148271944,-7.894359489836491,1.9876470150682073e-44,-1.9876470150682073e-44,-100.0,6.165630406973424,-0.3539684069734257,-5.740992949773343,6.165630406973424,-0.3539684069734257,-5.740992949773343,4.484020714827191,-0.3539847148271944,-7.894359489836491
2010-02-10,1265778000000,27.8737,25.4,0.17698333300000002,18.06643709212045,1.731640178649023e-40,-1.731640178649023e-40,-100.0,5.295681331171147,-0.7516783311711457,-14.194176049579465,2.2984190216004643e-30,-2.2984190216004643e-30,-100.0,4.459478440469354,-0.7516864404693528,-16.855927223414017,4.459478440469354,-0.7516864404693528,-16.85592722341402,7.250575185220266e-52,-7.250575185220266e-52,-100.0,6.131884221872944,-0.7516702218729456,-12.258389015103624,6.131884221872944,-0.7516702218729447,-12.258389015103614,4.459478440469354,-0.7516864404693528,-16.85592722341402
2010-02-11,1265864400000,28.3814,23.96,0.176775,26.42214366507511,1.968050685089129e-20,-1.968050685089129e-20,-100.0,5.392138857739893,-0.6753728577398945,-12.525138457264724,1.2387567440819791e-15,-1.2387567440819791e-15,-100.0,4.540705105023768,-0.6753811050237672,-14.873925731854634,4.540705105023768,-0.6753811050237681,-14.873925731854653,8.283863700657562e-26,-8.283863700657562e-26,-100.0,6.2435726104560265,-0.6753646104560289,-10.816957735463905,6.2435726104560265,-0.675364610456028,-10.816957735463893,4.540705105023768,-0.6753811050237672,-14.873925731854634
2010-02-12,1265950800000,28.6257,22.73,0.17698333300000002,10.640706089035106,2.5214118585230833e-110,-2.5214118585230833e-110,-100.0,5.438552652920354,-0.30966965292035553,-5.6939717730611905,2.193880675449572e-81,-2.193880675449572e-81,-100.0,4.57978998099799,-0.3096779809979893,-6.761838038051405,4.57978998099799,-0.3096779809979964,-6.7618380380515575,6.395271423064536e-143,-6.395271423064536e-143,-100.0,6.29731532484271,-0.3096613248427147,-4.917354600636092,6.29731532484271,-0.3096613248427147,-4.9173546006360915,4.57978998099799,-0.30967798099799637,-6.761838038051559
2010-02-16,1266296400000,29.0571,22.25,0.178025,7.1694225110759175,3.318269975598293e-238,-3.318269975598293e-238,-100.0,5.520511700857711,0.0677372991422871,1.2270112412181446,1.2916139365051175e-174,-1.2916139365051175e-174,-100.0,4.648807204197432,0.06772879580256587,1.4569069618850439,4.648807204197432,0.06772879580256587,1.456906961885044,7.1044518825988e-310,-7.1044518825988e-310,-100.0,6.392216197517989,0.06774580248200834,1.0598171336619229,6.392216197517989,0.06774580248200834,1.059817133661923,4.648807204197432,0.06772879580256586,1.4569069618850439
2010-02-17,1266382800000,28.9357,21.72,0.17781666699999998,21.489846243398556,1.7772732477100668e-29,-1.7772732477100668e-29,-100.0,5.4974475031588135,0.1260354968411903,2.2926184700949084,2.7625095355372367e-22,-2.7625095355372367e-22,-100.0,4.629384961062367,0.1260270389376359,2.7223279117560093,4.629384961062367,0.12602703893762968,2.722327911755876,1.5023663471087685e-37,-1.5023663471087685e-37,-100.0,6.365510045255253,0.12604395474475186,1.9801077030536296,6.365510045255253,0.12604395474475094,1.9801077030536152,4.629384961062367,0.1260270389376288,2.722327911755856
2010-02-18,1266469200000,28.9897,20.63,0.1775,6.792455535092367,6.897638928865611e-265,-6.897638928865611e-265,-100.0,5.5077074756381,0.35923552436189965,6.522414742447452,4.6562831403173574e-194,-4.6562831403173574e-194,-100.0,4.63802493423546,0.3592270657645429,7.7452594770010315,4.63802493423546,0.3592270657645358,7.7452594770008805,0.0,-0.0,,6.377390017040738,0.3592439829592564,5.633087861951938,6.377390017040738,0.3592439829592573,5.63308786195195,4.63802493423546,0.3592270657645358,7.74525947700088
2010-02-19,1266555600000,28.81,20.02,0.1775,9.072598322632016,2.670561590524964e-150,-2.670561590524964e-150,-100.0,5.473566555470857,0.6590334445291397,12.040292884909427,1.532696975630946e-110,-1.532696975630946e-110,-100.0,4.6092749616354665,0.6590250383645362,14.297802666359056,4.6092749616354665,0.6590250383645301,14.297802666358926,4.271361148145001e-195,-4.271361148145001e-195,-100.0,6.3378581493062605,0.6590418506937361,10.398494809573398,6.3378581493062605,0.6590418506937361,10.398494809573398,4.6092749616354665,0.65902503836453,14.297802666358923
