Datetime,Timestamp,Price,VIX,8-Day-LIBOR,8-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2011-01-04,1294117200000,47.0814,17.61,0.254651739,13.608703395291176,0.37971893511358346,1.9216810648864175,506.0798625466477,0.37709120343068747,-0.37709120343068747,-100.0
2011-01-05,1294203600000,47.3271,17.38,0.254651739,13.72084395032161,0.3848348781565747,2.0708651218434255,538.1178368663532,0.382193433336969,-0.382193433336969,-100.0
2011-01-06,1294290000000,47.7143,17.02,0.25467869600000004,13.210195805180648,0.37359406223961145,0.5764059377603843,154.2866967170093,0.370930724912764,-0.370930724912764,-100.0
2011-01-07,1294376400000,47.6757,17.4,0.25467869600000004,13.482074775472178,0.3809468504481224,0.3490531495518816,91.6277819704447,0.3782856677126816,-0.3782856677126816,-100.0
2011-01-10,1294635600000,48.0171,17.14,0.25467869600000004,13.613651954616017,0.38740597359975126,-0.38740597359975126,-100.0,0.3847257344522177,0.10667426554778103,27.72735379910745
2011-01-11,1294722000000,48.9221,17.54,0.25467869600000004,15.439964258293857,0.44747308593754553,-0.44747308593754553,-100.0,0.44474233111062844,1.8030576688893696,405.41624728788497
2011-01-12,1294808400000,48.8057,16.89,0.25467869600000004,14.792036214214706,0.4277332153654321,-0.4277332153654321,-100.0,0.4250089578037972,0.17359104219620747,40.84409022652758
2011-01-13,1294894800000,49.2028,16.24,0.25467869600000004,13.278736684814307,0.38724039096724283,-0.38724039096724283,-100.0,0.3844939679069519,0.046906032093051664,12.199419498930343
2011-01-14,1294981200000,49.3828,16.39,0.25467869600000004,10.282119507309671,0.30126243948453535,-0.30126243948453535,-100.0,0.2985059691068024,-0.03710596910680053,-12.43056184699757
2011-01-18,1295326800000,49.7828,15.46,0.25467869600000004,10.331286996519824,0.3051482283810678,-0.3051482283810678,-100.0,0.3023694306312237,0.4504305693687769,148.96696680893373
2011-01-19,1295413200000,48.6643,15.87,0.25467869600000004,19.14141305007259,0.551490670168544,-0.551490670168544,-100.0,0.5487743053329481,0.10122569466705045,18.44577883536941
2011-01-20,1295499600000,48.4057,17.31,0.25404913,19.58256397605639,0.5611673381087563,-0.49256733810875986,-87.7754824022382,0.5584720869074999,-0.5584720869074999,-100.0
2011-01-21,1295586000000,47.5257,17.99,0.254021739,22.180109424014056,0.6238667039414487,1.14043329605855,182.8007952425655,0.6212207368419413,-0.6212207368419413,-100.0
2011-01-24,1295845200000,46.6743,18.47,0.254021739,19.730441422937353,0.5451710335087121,1.9691289664912865,361.19471605415345,0.5425724676339847,-0.5425724676339847,-100.0
2011-01-25,1295931600000,48.2071,17.65,0.254021739,29.254531058940653,0.8341925480799617,0.021507451920044218,2.578235920417575,0.8315086444117838,-0.8315086444117838,-100.0
2011-01-26,1296018000000,48.7714,17.59,0.254021739,29.737331667781806,0.8578609427407216,-0.12926094274072142,-15.06782000445835,0.8551456219817091,-0.8551456219817091,-100.0
2011-01-27,1296104400000,49.1214,16.64,0.254021739,30.00230884707729,0.8717026908719241,0.2754973091280739,31.60450369293992,0.8689678840562074,-0.8689678840562074,-100.0
2011-01-28,1296190800000,49.03,16.15,0.254021739,29.47503153204167,0.8548158881979937,0.8579841118020077,100.37063227857087,0.8520861700268014,-0.8520861700268014,-100.0
2011-01-31,1296450000000,48.0143,20.04,0.254021739,29.03359931593653,0.8245926719654797,2.3268073280345227,282.17657118979724,0.8219195023308252,-0.8219195023308252,-100.0
2011-02-01,1296536400000,48.4743,19.53,0.254021739,29.55512450006934,0.847419952455919,1.3268800475440834,156.5788064935968,0.8447211725753156,-0.8447211725753156,-100.0
2011-02-02,1296622800000,49.29,17.63,0.254021739,28.158059376856354,0.8210194057414704,0.8675805942585306,105.67114348229205,0.8182752122138801,-0.8182752122138801,-100.0
2011-02-03,1296709200000,49.1886,17.3,0.253434783,24.75221188578315,0.7204031141818739,1.4023968858181242,194.66835417705778,0.717670893700987,-0.717670893700987,-100.0
2011-02-04,1296795600000,49.0628,16.69,0.25247826100000004,18.684346916046657,0.5427520315893766,1.8087479684106178,333.25494206146806,0.540037084150903,-0.540037084150903,-100.0
2011-02-07,1297054800000,49.5,15.93,0.253434783,18.240531639424685,0.5346199885945211,1.8410800114054808,344.371712746011,0.5318704711493467,-0.5318704711493467,-100.0
2011-02-08,1297141200000,50.2686,16.28,0.253423913,19.638915504325983,0.5844333632092642,0.3326666367907336,56.92122622226443,0.5816412730134175,-0.5816412730134175,-100.0
2011-02-09,1297227600000,50.7428,15.81,0.253,19.674850391368114,0.5910209927566932,-0.5910209927566932,-100.0,0.5882072782445107,0.07459272175549359,12.681366673685785
2011-02-10,1297314000000,51.1657,15.87,0.253,11.195778598324466,0.3397382663459325,-0.3397382663459325,-100.0,0.336901101809957,2.455998898190046,728.9969919942422
2011-02-11,1297400400000,50.6486,16.09,0.253,14.999302485251478,0.4500747560662468,-0.4500747560662468,-100.0,0.4472662649927912,1.2556337350072084,280.7351757297068
2011-02-14,1297659600000,50.9786,15.69,0.253076087,13.24726856472557,0.40026015391579506,-0.40026015391579506,-100.0,0.39743251406891034,1.5983674859310923,402.1733072533551
2011-02-15,1297746000000,51.3114,15.95,0.252076087,12.646506149999757,0.3846625184998018,-0.3846625184998018,-100.0,0.38182766488275277,1.1924723351172482,312.30642637783166
2011-02-16,1297832400000,51.4143,16.37,0.252043478,11.862763042379395,0.3616360707224757,-0.3616360707224757,-100.0,0.3587958995302927,0.5969041004697075,166.3631332607556
2011-02-17,1297918800000,51.8757,16.72,0.252,11.868547300277141,0.3650584140084874,-0.3650584140084874,-100.0,0.36219324899240135,1.6121067510075981,445.0957480550444
2011-02-18,1298005200000,51.1857,16.59,0.251521739,14.287195815582814,0.4333133069321349,-0.4333133069321349,-100.0,0.43049161675909886,0.4524083832409005,105.09110180746357
2011-02-22,1298350800000,50.08,16.43,0.25147826100000004,18.735229230392967,0.5555040854833706,0.7301959145166279,131.44744270984967,0.552743825924999,-0.552743825924999,-100.0
2011-02-23,1298437200000,48.3728,20.8,0.25147826100000004,25.00558252137419,0.7156822505240399,2.340117749475965,326.97719522350513,0.7130160867148412,-0.7130160867148412,-100.0
2011-02-24,1298523600000,48.9457,22.13,0.25097826100000004,26.966444419025688,0.7808288964140502,1.03917110358595,133.08563609240568,0.778136519690257,-0.778136519690257,-100.0
2011-02-25,1298610000000,48.9828,21.32,0.25097826100000004,26.326296428324888,0.7629052375650431,1.0770947624349603,141.18329635181334,0.7602108200659359,-0.7602108200659359,-100.0
2011-02-28,1298869200000,49.7371,19.22,0.25097826100000004,28.106566758021337,0.8269381194616194,-0.21123811946161553,-25.544610230224084,0.8242022098648896,-0.8242022098648896,-100.0
2011-03-01,1298955600000,50.4586,18.35,0.250956522,29.850634029858508,0.8908968626218119,-0.8908968626218119,-100.0,0.8881215055783471,0.04617849442165323,5.199569443100206
2011-03-02,1299042000000,49.9014,21.01,0.25,29.23708420794179,0.8629756016959291,-0.4800756016959298,-55.63026356162097,0.8602413533198572,-0.8602413533198572,-100.0
2011-03-03,1299128400000,50.3028,20.7,0.25,29.45323426821085,0.8763373535765062,-0.6705373535765027,-76.51589320481513,0.8735811112824656,-0.8735811112824656,-100.0
2011-03-04,1299214800000,51.3657,18.6,0.249,28.9466853184041,0.8794853770459348,-0.8794853770459348,-100.0,0.8766821528716022,1.141917847128397,130.25448771690014
2011-03-07,1299474000000,51.4286,19.06,0.248043478,16.292131899486684,0.496243884203885,-0.496243884203885,-100.0,0.4934480086838491,3.7908519913161527,768.2373673829014
2011-03-08,1299560400000,50.7657,20.66,0.247565217,19.621336318824575,0.5896534788635357,-0.5896534788635357,-100.0,0.5868989625736951,2.3731010374263057,404.3457543389886
2011-03-09,1299646800000,50.8228,19.82,0.246086957,19.596809952240484,0.5895724475868214,-0.5895724475868214,-100.0,0.5868312988931805,2.997368701106822,510.77178513827465
2011-03-10,1299733200000,50.3528,20.22,0.246043478,19.632055034279226,0.5851679786319579,-0.5851679786319579,-100.0,0.5824526594006727,1.2989473405993266,223.01337621771813
2011-03-11,1299819600000,49.5243,21.88,0.245947826,20.02325104868264,0.5869801209974455,-0.5869801209974455,-100.0,0.5843105175728667,0.19718948242712742,33.74737857641538
2011-03-14,1300075200000,50.2843,20.08,0.244404348,21.286811417551643,0.6335004633584056,-0.6335004633584056,-100.0,0.630806902285709,1.1977930977142925,189.88268729687752
2011-03-15,1300161600000,50.5086,21.13,0.243904348,20.953074385219598,0.6263691893892123,-0.6263691893892123,-100.0,0.6236691482116719,0.6035308517883315,96.77099685288498
2011-03-16,1300248000000,49.3471,24.32,0.243647826,20.12207735747136,0.5877475078144805,0.28515249218552086,48.516155048594065,0.5851123313533257,-0.5851123313533257,-100.0
2011-03-17,1300334400000,47.1443,29.4,0.243408696,29.78195293471587,0.8304293835861607,2.088070616413841,251.44469327381339,0.8279143092872765,-0.8279143092872765,-100.0
2011-03-18,1300420800000,47.8057,26.37,0.242452174,32.776427561627195,0.9265988843071362,1.4048011156928588,151.60833230910893,0.9240585472251119,-0.9240585472251119,-100.0
2011-03-21,1300680000000,47.2386,24.44,0.2403,32.3548004941094,0.9038363754071099,1.6618636245928897,183.86775193069053,0.9013484550446478,-0.9013484550446478,-100.0
2011-03-22,1300766400000,48.4714,20.61,0.239343478,37.81696947626625,1.0837341806100262,0.23166581938997055,21.376627547132223,1.081191493668861,-1.081191493668861,-100.0
2011-03-23,1300852800000,48.7428,20.21,0.238343478,37.36475870701215,1.0767838882792375,-0.5967838882792407,-55.42280997841967,1.0742376471752735,-1.0742376471752735,-100.0
2011-03-24,1300939200000,48.4557,19.17,0.235452174,35.70474444029241,1.0229372738406042,-0.7372372738406057,-72.07062375121578,1.020436735642992,-1.020436735642992,-100.0
2011-03-25,1301025600000,49.2814,18.0,0.234386957,37.483333968992106,1.0921111735028184,-1.0921111735028184,-100.0,1.0895795306122587,-0.22097953061225795,-20.281174930671163
2011-03-28,1301284800000,50.22,17.91,0.231032609,36.76526601827944,1.0916031556832237,-1.0916031556832237,-100.0,1.0890602156568185,0.8395397843431773,77.0884632707702
2011-03-29,1301371200000,50.0628,19.44,0.228854348,21.353511687465716,0.6325974800026835,-0.6325974800026835,-100.0,0.630086400087098,1.1356135999129044,180.23140949494012
2011-03-30,1301457600000,50.1371,18.16,0.227832609,21.147405306570935,0.6274284823145599,-0.6274284823145599,-100.0,0.624924902895426,1.6464750971045738,263.4676725917086
2011-03-31,1301544000000,49.8043,17.71,0.225147826,19.699285023299108,0.5806581201170218,-0.5806581201170218,-100.0,0.5782004646210694,1.9689995353789271,340.53925167101596
2011-04-01,1301630400000,49.7868,17.74,0.224654348,15.581669016974994,0.4593860340133098,-0.4593860340133098,-100.0,0.45693462672978313,1.844165373270215,403.5950145579133
2011-04-04,1301889600000,49.2228,17.4,0.224154348,17.49955249911038,0.5099303393230592,-0.5099303393230592,-100.0,0.507512096340335,0.6966879036596652,137.27513268816153
2011-04-05,1301976000000,48.7414,17.5,0.219430435,18.199182964982665,0.5250566616965671,-0.5250566616965671,-100.0,0.5227125325095408,0.7300874674904598,139.67284541377128
