Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Bull-Spreads,95-Bull-Spreads-P,95-Bull-Spreads-ROI
2015-01-11,1420952400000,265.3692,19.6,0.6264,73.64232861162066,81.74189079459937,114.54236920540062,140.12688976478674,66.89920737439644,-66.89920737439644,-100.0,76.82961621252453,106.18618378747549,138.20996254067626,75.17253892810038,-75.17253892810038,-100.0,4.9122745820748435,0.08772541792515653,1.7858410896913488
2015-01-12,1421038800000,267.0873,20.56,0.6209,73.3986183089061,82.0306527948115,97.12041220518849,118.39526920274784,67.10574081010944,-67.10574081010944,-100.0,77.07983917670624,88.71686082329374,115.0973610880395,75.4266318243883,-75.4266318243883,-100.0,4.950813618105258,0.049186381894742226,0.9935009816339341
2015-01-13,1421125200000,226.9823,20.56,0.6224,75.09764110351716,71.10559598816845,145.30121901183153,204.34568755461774,58.41854801124013,-58.41854801124013,-100.0,66.93853673617029,138.1191632638297,206.33729089150657,65.53018623414047,-65.53018623414047,-100.0,4.167059251998154,0.832940748001846,19.988694607652654
2015-01-14,1421211600000,177.2795,21.48,0.6224,78.94623274686141,57.9842791476475,203.32919585235248,350.6626258724504,48.07534121801218,-48.07534121801218,-100.0,54.8002439842679,197.6492560157321,360.6722190369689,53.70028300570439,-53.70028300570439,-100.0,3.1840351633795976,1.8159648366204024,57.03344163740019
2015-01-15,1421298000000,210.4636,22.39,0.6224,80.82460649045412,70.24934176346865,88.57623823653135,126.08835330410616,58.48559723097844,-58.48559723097844,-100.0,66.5096789842312,81.79272101576875,122.97867357796301,65.20382158160993,-65.20382158160993,-100.0,3.739662779237449,1.2603372207625512,33.701894934482446
2015-01-16,1421384400000,207.2243,22.39,0.6149,80.78479224192951,69.13329130278973,121.66862369721028,175.99136596046975,57.565279292965506,-57.565279292965506,-100.0,65.450427822747,114.99027217725302,175.69063488579468,64.18011518082675,-64.18011518082675,-100.0,3.6828634800427267,1.3171365199572733,35.76392464979431
2015-01-17,1421470800000,199.625,20.95,0.6099,80.83199492663776,66.62814194561848,123.93610805438152,186.01165278710232,55.49377471979853,-55.49377471979853,-100.0,63.08134604303432,117.5016539569657,186.2700486397447,61.86753843690803,-61.86753843690803,-100.0,3.546795902584158,1.453204097415842,40.97230676163387
2015-01-18,1421557200000,209.932,19.89,0.6099,80.98281857204223,70.18108844979733,116.22751155020269,165.61087056001384,58.47183369487765,-58.47183369487765,-100.0,66.45438408267184,109.45761591732814,164.71090271660424,65.17790539328271,-65.17790539328271,-100.0,3.7267043671254925,1.2732956328745075,34.16680013866071
2015-01-19,1421643600000,213.9783,19.89,0.6119,80.89329778066626,71.46702753624723,102.99858746375278,144.12043009835986,59.52804383884714,-59.52804383884714,-100.0,67.66652411287777,96.10017588712223,142.02026356018075,66.3611886419303,-66.3611886419303,-100.0,3.800503423369463,1.199496576630537,31.56151812033058
2015-01-20,1421730000000,210.4817,18.85,0.6159,80.90167583387534,70.30841076322774,148.47597423677232,211.17811172945363,58.55657156256336,-58.55657156256336,-100.0,66.57014689070638,141.6901531092936,212.84338359943507,65.27777404790173,-65.27777404790173,-100.0,3.738263872521358,1.2617361274786418,33.751927913735926
