Datetime,Timestamp,Price,VIX,10-Day-LIBOR,10-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2012-01-26,1327554000000,27.969998999999998,18.31,0.20956087,141.58936031289053,2.6098460635756666,1.3501549364243317,51.733125384971075,2.608240241914288,-2.608240241914288,-100.0,3.0118918701158783,1.7872090998841197,59.338421728113325,2.1712342531043465,-2.1712342531043465,-100.0,2.2503106877275108,0.8705903422724877,38.68756198956946,3.087756661416289,-3.087756661416289,-100.0,4.421544940831859,-1.3006439108318553,-29.416050910638386,3.3043573513882603,2.0541435986117356,62.16469286376452,1.9043318708099517,-1.9043318708099517,-100.0,0.7039083711043364,4.296091628895663,610.3197241646211
2012-01-27,1327640400000,28.940001000000002,18.57,0.207930435,142.22001403961556,2.712318557133136,0.9276824428668656,34.20256224797601,2.7106699720373277,-2.7106699720373277,-100.0,3.128026909903312,1.3801741200966828,44.12283397329675,2.2582277523603835,-2.2582277523603835,-100.0,2.3403977115591346,0.4314032584408665,18.432903788539114,3.2068996989104552,-3.2068996989104552,-100.0,4.598625463919519,-1.8268244939195208,-39.72544640246641,3.430336249749473,1.6566648002505282,48.2945309041211,1.9817700439084585,-1.9817700439084585,-100.0,0.7288999281288693,4.271100071871131,585.9652206078969
2012-01-30,1327899600000,29.33,18.53,0.20702173899999998,142.31805628582796,2.7507524573566338,-0.9807524573566296,-35.65397005221964,2.7490889572435133,-2.7490889572435133,-100.0,3.172018652518009,-0.5221186525180102,-16.460138155352347,2.2905050574082817,-2.2905050574082817,-100.0,2.3738329482370712,-1.4837329482370674,-62.50367993834456,3.2520195431205554,-3.2520195431205554,-100.0,4.664338005645353,-3.7742380056453495,-80.91690613067286,3.4783548802589106,-0.2418548802589076,-6.953139877461416,2.0102745551514456,-2.0102745551514456,-100.0,0.7388144020920677,4.261185597907932,576.7599529518812
2012-01-31,1327986000000,29.57,19.4,0.206956522,74.14671725992095,1.4476836905737969,0.4723163094262013,32.62565659208306,1.4460071067754632,-1.4460071067754632,-100.0,1.9132760019154127,0.8938239980845815,46.71693980323585,1.024549715631032,-1.024549715631032,-100.0,1.0680307920299563,-0.03513079202995861,-3.2893051672402764,1.953403910717672,-1.953403910717672,-100.0,2.092580507660988,-1.0596805076609903,-50.63989193158754,2.2722424336978406,1.1262575663021543,49.565906771192815,0.7921496790894249,-0.7921496790894249,-100.0,0.6538574276860383,4.346142572313962,664.6926972588958
2012-02-01,1328072400000,29.07,19.44,0.205793478,23.794646918028512,0.4575374175484477,3.642460582451552,796.1011368137688,0.4558984455596775,-0.4558984455596775,-100.0,1.015342972235647,3.9567550277643484,389.6964017047474,0.14165316940654726,-0.14165316940654726,-100.0,0.15263513053739608,3.0752628694626027,2014.780515229523,1.0230469893889662,-1.0230469893889662,-100.0,0.2942882999439433,2.9336097000560564,996.8489065365004,1.505448032372989,4.0480499676270085,268.8933713139336,0.050391008983663436,-0.050391008983663436,-100.0,0.40550743657601407,4.5944925634239855,1133.023009939974
2012-02-02,1328158800000,29.58,18.55,0.205402174,24.158692297546352,0.4726720017513646,3.5473259982486365,750.4836303197421,0.4710074468599341,-0.4710074468599341,-100.0,1.0383633604948097,3.869034639505188,372.6089331254411,0.14934874225012873,-0.14934874225012873,-100.0,0.16078528451895924,2.9718127154810423,1848.311382706554,1.0464707929807844,-1.0464707929807844,-100.0,0.310134026769088,2.8224639732309136,910.0787819494552,1.5348568168485777,3.964141183151423,258.2743314969756,0.05427548970172325,-0.05427548970172325,-100.0,0.4167319571582109,4.583268042841789,1099.8119928445437
2012-02-03,1328245200000,30.25,17.98,0.204173913,23.938317192168164,0.4789722003236356,3.451027799676364,720.5069098675342,0.4772801213846041,-0.4772801213846041,-100.0,1.058644242563755,3.778855757436242,356.9523741313565,0.1495029259929037,-0.1495029259929037,-100.0,0.16103102959344007,2.861468970406561,1776.967443871531,1.0667881882862424,-1.0667881882862424,-100.0,0.3105339555863438,2.7119660444136535,873.3235112060373,1.567746718848067,3.874753281151932,247.15429058585332,0.05363924385599539,-0.05363924385599539,-100.0,0.4236408775286087,4.576359122471391,1080.2449350894726
2012-02-06,1328504400000,31.15,17.1,0.20423913,22.941032119040646,0.4727137837642452,3.34728721623576,708.1001932249852,0.4709708054339306,-0.4709708054339306,-100.0,1.0753179041981618,3.67918309580184,342.14840852532035,0.13912721521776206,-0.13912721521776206,-100.0,0.1502354728983617,2.735265527101644,1820.6522563097487,1.08294020521814,-1.08294020521814,-100.0,0.28936268811612376,2.596138311883881,897.1918006381073,1.6060663238001531,3.7714346761998487,234.82434195346084,0.04691049438635364,-0.04691049438635364,-100.0,0.42406031104757697,4.575939688952423,1079.0775674451247
2012-02-07,1328590800000,31.799999,17.76,0.20397826100000002,22.41325235623217,0.4714962869913304,2.22850471300867,472.64523061867635,0.4697192110319577,-0.4697192110319577,-100.0,1.0899128669295235,2.5640881030704747,235.25624670290958,0.13418913324893733,-0.13418913324893733,-100.0,0.14511320850047138,1.6008878214995308,1103.199245638849,1.0972827902623197,-1.0972827902623197,-100.0,0.2793023417494087,1.4666986882505937,525.1293917064692,1.6353411950654788,2.6546597549345208,162.33063552393594,0.04365302290407591,-0.04365302290407591,-100.0,0.4260661881278818,4.573933811872118,1073.5265879627307
2012-02-08,1328677200000,31.6,17.65,0.203880435,24.875657827611704,0.5199010805923674,2.100099919407634,403.94221089419784,0.5181360280404554,-0.5181360280404554,-100.0,1.1203654337661924,2.4476355662338065,218.4676081986836,0.17065333279083816,-0.17065333279083816,-100.0,0.18341613010582325,1.4885848698941784,811.5888548271784,1.1295981259773529,-1.1295981259773529,-100.0,0.3540694628966614,1.3179315371033402,372.2240055161129,1.6462063821258646,2.553794617874136,155.13210528173494,0.06452958220154947,-0.06452958220154947,-100.0,0.45360644583890597,4.546393554161094,1002.2771051572981
2012-02-09,1328763600000,31.93,18.16,0.20308695699999998,24.72494847176761,0.5221501447755141,2.0778488552244827,397.94087505573776,0.5203736006278756,-0.5203736006278756,-100.0,1.1296867950656342,2.4282122049343577,214.945612849558,0.17006354724243078,-0.17006354724243078,-100.0,0.1828396212053116,1.4592593787946833,798.1089488016784,1.1389097807332504,-1.1389097807332504,-100.0,0.3529031684477424,1.2891958315522525,365.31149244786536,1.6619758519315972,2.5345231480683985,152.50060012139775,0.06378813499134184,-0.06378813499134184,-100.0,0.4565854656365338,4.543414534363466,995.0852307638422
2012-02-10,1328850000000,32.580002,18.63,0.201923913,22.305238296032584,0.4807289763144276,0.6892690236855721,143.37996202557716,0.47892664767851295,-0.47892664767851295,-100.0,1.1150038223902428,1.0323942376097541,92.59109402841348,0.13585550361341348,-0.13585550361341348,-100.0,0.14695264031926406,0.04564529968073483,31.061231415486983,1.1224963018242775,-1.1224963018242775,-100.0,0.2828081439326775,-0.09021020393267863,-31.898021987002323,1.6745726921729407,1.124425407827058,67.14700490953267,0.043860379968824866,-0.043860379968824866,-100.0,0.4350662677096881,4.564933732290312,1049.250211081961
2012-02-13,1329109200000,31.1,20.79,0.200195652,36.73433804584322,0.7551068473538312,1.7648921526461674,233.72747298359045,0.7534011174810153,-0.7534011174810153,-100.0,1.3018712996856614,2.151127700314333,165.23351431387462,0.3672167417090293,-0.3672167417090293,-100.0,0.3883112452095929,1.1986877547904058,308.6925165258627,1.31955434344059,-1.31955434344059,-100.0,0.7555279869186222,0.8314710130813765,110.05164963808737,1.7612584647212657,2.3137405352787326,131.36859703580768,0.20463802134209172,-0.20463802134209172,-100.0,0.5487630961389236,4.451236903861076,811.1399864859374
