Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2014-07-17,1405569600000,220.020004,12.06,0.1542,39.66536130479393,9.989486907417087,39.690521092582934,397.3229201903567,9.961603399400973,-9.961603399400973,-100.0,19.95109030681806,29.728917693181952,149.00898765929819,29.940577214235148,69.41943878576488,231.85738300582807
2014-07-18,1405656000000,220.539993,12.81,0.15545,39.64680189399617,10.0085304757701,53.571471524229906,535.2581146045607,9.980354515313664,-9.980354515313664,-100.0,19.988884991083765,43.59111700891624,218.07678131301716,29.997415466853862,97.16258853314615,323.90319972901517
2014-07-21,1405915200000,219.580002,12.24,0.1562,39.414022271187356,9.906666030729195,51.7033339692708,521.9044813754065,9.878477377525217,-9.878477377525217,-100.0,19.785143408254413,41.82485659174557,211.3952662799307,29.691809438983604,93.52819056101637,314.99660117789705
2014-07-22,1406001600000,222.490005,11.52,0.15425,39.197419105341076,9.9827567443065,53.5672472556935,536.5977417635133,9.954551066611387,-9.954551066611387,-100.0,19.937307810917886,43.612696189082136,218.74917417485702,29.920064555224386,97.17994344477562,324.798575435583
2014-07-23,1406088000000,223.539993,11.84,0.15475,39.13635235118544,10.014324533287308,43.83569746671269,437.7299469475367,9.98589389160304,-9.98589389160304,-100.0,20.000218424890353,33.84980357510965,169.2471694858264,30.014542958177657,77.68550104182233,258.8262001859216
2014-07-24,1406174400000,223.570007,12.69,0.15525,39.079785143506456,10.001272215348166,48.53870578465183,485.3253140151839,9.972745889991726,-9.972745889991726,-100.0,19.97401810533989,38.56595989466013,193.08062950213218,29.97529032068806,87.10466567931192,290.58823033048276
2014-07-25,1406260800000,224.820007,12.56,0.155,38.94854674691741,10.023477210103325,43.63652678989666,435.34320351337294,9.994837581500603,-9.994837581500603,-100.0,20.018314791603924,33.641689208396095,168.05455183723092,30.04179200170725,77.27821599829272,257.23570682435013
2014-07-28,1406520000000,225.00999500000003,13.28,0.15425,30.30499720761125,7.810349552208251,48.27966144779173,618.1498167920207,7.781824408361218,-7.781824408361218,-100.0,15.592173960569468,40.49783703943051,259.7318189358594,23.40252351277772,88.77749848722223,379.3501091399393
2014-07-29,1406606400000,228.919998,13.33,0.156,29.335130602672443,7.692544204759301,43.697455795240714,568.0494597379828,7.66319415242917,-7.66319415242917,-100.0,15.355738357188473,36.034261642811536,234.66316503069908,23.048282561947772,79.73171743805226,345.9334430830332
2014-07-30,1406692800000,223.300003,16.95,0.155,29.65853687381313,7.586120459282894,48.313888540717116,636.872150923954,7.5576744626910255,-7.5576744626910255,-100.0,15.14379492197392,40.75621407802612,269.1281431636935,22.729915381256813,89.0701026187432,391.8628869696136
2014-07-31,1406779200000,233.270004,17.03,0.155,32.308948371930796,8.631211252753191,11.958785747246823,138.55281022616845,8.601495186252407,-8.601495186252407,-100.0,17.232706439005597,3.357290560994386,19.482085259662306,25.86391769175879,15.316076308241232,59.217928585975606
2014-08-01,1406865600000,238.520004,15.12,0.1558,32.84735655911201,8.972251563060636,13.24773443693934,147.65228486772654,8.941709888505061,-8.941709888505061,-100.0,17.913961451565694,4.306024548434279,24.037254741652518,26.886213014626335,17.55375898537362,65.28907204530523
2014-08-04,1407124800000,238.490005,16.87,0.156,31.467568953085323,8.595203376722537,14.294796623277447,166.31132501169787,8.564626344623463,-8.564626344623463,-100.0,17.159829721346,5.730170278654015,33.39293204947109,25.755033098068537,20.024966901931435,77.75166440548344
2014-08-05,1407211200000,248.929993,16.37,0.156,33.184284593664195,9.459669954984419,5.430344045015558,57.405216787233066,9.427754402018637,-9.427754402018637,-100.0,18.887424357003056,-3.9974103570031048,-21.16440167513338,28.347094311987476,1.4329336880124828,5.0549579164680765
2014-08-06,1407297600000,252.389999,16.66,0.1569,33.00331123205487,9.539065882749767,-2.609057882749781,-27.351293248408552,9.50652004365351,-9.50652004365351,-100.0,19.04558592640328,-12.11557792640332,-63.613574154246685,28.584651809153044,-14.724635809153071,-51.51238471422668
2014-08-07,1407384000000,248.130005,15.77,0.1585,33.401584176698314,9.4911089588486,-7.591114958848578,-79.98132770113601,9.458786182829225,-9.458786182829225,-100.0,18.949895141677825,-17.049901141677775,-89.97359095765518,28.441004100526424,-24.641016100526382,-86.63905118620721
2014-08-08,1407470400000,259.320007,14.23,0.1588,35.42427716858621,10.518309893039216,-10.518309893039216,-100.0,10.484465512374044,-1.5744625123740548,-15.017098492200985,21.002775405413264,-12.092772405413301,-57.57702099836057,31.521085298452476,-22.611082298452487,-71.73319726894866
