Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Bull-Spreads,95-Bull-Spreads-P,95-Bull-Spreads-ROI
2016-11-02,1478059200000,742.465,18.56,0.532,30.093836497403764,47.962135453237295,18.103614546762678,37.7456390873454,10.53053494601457,-10.53053494601457,-100.0,25.704222574841708,3.2382774251582878,12.598231344011886,25.37964309355459,-25.37964309355459,-100.0,22.257912878395587,-17.257912878395587,-77.53607884388299
2016-11-03,1478145600000,687.5075,18.56,0.532,41.73431900604764,52.238954501156904,59.60142049884296,114.09382340820585,17.578053198443115,-17.578053198443115,-100.0,32.94047195992738,44.52452804007254,135.16663663543542,32.63991795707068,-32.63991795707068,-100.0,19.298482541229525,-14.298482541229525,-74.09122717644802
2016-11-04,1478232000000,702.5375,19.32,0.53256,42.17726548652379,53.696795876165645,45.356379123834245,84.4675708927477,18.277845460055342,-18.277845460055342,-100.0,34.015947848503124,29.910352151496856,87.93037984626693,33.708500042071144,-33.708500042071144,-100.0,19.68084802766252,-14.68084802766252,-74.59459067529903
2016-11-05,1478318400000,704.1638,22.08,0.53533,42.15316449031469,53.80484961439805,27.94834038560185,51.94390577410506,18.302385723353666,-18.302385723353666,-100.0,34.07608557740406,12.468914422595901,36.59139308789643,33.766323586831106,-33.766323586831106,-100.0,19.728764036993994,-14.728764036993994,-74.65629377175199
2016-11-06,1478404800000,712.2363,22.08,0.53533,42.19063906651081,54.448761519106654,27.73675348089324,50.94101813713452,18.53929908630178,-18.53929908630178,-100.0,34.497196622112476,12.076503377887436,35.00720220884984,34.18388353494953,-34.18388353494953,-100.0,19.951564896994178,-14.951564896994178,-74.93930914284684
2016-11-07,1478494800000,704.0188,22.51,0.53533,42.552116534089976,54.07911854975436,41.00052145024557,75.81580940991837,18.583965255000493,-18.583965255000493,-100.0,34.3896442903565,25.489055709643477,74.11840464075719,34.07994608535239,-34.07994608535239,-100.0,19.689474259397862,-14.689474259397862,-74.60572113745759
2016-11-08,1478581200000,709.1525,18.71,0.537,42.472657544687685,54.41677121834471,38.639653781655284,71.00688430523655,18.661863214358426,-18.661863214358426,-100.0,34.57656408928091,23.022235910719075,66.58335354337942,34.263634611400555,-34.263634611400555,-100.0,19.8402071290638,-14.8402071290638,-74.79865019818503
2016-11-09,1478667600000,721.1913,18.71,0.5364399999999999,42.68029965107253,55.492644442901046,29.790620557098865,53.68390866243871,19.13106487663512,-19.13106487663512,-100.0,35.33430460416662,13.88939539583339,39.308529066666715,35.01639453441277,-35.01639453441277,-100.0,20.158339838734427,-15.158339838734427,-75.19637013762187
2016-11-10,1478754000000,713.6675,18.74,0.5364399999999999,41.62197818455503,54.147052206513365,41.080122793486616,75.86769938427985,18.16481339538504,-18.16481339538504,-100.0,34.1036032727522,25.440196727247837,74.59680000316514,33.789009787353784,-33.789009787353784,-100.0,20.043448933761162,-15.043448933761162,-75.05419343485339
2016-11-11,1478840400000,716.5563,14.38,0.53817,41.45244360794074,54.24387225773387,33.64894274226617,62.03270773588374,18.11501618609239,-18.11501618609239,-100.0,34.10347104483901,17.961528955161047,52.66774438163595,33.786585706269136,-33.786585706269136,-100.0,20.140401212894858,-15.140401212894858,-75.17427807347374
2016-11-12,1478926800000,703.5463,14.74,0.53817,42.16191024103619,53.76491606902829,55.77739893097163,103.7431154163052,18.29202578471171,-18.29202578471171,-100.0,34.054009943549204,40.31099005645081,118.37369555971145,33.74287806532118,-33.74287806532118,-100.0,19.710906125479084,-14.710906125479084,-74.63333259176348
2016-11-13,1479013200000,702.5038,14.74,0.53817,42.19039683104384,53.70556408007582,54.1658259199242,100.85700959990317,18.2852367729526,-18.2852367729526,-100.0,34.026390729410984,38.719809270589046,113.7934657204805,33.71571987980752,-33.71571987980752,-100.0,19.679173350664833,-14.679173350664833,-74.59242870162998
2016-11-14,1479099600000,706.395,14.17,0.54206,42.16231025044043,53.98428007117377,51.576769928826245,95.54034963664715,18.365613335341266,-18.365613335341266,-100.0,34.19329679745914,36.04800320254088,105.42418128344843,33.8786476018459,-33.8786476018459,-100.0,19.79098327371463,-14.79098327371463,-74.73596975527363
2016-11-15,1479186000000,711.9563,14.48,0.55011,42.190332801971,54.43241799291025,44.68909700708969,82.10015034222873,18.528859872084094,-18.528859872084094,-100.0,34.48751265460885,29.036187345391113,84.19333582038068,34.165677790581185,-34.165677790581185,-100.0,19.944905338301403,-14.944905338301403,-74.93094143496285
2016-11-16,1479272400000,742.07,14.48,0.55456,44.083269674729955,58.16793347961367,17.715566520386233,30.455898053512726,20.743181036932302,-20.743181036932302,-100.0,37.550675652358734,1.2293243476412383,3.2737742431647003,37.21251518637814,-37.21251518637814,-100.0,20.61725782725494,-15.617257827254939,-75.74847226584002
2016-11-17,1479358800000,735.4063,13.37,0.55456,44.28864202724965,57.8001346145914,32.14018038540854,55.605718913490016,20.711451980489016,-20.711451980489016,-100.0,37.38582878350604,15.784171216493915,42.219663787305436,37.0507049581351,-37.0507049581351,-100.0,20.414305831085358,-15.414305831085358,-75.50737193137188
2016-11-18,1479445200000,749.6775,13.72,0.5617800000000001,44.14885377346981,58.81723519105538,17.57793980894462,29.885695496985523,21.004589961513464,-21.004589961513464,-100.0,37.99386086514056,0.9174391348594212,2.4147036230823637,37.647786939306904,-37.647786939306904,-100.0,20.82337432591482,-15.82337432591482,-75.9885217364725
2016-11-19,1479531600000,750.6325,13.72,0.5660000000000001,44.14149682803626,58.88808203598387,18.167342964016033,30.850627726192172,21.024795752836386,-21.024795752836386,-100.0,38.037197880705264,1.4866021192946732,3.9082850528502435,37.688080740549935,-37.688080740549935,-100.0,20.850884155278607,-15.850884155278607,-76.02020152831648
2016-11-20,1479618000000,728.6075,13.35,0.5660000000000001,45.857917153690366,58.4435120492513,48.16436295074863,82.4118217094136,21.69120734548699,-21.69120734548699,-100.0,38.34814656550179,31.829353434498216,83.00102165337002,38.00927319311825,-38.00927319311825,-100.0,20.095365483749504,-15.095365483749504,-75.11864114119574
2016-11-21,1479704400000,736.7163,12.85,0.5677800000000001,44.60440678124475,58.14617204153569,75.07584295846414,129.11571015343029,20.983821068166662,-20.983821068166662,-100.0,37.721696995474076,58.66450300452584,155.5192572899478,37.37797491824341,-37.37797491824341,-100.0,20.424475046061616,-15.424475046061616,-75.51956665361574
2016-11-22,1479790800000,748.225,12.85,0.58422,44.64568751870274,59.09224280144822,88.8303071985518,150.3248192779286,21.33975560507821,-21.33975560507821,-100.0,38.35102680235463,72.16027319764538,188.15734339925152,37.99182975354404,-37.99182975354404,-100.0,20.74121599909359,-15.74121599909359,-75.89340952710533
2016-11-23,1479877200000,741.5963,12.42,0.5920000000000001,44.85298225583597,58.72918710658922,153.54182789341067,261.4404105657778,21.306655142201464,-21.306655142201464,-100.0,38.18894169992024,137.00225830007977,358.74850729462844,37.82818700056464,-37.82818700056464,-100.0,20.54024540666898,-15.54024540666898,-75.65754497569631
2016-11-24,1479963600000,736.3988,12.41,0.5920000000000001,45.02113500107738,58.4446152547917,136.1790247452082,233.005254892226,21.28436023256896,-21.28436023256896,-100.0,38.06258989067664,119.74111010932329,314.5900225214409,37.7043635514948,-37.7043635514948,-100.0,20.38202536411506,-15.382025364115059,-75.46858120977964
2016-11-25,1480050000000,738.2775,12.43,0.60256,43.845368109083346,57.70868541496566,135.41018958503423,234.64438430946853,20.44754271707643,-20.44754271707643,-100.0,37.172199438781654,119.03280056121828,320.2199556613581,36.80665449363505,-36.80665449363505,-100.0,20.536485976184004,-15.536485976184004,-75.6530888205584
2016-11-26,1480136400000,732.8238,12.43,0.6058899999999999,43.65379865038915,57.14020816400564,149.23098183599433,261.16632513425026,20.152411257133,-20.152411257133,-100.0,36.738353352753855,132.99164664724614,361.99675410133017,36.37350397709839,-36.37350397709839,-100.0,20.401854811251788,-15.401854811251788,-75.49242435916925
2016-11-27,1480222800000,728.425,12.34,0.6058899999999999,43.74720209388054,56.86670302990575,182.24334697009425,320.4746138953298,20.10092664288237,-20.10092664288237,-100.0,36.59547420002389,166.09332579997613,453.86302385956714,36.23281484526245,-36.23281484526245,-100.0,20.271228829881863,-15.271228829881863,-75.33449973871595
2016-11-28,1480309200000,731.7463,13.15,0.60561,42.067874546175936,55.87491926688267,226.97489573311725,406.2196397080906,18.941666892102774,-18.941666892102774,-100.0,35.35980464162958,210.90269535837035,596.4475694813984,34.99566003659805,-34.99566003659805,-100.0,20.51511462525309,-15.51511462525309,-75.6277257459471
2016-11-29,1480395600000,731.765,13.15,0.6167199999999999,41.147171471431854,55.19834446165021,219.24990553834985,397.2037706505432,18.257803423060125,-18.257803423060125,-100.0,34.59489340833346,203.26510659166652,587.5581236585126,34.22406073613348,-34.22406073613348,-100.0,20.603451053316746,-15.603451053316746,-75.73222084464777
2016-11-30,1480482000000,742.0075,12.9,0.62367,41.36800391613289,56.13918952101482,199.42498547898515,355.233103969792,18.67756786265346,-18.67756786265346,-100.0,35.26817730548322,183.19562269451683,519.436037501249,34.88791766510286,-34.88791766510286,-100.0,20.8710122155316,-15.8710122155316,-76.04332771038702
2016-12-01,1480568400000,753.255,13.33,0.62367,38.72620829699565,54.990559490664225,197.64469050933567,359.4156748721386,16.961086982274598,-16.961086982274598,-100.0,33.531168258571036,181.4413317414289,541.112466891308,33.14514456552928,-33.14514456552928,-100.0,21.45939123209319,-16.45939123209319,-76.70017781062519
2016-12-02,1480654800000,771.4075,13.33,0.6345,39.10096242539887,56.608854746987454,208.24282025301255,367.8626271168197,17.656399804180698,-17.656399804180698,-100.0,34.672555342893645,191.60874465710637,552.623660881625,34.27036592941289,-34.27036592941289,-100.0,21.93629940409381,-16.93629940409381,-77.20672977746243
2016-12-03,1480741200000,764.9725,14.07,0.64667,27.41662050392281,47.59386788000393,243.732257119996,512.108529894032,8.959084804307311,-8.959084804307311,-100.0,24.178689746187672,228.8988102538123,946.6965028156807,23.772207561243764,-23.772207561243764,-100.0,23.415178133816255,-18.415178133816255,-78.64632943885664
2016-12-04,1480827600000,766.4638,14.12,0.64667,26.632482977392574,47.15153031941418,255.5253596805859,541.9237890045232,8.441429435559911,-8.441429435559911,-100.0,23.539142149498677,240.81455785050144,1023.0388020135657,23.13186753491533,-23.13186753491533,-100.0,23.6123881699155,-18.6123881699155,-78.8246747257421
2016-12-05,1480914000000,750.7088,14.12,0.65194,27.884442295684572,47.02451954824517,369.6721204517546,786.1263102805052,9.107034320371014,-9.107034320371014,-100.0,24.130680237404423,355.03051976259553,1471.2826835783549,23.728527365957923,-23.728527365957923,-100.0,22.89383931084075,-17.89383931084075,-78.16006335978612
2016-12-06,1481000400000,758.81,12.14,0.64889,27.857577853172987,47.51227000638778,237.43322999361226,499.73034326015284,9.187408120515244,-9.187408120515244,-100.0,24.366869076562747,222.6381309234374,913.6919898239273,23.96227761774964,-23.96227761774964,-100.0,23.145400929825033,-18.145400929825033,-78.39743621136833
2016-12-07,1481086800000,763.8975,11.79,0.65417,27.45164323177164,47.55423801983397,122.41313698016586,257.4179338739686,8.969276485607963,-8.969276485607963,-100.0,24.177570707473308,107.59492929252659,445.01960347599737,23.76695330302482,-23.76695330302482,-100.0,23.37666731236066,-18.37666731236066,-78.61115131087914
2016-12-08,1481173200000,766.7513,11.79,0.65417,27.40563167571605,47.700276531777035,129.05598846822284,270.55605931812187,8.971167696078766,-8.971167696078766,-100.0,24.227587035367666,114.19111296463228,471.326809384422,23.81543562936952,-23.81543562936952,-100.0,23.47268949640937,-18.47268949640937,-78.6986489095557
2016-12-09,1481259600000,770.415,12.22,0.66389,26.936185434180132,47.609723060744045,134.01982693925595,281.496758064027,8.689714378834765,-8.689714378834765,-100.0,23.933132660848454,119.17566733915164,497.9526459321716,23.512860364101872,-23.512860364101872,-100.0,23.67659039989559,-18.67659039989559,-78.88209444201878
2016-12-10,1481346000000,773.2113,12.64,0.68,26.54647091119577,47.52272334401335,117.27654165598652,246.7799263249933,8.45172962535301,-8.45172962535301,-100.0,23.68070408946892,102.45799591053104,432.664482962292,23.24867385930003,-23.24867385930003,-100.0,23.84201925454443,-18.84201925454443,-79.0286219190643
2016-12-11,1481432400000,768.6213,11.75,0.68,26.70999209120813,47.351751186972024,127.25051381302795,268.73454650192247,8.512693888755365,-8.512693888755365,-100.0,23.683731032031346,112.48746896796864,474.9567068458666,23.25426545496117,-23.25426545496117,-100.0,23.668020154940677,-18.668020154940677,-78.87444759946997
2016-12-12,1481518800000,777.9113,11.75,0.69472,25.83830222118045,47.33490366025751,-10.369338660257537,-21.90632674502232,8.017479103815193,-8.017479103815193,-100.0,23.199805198508955,-23.199805198508955,-100.0,22.75574250751697,-20.82574250751702,-91.51862436761878,24.135098461748555,-19.135098461748555,-79.28328319055983
2016-12-13,1481605200000,775.25,12.64,0.70389,25.8929026803366,47.21401789069967,19.127282109300264,40.511871185332886,8.025553844669389,-8.025553844669389,-100.0,23.171652664537305,4.407147335462697,19.019564116838094,22.72326945818969,-22.72326945818969,-100.0,24.042365226162367,-19.042365226162367,-79.20337723445316
2016-12-14,1481691600000,776.6363,12.72,0.70728,25.88503612467863,47.29464884614857,41.02216615385146,86.73743680241344,8.034053538539213,-8.034053538539213,-100.0,23.207163694288965,26.277836305711052,113.23157216397686,22.75581600206868,-22.75581600206868,-100.0,24.087485151859603,-19.087485151859603,-79.24233281939775
2016-12-15,1481778000000,775.48,12.72,0.70728,25.87724810791412,47.21896620240818,34.71383379759175,73.51671709369471,8.016824287144969,-8.016824287144969,-100.0,23.165711014298488,19.993088985701434,86.30466370473656,22.71503531402152,-22.71503531402152,-100.0,24.053255188109695,-19.053255188109695,-79.21279277629057
2016-12-16,1481864400000,780.85,13.19,0.73622,21.894742279521914,44.96434999008898,35.65065000991092,79.28647921691078,5.473108909339999,-5.473108909339999,-100.0,19.78178880935252,21.790711190647468,110.15541314618204,19.309429776985155,-19.309429776985155,-100.0,25.182561180736457,-20.182561180736457,-80.1449901615854
