Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2015-08-28,1440734400000,230.9825,26.1,0.8418,69.37253284235781,63.3767035455313,274.3070964544687,432.82007600379546,61.440453968978794,-61.440453968978794,-100.0,65.96854338651545,278.6447316134845,422.39030499867295,57.16090629725953,-57.16090629725953,-100.0,60.89696497887084,269.8573600211291,443.1376179662819,65.83210291502175,-65.83210291502175,-100.0,118.05787127613037,212.69645372386964,180.1628738725817
2015-08-29,1440820800000,229.7562,26.1,0.8433,69.37149261573083,63.04059960814615,280.75820039185385,445.3609295232244,61.111212269356955,-61.111212269356955,-100.0,65.61871151084854,285.07277448915136,434.4382386143337,56.854519792222995,-56.854519792222995,-100.0,60.57399483314649,276.33211916685343,456.18935968813247,65.47941187419359,-65.47941187419359,-100.0,117.42851462536949,219.47759937463047,186.90315557071187
2015-08-30,1440907200000,228.6088,26.05,0.8433,69.36142831552067,62.717169514814046,281.035330485186,448.0995119188285,60.79741751571329,-60.79741751571329,-100.0,65.2825491140931,285.32821488590696,437.0665955265383,56.562125674965394,-56.562125674965394,-100.0,60.26275820580607,276.631477794194,459.0421780056223,65.14367764673231,-65.14367764673231,-100.0,116.82488388077147,220.0693521192285,188.37540839657564
2015-08-31,1440993600000,230.0173,28.43,0.8433,69.2186844980787,62.98075232913104,283.00074767086886,449.3448191789385,61.04917239212615,-61.04917239212615,-100.0,65.56397562644374,287.3180433735562,438.22547462736986,56.78982408754902,-56.78982408754902,-100.0,60.50943882780658,278.5715421721934,460.3770049246901,65.42043049269158,-65.42043049269158,-100.0,117.2992629153556,221.78171808464435,189.07341152235918
2015-09-01,1441080000000,227.3469,31.4,0.85555,69.22261323355156,62.26311179285513,282.7237882071449,454.0791169380457,60.32634221967483,-60.32634221967483,-100.0,64.81643150475011,286.99087549524984,442.7748779631868,56.11735801876522,-56.11735801876522,-100.0,59.82038860373908,278.3461043962609,465.3030695605727,64.64592294336339,-64.64592294336339,-100.0,115.9377466225043,222.22874637749564,191.67937350126098
2015-09-02,1441166400000,228.8551,31.4,0.8543,69.22652764134835,62.67846404153858,280.16023595846144,446.98005964663116,60.73168243997422,-60.73168243997422,-100.0,65.24865204110193,284.45570095889803,435.95644057092784,56.49462088758458,-56.49462088758458,-100.0,60.21959992784213,275.7534470721579,457.9131169960914,65.08006787823089,-65.08006787823089,-100.0,116.71422081542671,219.2588261845733,187.85956385838523
2015-09-03,1441252800000,226.765,26.09,0.8543,69.23023276536486,62.10917412158757,285.2733258784125,459.30948191317003,60.1801721903274,-60.1801721903274,-100.0,64.6558367897826,289.52961321021746,447.80120030241585,55.98175491646022,-55.98175491646022,-100.0,59.672812026559114,280.9067379734409,470.74493129034255,64.48889003736114,-64.48889003736114,-100.0,115.65456694301933,224.9249830569807,194.47998380193383
2015-09-04,1441339200000,230.0851,25.61,0.85355,69.17482180081265,62.970192896734616,305.3285071032653,484.8778335552764,61.01465912740957,-61.01465912740957,-100.0,65.55492472745331,309.6463282725466,472.3464019826292,56.75550397120803,-56.75550397120803,-100.0,60.4974773443373,300.8986696556626,497.37391187903376,65.38583056193251,-65.38583056193251,-100.0,117.25298131554533,244.1431656844546,208.21915395688643
2015-09-05,1441425600000,234.6771,25.61,0.8503,69.19133400821927,64.23864681632341,310.00175318367667,482.57827421250016,62.25164713599007,-62.25164713599007,-100.0,66.87468466160665,314.4060283383933,470.14207233921576,57.90698197168337,-57.90698197168337,-100.0,61.71683226118744,305.48325473881266,494.9755902020352,66.71053559044408,-66.71053559044408,-100.0,119.62381423287081,247.57627276712924,206.96236310035584
2015-09-06,1441512000000,239.4383,27.8,0.8503,69.22425081324545,65.57142757760596,301.01777242239405,459.0685052054563,63.54411504664514,-63.54411504664514,-100.0,68.26045667534207,305.51189232465794,447.56789978379805,59.11081452031003,-59.11081452031003,-100.0,62.998877142830246,296.4071738571698,470.4959632616297,68.09389423594057,-68.09389423594057,-100.0,122.10969166314027,237.29635933685978,194.33048769910988
2015-09-07,1441598400000,240.0202,24.9,0.86005,69.22455468683002,65.73962501824333,305.31017498175675,464.42335942292107,63.68418287306072,-63.68418287306072,-100.0,68.4353039153213,309.8151020846787,452.712393106385,59.24091903449418,-59.24091903449418,-100.0,63.16070138297637,300.6884926170237,476.0689574895505,68.24420197343827,-68.24420197343827,-100.0,122.40162041747055,241.44757358252951,197.25847808144488
2015-09-08,1441684800000,243.5473,24.9,0.8568,69.23081487297857,66.70847546144525,304.5317245385548,456.5112940027562,64.63067619811882,-64.63067619811882,-100.0,69.44363236208304,309.10298663791696,445.1135059097088,60.12174807665643,-60.12174807665643,-100.0,64.09177954800272,299.8420014519973,467.83222991557767,69.25806530677653,-69.25806530677653,-100.0,124.21352762465915,239.72025337534086,192.9904559990542
2015-09-09,1441771200000,238.2916,26.23,0.85455,69.25967718867737,65.29268697151913,321.36451302848087,492.190669329723,63.26504206264897,-63.26504206264897,-100.0,67.9683653160076,325.83758268399237,479.39593834435294,58.85280175440359,-58.85280175440359,-100.0,62.732860536230625,316.7755914637694,504.9595837907303,67.79313428009429,-67.79313428009429,-100.0,121.58566229063422,257.9227897093658,212.13256962226023
2015-09-10,1441857600000,238.5896,24.37,0.85455,69.24523937058696,65.36145333784032,317.84524666215964,486.2885239397615,63.33127271985224,-63.33127271985224,-100.0,68.04069172288948,322.32369627711046,473.72195683995074,58.913728523441065,-58.913728523441065,-100.0,62.798238817021904,313.25077318297804,498.8209527590592,67.86484078049422,-67.86484078049422,-100.0,121.71196734046296,254.33704465953699,208.96634095814423
2015-09-11,1441944000000,240.0838,24.37,0.8548,69.25000049270976,65.77528434122645,316.3534156587736,480.9609244980343,63.73179433794768,-63.73179433794768,-100.0,68.471233891267,320.85998010873294,468.60551778322235,59.286534588086674,-59.286534588086674,-100.0,63.196076134103855,311.7301098658961,493.2744704028713,68.29379543072673,-68.29379543072673,-100.0,122.48261072219053,252.44357527780943,206.10564535596848
