Datetime,Price,Timestamp,VIX,5-Month-LIBOR,5-Month-VM,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,107-Straddles,107-Straddles-P,107-Straddles-ROI
2013-10-25,75.6965,1382673600000,13.31,0.3160833333333333,26.19652946228929,3.045086590179661,7.036758409820339,231.08565886151595,8.238699276259482,-8.238699276259482,-100.0,11.283785866439143,-1.2019408664391413,-10.651929065882223
2013-10-28,73.8111,1382932800000,13.41,0.3172333333333333,26.277925287002745,2.984001610411365,10.155221389588636,340.32224896114144,8.047882347787443,-8.047882347787443,-100.0,11.031883958198808,2.107339041801179,19.102258959450182
2013-10-29,74.9851,1383019200000,13.65,0.3172666666666667,26.19120857981278,3.015619643219992,9.228823356779998,306.03406426036287,8.1600327908614,-8.1600327908614,-100.0,11.175652434081393,1.0687905659185972,9.563563042272161
2013-10-30,74.6717,1383105600000,13.75,0.3149166666666666,25.85149095465941,2.9410258095051063,9.384555190494893,319.0912218507207,8.064708520783219,-8.064708520783219,-100.0,11.005734330288325,1.3198466697116746,11.992354440897154
2013-10-31,74.29,1383192000000,13.28,0.3145333333333333,25.864778319415823,2.9283532638539924,11.281346736146007,385.2454167807157,8.02597026275371,-8.02597026275371,-100.0,10.954323526607702,3.255376473392296,29.717731683614147
2013-11-01,75.25,1383278400000,12.93,0.3136333333333333,25.903580304484553,2.973202332573795,10.759297667426207,361.8757307415492,8.136989848011645,-8.136989848011645,-100.0,11.11019218058544,2.622307819414562,23.602722408320954
2013-11-04,75.0641,1383541200000,13.27,0.3153833333333333,25.86677632079772,2.959319487583944,10.582093512416062,357.5853690963096,8.109773330087053,-8.109773330087053,-100.0,11.069092817670997,2.4723201823290086,22.335346022052775
2013-11-05,74.4171,1383627600000,12.67,0.3158,25.85260128042305,2.931289810538296,9.732413189461703,332.01811552282044,8.03721417636094,-8.03721417636094,-100.0,10.968503986899236,1.695199013100762,15.455152454022034
2013-11-06,73.2131,1383714000000,13.91,0.3161333333333333,25.943048467648683,2.900004923975036,10.041978076024972,346.27451812255663,7.923212972612369,-7.923212972612369,-100.0,10.823217896587405,2.1187651034125885,19.576110576879746
2013-11-07,74.3657,1383800400000,12.9,0.31615000000000004,26.00994975409772,2.9577687037926736,9.67093229620732,326.9671588520942,8.060052096829068,-8.060052096829068,-100.0,11.017820800621742,1.6108801993782507,14.620678884951078
