Datetime,Price,Timestamp,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Straddles,100-Straddles-P,100-Straddles-ROI
2017-03-03,19.48,1488517200000,10.96,0.83,70.56801836939451,1.5756870433367212,27.49431295666328,1744.9095029962618,1.5624024792717195,-1.5624024792717195,-100.0,,,,3.138089522608441,25.931910477391554,826.3598055620939
2017-03-04,18.61,1488603600000,11.24,0.83444,74.07998060981917,1.5796712510520852,23.94032874894792,1515.5260142262698,1.5669121241244959,-1.5669121241244959,-100.0,,,,3.146583375176581,22.37341662482342,711.0384171392841
2017-03-05,19.22,1488690000000,11.45,0.84667,74.2342178579791,1.6349086863757591,23.575091313624238,1441.9821431058115,1.6215382727488024,-1.6215382727488024,-100.0,,,,3.2564469591245615,21.95355304087544,674.1566288792637
2017-03-06,19.75,1488776400000,11.45,0.84667,74.11590993138994,1.6773355958339096,23.47266440416609,1399.4017930857985,1.6635964871381503,-1.6635964871381503,-100.0,,,,3.34093208297206,21.80906791702794,652.7839350037552
2017-03-07,18.91,1488862800000,11.86,0.85444,76.66505734436872,1.6608434630557678,22.65915653694423,1364.3162068539498,1.6475680206982195,-1.6475680206982195,-100.0,,,,3.3084114837539875,21.011588516246007,635.0959854729008
2017-03-08,16.54,1488949200000,12.3,0.8577799999999999,93.08268551206136,1.7608804486706973,24.009119551329302,1363.4724361585131,1.7492234505534832,-1.7492234505534832,-100.0,,,,3.5101038992241804,22.259896100775823,634.1663021911063
2017-03-09,17.71,1489035600000,12.3,0.8577799999999999,95.08517866207016,1.9256208786989208,24.734379121301075,1284.488519776192,1.9131392924440336,-1.9131392924440336,-100.0,,,,3.8387601711429546,22.821239828857042,594.4950664126077
2017-03-10,19.13,1489122000000,11.66,0.88139,97.24446463563015,2.1269646692477657,22.463035330752234,1056.1075910441257,2.1131113392179532,-2.1131113392179532,-100.0,,,,4.240076008465719,20.349923991534283,479.942433836179
2017-03-11,21.45,1489208400000,11.35,0.89056,100.63394713963056,2.4672770899377667,19.82272291006224,803.4250790438068,2.4515821399376967,-2.4515821399376967,-100.0,,,,4.918859229875464,17.37114077012454,353.1538504826117
2017-03-12,23.31,1489294800000,11.35,0.91222,102.7567912200292,2.73738326868407,17.692616731315933,646.3331946871008,2.719912683454796,-2.719912683454796,-100.0,,,,5.457295952138866,14.972704047861138,274.3612253975876
2017-03-13,28.45,1489377600000,12.3,0.91222,119.32345237737525,3.8730599530454017,14.0569400469546,362.94145242708083,3.851736995097193,-3.851736995097193,-100.0,,,,7.724796948142595,10.205203051857408,132.1096608799694
2017-03-14,28.58,1489464000000,11.63,0.92833,119.15914070126992,3.885630238141625,17.504369761858378,450.48984821134627,3.863831702254601,-3.863831702254601,-100.0,,,,7.749461940396226,13.640538059603774,176.01916319504292
2017-03-15,35.18,1489550400000,11.63,0.94278,133.51438589792747,5.351101547037789,6.788898452962211,126.86917624877337,5.323851557967631,-5.323851557967631,-100.0,,,,10.67495310500542,1.4650468949945807,13.7241529830012
2017-03-16,45.51,1489636800000,11.21,0.94278,150.72336808992168,7.799350041554272,-4.419350041554272,-56.66305548550007,7.764098563368279,-7.764098563368279,-100.0,,,,15.56344860492255,-12.183448604922548,-78.28244828121869
2017-03-17,44.48,1489723200000,11.28,0.97833,151.64905083942836,7.669352156040798,-3.929352156040797,-51.23447295278815,7.633599859642885,-7.633599859642885,-100.0,,,,15.302952015683683,-11.562952015683681,-75.56027101067198
2017-03-18,34.0,1489809600000,11.28,0.97611,185.86538855481857,7.153896383396129,6.786103616603872,94.85884688453292,7.126629728114092,-7.126629728114092,-100.0,,,,14.28052611151022,-0.34052611151022205,-2.384548782385232
2017-03-19,43.12,1489896000000,11.34,0.97722,198.16344835422703,9.656564861867214,-2.896564861867205,-29.99581013850427,9.621945019236305,-9.621945019236305,-100.0,,,,19.278509881103517,-12.518509881103512,-64.93504922480524
2017-03-20,42.51,1489982400000,12.47,0.97722,198.7886507940577,9.549137554048102,-4.179137554048096,-43.76455497047965,9.515007463365356,-9.515007463365356,-100.0,,,,19.06414501741346,-13.694145017413454,-71.83193898758654
2017-03-21,42.67,1490068800000,12.81,0.97722,198.6779841171121,9.579894772790263,-2.889894772790268,-30.166247556271948,9.545636222580137,-9.545636222580137,-100.0,,,,19.1255309953704,-12.435530995370403,-65.020579028005
2017-03-22,41.65,1490155200000,12.81,0.98389,198.6988928568232,9.351937968345363,-2.73193796834536,-29.21253303424895,9.318270198282447,-9.318270198282447,-100.0,,,,18.67020816662781,-12.050208166627804,-64.54244140762732
2017-03-23,43.2,1490241600000,13.12,0.98389,198.5693769616806,9.693826701176091,-4.483826701176097,-46.25445491646867,9.658905988889947,-9.658905988889947,-100.0,,,,19.352732690066038,-14.142732690066044,-73.07873733679821
2017-03-24,53.19,1490328000000,12.96,0.98167,206.12463712058425,12.375997738516569,-12.375997738516569,-100.0,12.333098586683764,-7.893098586683768,-63.99931478052132,,,,24.709096325200335,-20.269096325200337,-82.03090901599778
2017-03-25,50.62,1490414400000,12.96,0.98278,208.86803181999943,11.929936577509466,-11.929936577509466,-100.0,11.889064054320205,-11.209064054320207,-94.28045810088051,,,,23.81900063182967,-23.13900063182967,-97.1451363115071
2017-03-26,50.63,1490500800000,12.5,0.98222,208.82063473138984,11.929661132451592,-11.929661132451592,-100.0,11.88880381974036,-11.34880381974036,-95.45791142500497,,,,23.818464952191952,-23.278464952191953,-97.73285137776982
2017-03-27,49.06,1490587200000,11.53,0.98222,210.50203152664864,11.649874003329575,-7.4298740033295765,-63.77643227047857,11.6102836465922,-11.6102836465922,-100.0,,,,23.260157649921773,-19.040157649921774,-81.85738865783573
2017-03-28,50.25,1490673600000,11.53,0.98222,210.3224283751665,11.922594243016947,0.9674057569830516,8.114054183716437,11.882043582070091,-11.882043582070091,-100.0,,,,23.80463782508704,-10.914637825087038,-45.85088798782063
2017-03-29,53.07,1490760000000,11.42,0.98222,210.22363109899047,12.585954964821616,6.764045035178387,53.742803419241845,12.543128624991764,-12.543128624991764,-100.0,,,,25.12908358981338,-5.7790835898133786,-22.99758990079549
2017-03-30,51.91,1490846400000,11.54,0.98222,211.3599418035484,12.375279565053821,5.544720434946182,44.80480950591009,12.333389320083644,-12.333389320083644,-100.0,,,,24.708668885137463,-6.7886688851374615,-27.47484664874408
2017-03-31,49.91,1490932800000,11.54,0.98278,212.31038315728577,11.950279957157715,17.969720042842287,150.37070350874234,11.909980715111573,-11.909980715111573,-100.0,,,,23.860260672269288,6.059739327730714,25.396785940286996
2017-04-01,50.6,1491019200000,12.37,0.98278,211.6889576694084,12.081164314999294,14.848835685000706,122.9089787858048,12.040307940574632,-12.040307940574632,-100.0,,,,24.121472255573927,2.8085277444260726,11.643268348917157
2017-04-02,48.55,1491105600000,12.38,0.98333,213.22611892137851,11.673173177411563,17.02682682258844,145.86288204424642,11.633950121823595,-11.633950121823595,-100.0,,,,23.30712329923516,5.392876700764845,23.138319695343167
2017-04-03,44.13,1491192000000,11.79,0.98333,216.14896192891567,10.751089872333779,25.48891012766623,237.08210451535598,10.715437690189665,-10.715437690189665,-100.0,,,,21.466527562523446,14.773472437476556,68.82096973740776
2017-04-04,44.43,1491278400000,11.79,0.98611,216.28011038156762,10.83056458511049,39.28943541488951,362.76442567826376,10.794568598616175,-10.794568598616175,-100.0,,,,21.625133183726668,28.49486681627333,131.76735872182405
2017-04-05,44.9,1491364800000,12.89,0.98556,216.36542793150647,10.949301363341434,34.94069863665857,319.113498452431,10.912944876356587,-10.912944876356587,-100.0,,,,21.86224623969802,24.027753760301987,109.90523799275385
2017-04-06,43.23,1491451200000,12.39,0.98556,216.1449112284893,10.531668207853393,41.0583317921466,389.85591818710816,10.496663955462411,-10.496663955462411,-100.0,,,,21.028332163315802,30.561667836684194,145.33567188937323
2017-04-07,42.31,1491537600000,12.39,0.98944,209.0146884452781,9.978337603828468,38.171662396171534,382.54530876491793,9.943943476186636,-9.943943476186636,-100.0,,,,19.922281080015104,28.227718919984888,141.6891911453921
2017-04-08,44.37,1491624000000,12.87,0.99,208.67632933946274,10.447761561046727,33.57223843895328,321.334270913336,10.411672437653925,-10.411672437653925,-100.0,,,,20.859433998700652,23.16056600129935,111.03161285556473
2017-04-09,43.72,1491710400000,14.05,0.99,208.55979239254467,10.289136466136476,32.26086353386352,313.542964854633,10.253576031727329,-10.253576031727329,-100.0,,,,20.542712497863803,22.007287502136194,107.12941391953322
2017-04-10,43.74,1491796800000,14.05,0.99,206.3595268716226,10.188575160375496,33.901424839624504,332.73960594088675,10.152998458613016,-10.152998458613016,-100.0,,,,20.341573618988512,23.748426381011484,116.74822619840353
2017-04-11,43.74,1491883200000,15.07,0.99,205.3827149544857,10.141809627036194,34.31819037296381,338.3833027340392,10.106232925273703,-10.106232925273703,-100.0,,,,20.248042552309897,24.211957447690104,119.57678074381566
2017-04-12,46.38,1491969600000,15.77,0.99389,195.6440183035824,10.258501829908678,28.511498170091325,277.9304292461693,10.22062966942362,-10.22062966942362,-100.0,,,,20.479131499332297,18.290868500667706,89.31466894122958
2017-04-13,49.97,1492056000000,15.77,0.99389,196.63663188562504,11.107060733837562,26.882939266162435,242.03468325570424,11.06625711461724,-11.06625711461724,-100.0,,,,22.1733178484548,15.816682151545194,71.33204989729319
2017-04-14,47.32,1492142400000,15.96,0.99444,185.8690678932932,9.957014360620693,31.442985639379305,315.7872882430917,9.918353257792367,-9.918353257792367,-100.0,,,,19.87536761841306,21.52463238158694,108.29803400288284
2017-04-15,48.89,1492228800000,14.66,0.99444,163.35880640405816,9.068032174706767,32.36196782529321,356.8797198973293,9.028088359886887,-9.028088359886887,-100.0,,,,18.096120534593652,23.33387946540634,128.9440983817491
2017-04-16,48.22,1492315200000,14.66,0.99444,163.2124150773105,8.935909524876964,30.64409047512304,342.9319689261846,8.896513109442022,-8.896513109442022,-100.0,,,,17.832422634318988,21.74757736568101,121.95525987493812
2017-04-17,47.94,1492401600000,14.42,0.99444,130.72426205286195,7.142639945032268,31.89736005496773,446.57662013542296,7.103472293519381,-7.103472293519381,-100.0,,,,14.24611223855165,24.793887761448357,174.03967725561776
2017-04-18,49.88,1492488000000,14.93,0.99278,102.88944936093512,5.866544447537855,40.13345555246214,684.1072442450487,5.825859788746875,-5.825859788746875,-100.0,,,,11.69240423628473,34.30759576371526,293.41780416083634
2017-04-19,47.88,1492574400000,14.15,0.99111,103.9282091344015,5.687528855139806,70.8124711448602,1245.0481210458765,5.6485411644835,-5.6485411644835,-100.0,,,,11.336070019623307,65.1639299803767,574.8370455331933
2017-04-20,49.36,1492660800000,14.15,0.99111,104.33750150524028,5.88617489708583,67.81382510291417,1152.0864787162186,5.845982073134388,-5.845982073134388,-100.0,,,,11.732156970220217,61.967843029779786,528.1879810087183
