Datetime,Timestamp,Price,VIX,10-Day-LIBOR,10-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,95-Calls.1,95-Calls-P.1,95-Calls-ROI.1,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls,90-Calls-P,90-Calls-ROI
2015-03-18,1426651200000,200.710007,13.97,0.14476087,35.25349814952853,4.6755704213173175,-4.6755704213173175,-100.0,4.667610317462092,8.452400682537885,181.08625415700268,1.3542612097378068,-1.3542612097378068,-100.0,11.381403450689845,11.774107899310195,103.45040442790514,3.3213092115795098,1.6786907884204894,50.543044368403045,11.232436573077962,-11.232436573077962,-100.0,1.1893741244155365,1.895136525584519,159.33897389232314,,,,20.234233728864183,-13.283244028864205,-65.64737862998797,0.15606893539448308,-0.15606893539448308,-100.0,,,
2015-03-19,1426737600000,195.649994,14.07,0.144826087,37.244461339411416,4.814798607697256,-4.814798607697256,-100.0,4.807035686899411,-0.15704168689941864,-3.266913273130123,1.5094668749663782,-1.5094668749663782,-100.0,11.28381550812864,3.148678191871369,27.904374983826376,3.3053317327308767,1.6946682672691225,51.270746911354074,11.123014465914538,-5.990508765914543,-53.8568819115709,1.3331399911565849,-1.3331399911565849,-100.0,,,,19.77625654108678,-4.861251141086768,-24.58125040493444,0.2042705123687094,-0.2042705123687094,-100.0,,,
2015-03-20,1426824000000,198.080002,13.02,0.14576087,33.26712409986181,4.354624620857152,0.6653793791428484,15.279833213542918,4.346714555945283,-4.346714555945283,-100.0,1.152662964243568,-1.152662964243568,-100.0,11.048357496086114,-6.164361396086093,-55.794369418891655,3.201961656613584,1.7980383433864162,56.15427466698754,10.917297278795617,4.006706821204375,36.70053786101894,1.0057826171293698,-1.0057826171293698,-100.0,,,,19.92533402208249,4.902670177917514,24.60520949101315,0.11021476366179783,-0.11021476366179783,-100.0,,,
2015-03-23,1427083200000,199.630005,13.41,0.146,31.815607040198284,4.197437251828276,-0.5774422518282876,-13.757019275911064,4.189452211330163,-4.189452211330163,-100.0,1.031579771121052,-1.031579771121052,-100.0,11.004695728598023,-4.643190478598001,-42.19281107910772,3.1658574807072233,1.834142519292776,57.93509437711786,10.884375857318899,2.71711939268107,24.963483697175132,0.8952898188457006,-0.8952898188457006,-100.0,,,,20.054510249099792,3.5284852509002187,17.594472301105462,0.0843232126514728,-0.0843232126514728,-100.0,,,
2015-03-24,1427169600000,201.720001,13.62,0.147380435,31.64932238974028,4.219277597167732,1.7307194028322643,41.01933003872609,4.211132670786896,-4.211132670786896,-100.0,1.0276452265501348,-1.0276452265501348,-100.0,11.105093103850294,-6.969090053850268,-62.75580032223218,3.1916323706175973,1.8083676293824027,56.65964683246004,10.98500224604274,5.050994803957252,45.98082631960165,0.8912645159809074,-0.8912645159809074,-100.0,,,,20.261730154686575,5.860266945313442,28.92283581201456,0.08239962094379383,-0.08239962094379383,-100.0,,,
2015-03-25,1427256000000,194.300003,15.44,0.14617391300000002,37.425374784776146,4.804811528709607,10.985181471290405,228.628769425231,4.797030426508627,-4.797030426508627,-100.0,1.5164830712449486,4.558509778755023,300.5974722166032,11.223313063933976,-11.223313063933976,-100.0,3.288328457464658,1.7116715425353417,52.05293706745651,11.06233369336627,14.442659456633693,130.55707644485992,1.3399414962753795,-1.3399414962753795,-100.0,,,,19.645000865148486,15.574992434851511,79.28221811627691,0.2079975731676047,-0.2079975731676047,-100.0,,,
2015-03-26,1427342400000,190.410004,15.8,0.146141304,38.22505521572648,4.809111463558524,15.680878536441483,326.06602394776576,4.801487844596139,-4.801487844596139,-100.0,1.5621678907952514,9.407321909204713,602.1965990106053,11.074663290884788,-11.074663290884788,-100.0,3.2469435727632723,1.7530564272367275,53.99097298585975,10.9108456348863,19.099644565113664,175.0519181028877,1.3831029968720543,-1.3831029968720543,-100.0,,,,19.27480761848298,20.256182781517,105.09149135212616,0.22694596141685786,-0.22694596141685786,-100.0,,,
2015-03-27,1427428800000,185.0,15.07,0.14448913,40.483215360062395,4.948141307291124,19.83185769270891,400.79408531616735,4.9408180305843965,-4.9408180305843965,-100.0,1.7312351199025569,13.798763880097475,797.047363553608,10.973545679360457,-10.973545679360457,-100.0,3.2169061873885667,1.7830938126114333,55.42884090315734,10.79773772969054,23.232261270309486,215.15859943910053,1.540780616819113,-1.540780616819113,-100.0,,,,18.797722659294664,24.482276340705372,130.24065087267334,0.2911317102585915,-0.2911317102585915,-100.0,,,
2015-03-30,1427688000000,190.570007,14.51,0.14442608699999998,38.765029226468684,4.881023344495034,12.008976655504956,246.03399344625217,4.873482868909747,-4.873482868909747,-100.0,1.6153929012664603,5.746106748733553,355.70954559900764,11.135975751901896,-11.135975751901896,-100.0,3.2656304432285737,1.7343695567714263,53.1097926395106,10.967797373430333,15.450702976569689,140.87334448755658,1.4321335716243198,-1.4321335716243198,-100.0,,,,19.30732998431085,16.639670715689164,86.1831787679113,0.24354285628406205,-0.24354285628406205,-100.0,,,
2015-03-31,1427774400000,188.770004,15.29,0.146228261,38.906739598511756,4.852620630802704,14.207377369197305,292.7774176084144,4.845058176970383,-4.845058176970383,-100.0,1.6137255328315234,8.007772267168464,496.228888014037,11.044285156307607,-11.044285156307607,-100.0,3.238895097971181,1.7611049020288192,54.37363201827567,10.876781247435217,17.621716952564782,162.0122401259108,1.431096716294519,-1.431096716294519,-100.0,,,,19.1294116098822,18.807586790117824,98.31764391750492,0.2456050014330984,-0.2456050014330984,-100.0,,,
