Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls,90-Calls-P,90-Calls-ROI
2013-01-11,1357880400000,32.91,13.36,0.2067,27.597855845271678,1.0412279438886074,0.4787720561113957,45.981483585943394,1.0356373253736295,-1.0356373253736295,-100.0,1.594869868355424,0.9124301316445766,57.21031851867912,0.6021469683959015,-0.6021469683959015,-100.0,0.635077093094754,-0.10237709309474853,-16.120419742406572,1.61661875602433,-1.61661875602433,-100.0,1.2372240614906556,-0.70452406149065,-56.94393468567142,3.4005883457559354,1.4104116542440686,41.47551867030058,0.10455678909246124,-0.10455678909246124,-100.0,,,
2013-01-14,1358139600000,33.259997999999996,13.52,0.2057,27.47245367099908,1.047521913583182,0.7924780864168142,75.65264994849052,1.0418991711668149,-1.0418991711668149,-100.0,1.6074606050710898,1.230339334928907,76.53931493235538,0.6042066049272208,-0.6042066049272208,-100.0,0.6373082282945894,0.2048918317054067,32.14956634934541,1.6293167436057274,-1.6293167436057274,-100.0,1.2415148332218102,-0.39931477322180703,-32.163512069006835,3.43488114861022,1.731118651389778,50.3982110731896,0.10382088043548654,-0.10382088043548654,-100.0,,,
2013-01-15,1358226000000,33.900002,13.55,0.2057,28.026336909692226,1.0891354072032016,-0.15913540720320185,-14.611168285479467,1.0834044694214064,-1.0834044694214064,-100.0,1.6580148007626183,0.2889852592373749,17.429594663717936,0.635455731114293,-0.635455731114293,-100.0,0.6699111995221685,-0.6699111995221685,-100.0,1.6810083936069269,-1.5940083336069255,-94.8245314936634,1.3053669306364617,-1.3053669306364617,-100.0,3.5094212315419355,0.8105789684580671,23.097226436449255,0.11426318753832775,-0.11426318753832775,-100.0,,,
2013-01-16,1358312400000,34.099998,13.42,0.2057,27.20916313114409,1.0637177823907251,-0.5137137823907238,-48.29418017588677,1.057953034444779,-1.057953034444779,-100.0,1.6386958174179682,-0.06569187741796867,-4.008790204973911,0.6101040719104063,-0.6101040719104063,-100.0,0.6436979513677166,-0.6436979513677166,-100.0,1.6607602009833933,-1.1877642609833965,-71.51931147435255,1.2538020232781228,-1.2538020232781228,-100.0,3.517698548182008,0.4423052518179951,12.573711071592085,0.10251047503065848,-0.10251047503065848,-100.0,,,
2013-01-17,1358398800000,34.380001,13.57,0.2057,26.60562272288622,1.0487398068091769,0.1512611931908232,14.423138342678154,1.0429277231795488,-1.0429277231795488,-100.0,1.6305677812210713,0.6008332487789225,36.84810013411286,0.5935300301003323,-0.5935300301003323,-100.0,0.6266028674854791,-0.4580018974854792,-73.09285055196352,1.6520164513469595,-1.6520164513469595,-100.0,1.2201328975858114,-1.0515319275858117,-86.18175361605293,3.5377584903590997,1.100242609640901,31.0999920610528,0.0945275150924294,-0.0945275150924294,-100.0,,,
2013-01-18,1358485200000,34.52,12.46,0.2057,26.56103607312355,1.0512514633490608,1.0787505366509365,102.61584161930858,1.0454157123002157,-1.0454157123002157,-100.0,1.6356096786614387,1.529992321338554,93.54263069601542,0.5943490001440672,-0.5943490001440672,-100.0,0.6274972634298877,0.4669047365701076,74.4074538298407,1.6570864398495817,-1.6570864398495817,-100.0,1.2218462635739549,-0.12744426357395966,-10.430466366626149,3.551524850087585,2.0304771499124143,57.17198205335211,0.09427267414362817,-0.09427267414362817,-100.0,,,
2013-01-22,1358830800000,35.189999,12.43,0.2047,27.06375836170192,1.0918580084396616,1.4081419915603384,128.96750133038523,1.0859379096537474,-1.0859379096537474,-100.0,1.6857290431475604,1.8699709268524387,110.92950758924252,0.6242865773252202,-0.6242865773252202,-100.0,0.6587378983122569,0.7855621316877439,119.25260922446111,1.7083401665627598,-1.7083401665627598,-100.0,1.2830244756374771,0.16127555436252372,12.569951503255085,3.627906919965273,2.391092980034728,65.90833317348769,0.10357893105794423,-0.10357893105794423,-100.0,,,
2013-01-23,1358917200000,36.0,12.46,0.2047,27.715281906186185,1.1437933954773063,1.0862066045226904,94.96528033976057,1.1377370282607835,-1.1377370282607835,-100.0,1.7489952765503392,1.5610047234496562,89.25151167523623,0.6631206003503127,-0.6631206003503127,-100.0,0.6992624290872733,0.4507375709127253,64.45900024988612,1.7730243708542552,-1.7730243708542552,-100.0,1.362383029437586,-0.21238302943758747,-15.58908360193408,3.721719894826953,2.1082801051730438,56.64800588844613,0.11626916433208745,-0.11626916433208745,-100.0,,,
2013-01-24,1359003600000,36.990002000000004,12.69,0.2047,28.54720839503075,1.2104121570923816,0.2695868429076249,22.27231784875814,1.2041892394409397,-1.2041892394409397,-100.0,1.8293158195866253,0.7603832404133684,41.566537186848024,0.7135795294647309,-0.7135795294647309,-100.0,0.7518869646647204,-0.3815880246647154,-50.750716876023006,1.8551774194837407,-1.8551774194837407,-100.0,1.4654664941294513,-1.0951675541294534,-74.73166793758931,3.8382386118751586,1.340760588124848,34.93166328890177,0.13363778598886222,-0.13363778598886222,-100.0,,,
2013-01-25,1359090000000,36.98,12.89,0.2047,28.03355169515615,1.1883793776339644,0.931618622366038,78.39404149042616,1.1821581426432142,-1.1821581426432142,-100.0,1.808914949458132,1.4204830505418649,78.52680143792149,0.6934803515171168,-0.6934803515171168,-100.0,0.7310549282139931,0.27954307178600857,38.238313018277225,1.834047056173521,-1.834047056173521,-100.0,1.42453527973111,-0.4139372797311083,-29.057706440885173,3.828368617375212,1.9896293826247915,51.97068468262891,0.1247695058835414,-0.1247695058835414,-100.0,,,
