Datetime,Timestamp,Price,VIX,2-Day-LIBOR,2-Day-VM,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,103-Puts,103-Puts-P,103-Puts-ROI
2016-10-11,1476158400000,117.34,15.91,0.43135500000000004,7.577661228336058,8.32267825212347e-09,-8.32267825212347e-09,-100.0,3.5173434036397566,-0.28714340363974605,-8.163644281721519,,,
2016-10-12,1476244800000,116.98,16.69,0.43135500000000004,13.442316630242937,0.0005048415516285543,-0.0005048415516285543,-100.0,3.507057000953296,-0.5676570009532895,-16.186135577465315,,,
2016-10-13,1476331200000,117.63,16.12,0.432465,9.669020893564808,3.4585119134643294e-06,-3.4585119134643294e-06,-100.0,3.52603242492971,0.1628675750702797,4.6190038956753625,,,
2016-10-14,1476417600000,117.55,16.21,0.433761667,6.983565854019687,5.658021967061202e-10,-5.658021967061202e-10,-100.0,3.5236223172585284,0.4328776827414629,12.285019328582676,,,
2016-10-17,1476676800000,117.47,15.28,0.43561166700000004,0.0005199003145749139,0.0,-0.0,,3.5212120102698923,0.412887989730109,11.725735017541936,,,
2016-10-18,1476763200000,117.12,14.41,0.435236667,2.585266523528148,7.129469233527768e-56,-7.129469233527768e-56,-100.0,3.510723093702893,0.5228769062971139,14.893709709973614,,,
2016-10-19,1476849600000,117.06,13.75,0.43736833299999994,2.7742577882014543,5.6399881562884304e-49,-5.6399881562884304e-49,-100.0,3.5089104846422434,-0.5871104846422526,-16.73198809749951,,,
2016-10-20,1476936000000,116.6,13.34,0.43774333299999996,3.8444672024818,4.956182875534786e-27,-4.956182875534786e-27,-100.0,3.4951193715991167,-1.6471193715991177,-47.126269419676895,,,
2016-10-21,1477022400000,117.65,13.02,0.437276667,14.48267370682611,0.0011321886235707288,-0.0011321886235707288,-100.0,3.5277287183191106,2.0617712816808904,58.444723115310346,,,
2016-10-24,1477281600000,118.25,13.46,0.43709,4.352964571921919,1.0119457121630513e-21,-1.0119457121630513e-21,-100.0,3.5445829681222136,3.772917031877782,106.44177512020633,,,
2016-10-25,1477368000000,115.59,14.24,0.43607333299999995,31.24863006547651,0.12974486823597786,-0.12974486823597786,-100.0,3.5946000864393137,1.743099913560684,48.49217914773207,,,
2016-10-26,1477454400000,114.48,15.36,0.437738333,14.707259362559506,0.0012853814835873667,-0.0012853814835873667,-100.0,3.4328571604490747,0.9415428395509196,27.427381785607125,,,
2016-10-27,1477540800000,113.72,16.19,0.43792333299999997,3.354542062889033,1.5089150509078325e-34,-1.5089150509078325e-34,-100.0,3.408789367383648,2.2328106326163493,65.50157231715673,,,
2016-10-28,1477627200000,113.54,17.06,0.438575,5.6986483212270125,8.461587890829686e-14,-8.461587890829686e-14,-100.0,3.403389640362491,1.9528103596375104,57.37839524684922,,,
2016-10-31,1477886400000,111.49,18.56,0.439496667,18.674097078766852,0.009138828572687885,-0.009138828572687885,-100.0,3.3510734115750016,1.6536265884249983,49.34617614502798,,,
2016-11-01,1477972800000,111.59,19.32,0.43783,21.45859561727333,0.022084413444690032,-0.022084413444690032,-100.0,3.3670270123733417,2.7306729876266616,81.10041819064206,,,
2016-11-02,1478059200000,109.83,22.08,0.438578333,18.85151437819204,0.009611447903490113,-0.009611447903490113,-100.0,3.3017928981001035,-0.5868928981001034,-17.77497608762226,,,
2016-11-03,1478145600000,108.84,22.51,0.441163333,7.681161469408371,1.1630923725806087e-08,-1.1630923725806087e-08,-100.0,3.2624900880190357,-2.217290088019041,-67.96312105779812,,,
2016-11-04,1478232000000,110.41,18.71,0.440566667,26.24016552561213,0.060856608667926075,-0.060856608667926075,-100.0,3.370411312781385,-0.528111312781391,-15.669046409222215,,,
