Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2015-06-05,1433476800000,256.290009,15.29,0.4204,38.97313656155439,28.133382002780852,-28.133382002780852,-100.0,27.60259056177497,49.68741843822502,180.00998249430214,55.73597256455582,21.554036435444175,38.671679067731986
2015-06-08,1433736000000,256.0,14.47,0.42185,38.73181551092185,27.93107768466548,-27.93107768466548,-100.0,27.399060091498786,41.17094690850122,150.26408486645678,55.330137776164264,13.23986922383574,23.92885641708877
2015-06-09,1433822400000,250.69999700000002,13.22,0.4239,38.811416504554636,27.40928489267601,-27.40928489267601,-100.0,26.88575253844759,33.47424846155239,124.50552914106837,54.2950374311236,6.064963568876436,11.17038288548966
2015-06-10,1433908800000,251.41000400000001,12.85,0.4334,38.804262207462,27.48719945546365,-27.48719945546365,-100.0,26.950430891649475,32.529580108350515,120.7015213935957,54.43763034711313,5.042380652886891,9.262674772459658
2015-06-11,1433995200000,250.690002,13.78,0.43795,38.726987546897504,27.35728830807517,-27.35728830807517,-100.0,26.81644397316279,37.5235520268372,139.92739702695033,54.17373228123796,10.166263718762025,18.766038983588576
2015-06-12,1434081600000,250.38000499999998,15.39,0.44155,38.72689469390606,27.325386355963122,-27.325386355963122,-100.0,26.780775342441174,35.25923365755882,131.65874851159109,54.10616169840429,7.933847301595705,14.66348203707396
2015-06-15,1434340800000,253.11999500000002,14.81,0.4448,38.742255553589686,27.637015304549536,-27.637015304549536,-100.0,27.08239643714705,30.297593562852942,111.87190776550268,54.71941174169659,2.660578258303431,4.862220140199445
2015-06-16,1434427200000,260.410004,14.5,0.4484,38.8642089188212,28.523099055757285,-28.523099055757285,-100.0,27.94789383094357,31.422117169056435,112.43107390892635,56.470992886700856,2.899018113299178,5.133641122824862
2015-06-17,1434513600000,261.890015,13.19,0.44985,38.84903946670645,28.675031607433034,-28.675031607433034,-100.0,28.094688718534414,28.505333281465578,101.4616448220701,56.76972032596745,-0.16969832596742407,-0.298924012647991
2015-06-18,1434600000000,262.51001,13.96,0.45185,38.479022632753704,28.474757610807586,-28.474757610807586,-100.0,27.89045743613174,32.019546563868275,114.80466620955221,56.365215046939326,3.5447889530606886,6.288965543924015
