Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,105-Bull-Spreads,105-Bull-Spreads-P,105-Bull-Spreads-ROI,115-Calls,115-Calls-P,115-Calls-ROI,115-Puts,115-Puts-P,115-Puts-ROI,110-Bull-Spreads,110-Bull-Spreads-P,110-Bull-Spreads-ROI,110-Straddles,110-Straddles-P,110-Straddles-ROI,95-Straddles,95-Straddles-P,95-Straddles-ROI
2016-03-24,1458792000000,105.19,15.24,0.39355,7.229791054065213,0.4241220138353796,5.345877986164616,1260.457559800135,0.4161830621627232,-0.4161830621627232,-100.0,5.2670420311105195,5.762457968889464,109.4059613508436,2.7021517888894093e-08,-2.7021517888894093e-08,-100.0,0.4161830351412053,-0.4161830351412053,-100.0,1.1763100106747682e-07,0.5104998823689922,433984134.91028064,5.2511642183747265,-5.2511642183747265,-100.0,0.42412189620437857,4.57587810379562,1078.9063579944402,1.064243400640338e-22,-1.064243400640338e-22,-100.0,10.510267153160086,-5.761267153160078,-54.81561095645277,1.1763100106747673e-07,4.999999882368999,4250580065.6247478,1.2315016392347509e-45,-1.2315016392347509e-45,-100.0,15.769370205576449,-5.760870205576437,-36.53202461782049,1.064243400640338e-22,0.9599999999999936,9.020492863027174e+23,10.510267153160086,-5.761267153160078,-54.81561095645277,5.267042058132037,5.762457941867962,109.40596027652805
2016-03-25,1458878400000,107.68,13.82,0.39355,16.301456427385368,0.9737936460911172,-0.11379364609111775,-11.685601620825338,0.9656667679077202,-0.9656667679077202,-100.0,5.40103920104805,0.8429607989519496,15.60738160886476,0.00931866677382054,-0.00931866677382054,-100.0,0.9563481011338996,-0.9563481011338996,-100.0,0.013710760867349459,-0.013710760867349459,-100.0,5.3891775387747884,-0.8651775387747875,-16.05398101194274,0.9600828852237676,4.039917114776232,420.7883691036366,6.76294478494017e-06,-6.76294478494017e-06,-100.0,10.759067196943052,-0.8510671969430491,-7.9102321917355525,0.01370399792256452,3.5262960020774416,25731.87782137041,1.2265139403787262e-10,-1.2265139403787262e-10,-100.0,16.14265409021175,-0.8506540902117479,-5.269604895563921,6.7628221335461325e-06,-6.7628221335461325e-06,-100.0,10.759073959887838,-0.8510739598878221,-7.910290077573688,5.410357867821871,0.8336421321781291,15.408262309896719
2016-03-28,1459137600000,109.56,13.56,0.39355,18.46991786565769,1.1220352794780553,-1.1220352794780553,-100.0,1.1137665130054228,-0.21376651300541727,-19.193117274515927,5.508532752406154,-0.9305327524061652,-16.892570022383982,0.022677424257162567,-0.022677424257162567,-100.0,1.0910890887482605,-1.0910890887482605,-100.0,0.03136653857541916,-0.03136653857541916,-100.0,5.500684333779162,0.8773156662208521,15.949209461690845,1.090668740902636,3.909331259097364,358.4343359709757,6.912567586647364e-05,-6.912567586647364e-05,-100.0,10.946973482555975,0.9090265174440332,8.303907183958826,0.031297412899552686,3.628702587100444,11594.25732327002,1.2257657336436725e-08,-1.2257657336436725e-08,-100.0,16.424490930814116,0.9095090691858873,5.537517558486699,6.91134182091372e-05,-6.91134182091372e-05,-100.0,10.94704260823184,0.9089573917681673,8.303223293245058,5.531210176663317,-0.9532101766633136,-17.23330240975103
2016-03-29,1459224000000,108.99,13.95,0.39685,19.280939956735992,1.165060815194252,-1.135060815194251,-97.4250271222967,1.1567660960381971,-1.1567660960381971,-100.0,5.4868408370372785,-0.007340837037276059,-0.13378986661548364,0.02946085383901975,-0.02946085383901975,-100.0,1.1273052421991774,-1.1273052421991774,-100.0,0.04001922477640951,-0.04001922477640951,-100.0,5.480809769662542,-0.06130976966254309,-1.1186261198464835,1.1250415904178426,3.8749584095821565,344.4280142694983,0.00013663109778473334,-0.00013663109778473334,-100.0,10.890012440026114,-0.021012440026112245,-0.1929514786308349,0.039882593678624775,3.980117406321371,9979.58517541082,4.702880537583098e-08,-4.702880537583098e-08,-100.0,16.338961119999357,-0.020461119999353627,-0.12522901455655366,0.00013658406897935752,-0.00013658406897935752,-100.0,10.8901490711239,-0.021149071123884863,-0.19420368799140975,5.516301690876299,-0.036801690876297144,-0.6671442741640725
2016-03-30,1459310400000,109.99,13.1,0.3961,19.41810503612782,1.1840765588861115,-0.7340765588861089,-61.99570064765675,1.1757215536835943,-1.1757215536835943,-100.0,5.538462126150577,0.41103787384942336,7.421516379224732,0.031024871208191307,-0.031024871208191307,-100.0,1.144696682475403,-1.144696682475403,-100.0,0.04202187526784007,-0.04202187526784007,-100.0,5.532749119805217,-0.4832491198052082,-8.734340006044249,1.1420546836182714,3.8579453163817288,337.8074072739617,0.0001536890182083986,-0.0001536890182083986,-100.0,10.989963183295442,-0.4409631832954375,-4.012417293314448,0.04186818624963167,4.958131813750368,11842.24170636001,5.870374241181152e-08,-5.870374241181152e-08,-100.0,16.488891802720858,-0.4403918027208533,-2.6708393019364927,0.00015363031446598678,0.43984636968553176,286301.8091282448,10.990116872313653,-0.4411168723136445,-4.013759611828223,5.569486997358768,0.38001300264123206,6.823123975717091
2016-03-31,1459396800000,111.12,14.12,0.3961,18.33098143981306,1.1295102459113266,-0.2095102459113249,-18.548768961567504,1.1210694042156817,-1.1210694042156817,-100.0,5.585928334090796,0.8900716659092041,15.93417624922104,0.021909534479940262,-0.021909534479940262,-100.0,1.0991598697357414,-1.0991598697357414,-100.0,0.03040912960140218,-0.03040912960140218,-100.0,5.577546245821012,-0.9415462458210015,-16.881011906023318,1.0991011163099245,3.900898883690076,354.91719786317634,6.182308183828693e-05,-6.182308183828693e-05,-100.0,11.102776897216645,-0.9107768972166356,-8.203145083865985,0.030347306519563893,4.969652693480437,16375.926773852783,9.699587395402998e-09,-9.699587395402998e-09,-100.0,16.658293041749598,-0.9102930417495968,-5.464503712764497,6.181338225089153e-05,2.039938186617756,3300156.23208894,11.102838720298484,-0.9108387202984752,-8.20365622922413,5.607837868570736,0.8681621314292771,15.481227378111498
2016-04-01,1459483200000,109.81,15.42,0.396,20.620757456849955,1.2550893577682558,1.0349106422317362,82.45712831729914,1.2467501314206828,-1.2467501314206828,-100.0,5.542175165229012,2.238324834770978,40.387118198897404,0.04375290019883593,-0.04375290019883593,-100.0,1.2029972312218469,-1.2029972312218469,-100.0,0.05791965781362585,-0.05791965781362585,-100.0,5.539663470148696,-2.3391634701486765,-42.225732352761284,1.1971696999546295,3.80283030004537,317.6517330992832,0.0003663239145693109,-0.0003663239145693109,-100.0,10.972193174932244,-2.281193174932227,-20.790676381308923,0.057553333899056536,4.942446666100943,8587.594030207805,3.1977337896990236e-07,-3.1977337896990236e-07,-100.0,16.461910209473686,-2.280410209473672,-13.85264638462987,0.000366004141190341,2.099633995858804,573663.9998198508,10.972559498846811,-2.2815594988467964,-20.793320820785546,5.585928065427848,2.1945719345721555,39.28750798197156
2016-04-04,1459742400000,110.96,14.09,0.3958,19.483508682186393,1.1985246296357772,-1.1985246296357772,-100.0,1.1901023252951148,-0.0801023252951154,-6.730709082116285,5.587933940803295,-1.1499339408033078,-20.57887500076636,0.03193275167967169,-0.03193275167967169,-100.0,1.1581695736154431,-1.1581695736154431,-100.0,0.043192829481095714,-0.043192829481095714,-100.0,5.5823494099234106,1.0756505900765916,19.268779345206724,1.1553318001546815,3.84466819984532,332.77610806961036,0.0001631607086690183,-0.0001631607086690183,-100.0,11.08689862593394,1.1191013740660622,10.09390824092424,0.0430296687724267,4.806970331227569,11171.292897118145,6.544301868641287e-08,-6.544301868641287e-08,-100.0,16.634314415451268,1.1196855845487337,6.7311796361663125,0.0001630952656503319,-0.0001630952656503319,-100.0,11.087061786642606,1.118938213357394,10.092288064142119,5.619866692482967,-1.1818666924829646,-21.030155289338236
2016-04-05,1459828800000,108.54,16.16,0.3935,22.83086039876623,1.373057741985555,-1.373057741985555,-100.0,1.3648669981730637,-0.3048669981730612,-22.33675505240727,5.508096142947991,-1.141096142948001,-20.716707067812266,0.07331493632613384,-0.07331493632613384,-100.0,1.2915520618469298,-1.2915520618469298,-100.0,0.09383989588082642,-0.09383989588082642,-100.0,5.512239614877714,0.9747603851222948,17.68356336490498,1.2792178461047286,3.720782153895272,290.8638403713025,0.0013176046049897805,-0.0013176046049897805,-100.0,10.84630778641123,1.0676922135887708,9.843831049368028,0.09252229127583664,2.3874777087241674,2580.435131687759,3.8031913979341e-06,-3.8031913979341e-06,-100.0,16.271584447807044,1.0694155521929645,6.5722889840460015,0.0013138014135918464,-0.0013138014135918464,-100.0,10.847625391016221,1.0663746089837949,9.830488890840057,5.581411079274125,-1.2144110792741207,-21.758137181181386
2016-04-06,1459915200000,108.66,15.36,0.39625,19.89096310085766,1.1981430122962706,-1.1981430122962706,-100.0,1.1898859102884174,0.5601140897115826,47.07292395586196,5.4761550166098365,-1.7931550166098449,-32.744781898448636,0.035310769702378675,-0.035310769702378675,-100.0,1.1545751405860387,-1.1545751405860387,-100.0,0.04737656814959301,-0.04737656814959301,-100.0,5.471706611041356,1.7112933889586517,31.27531336394084,1.1507664441466776,3.8492335558533215,334.4930307476618,0.00021738585081104017,-0.00021738585081104017,-100.0,10.857134573642185,1.758865426357815,16.20008865532352,0.047159182298781965,1.8628408177012143,3950.112633206806,1.1697259350585814e-07,-1.1697259350585814e-07,-100.0,16.289504449663553,1.759495550336453,10.80140624150659,0.00021726887821753432,-0.00021726887821753432,-100.0,10.857351959492997,1.7586480405070173,16.19776209768501,5.511465786312215,-1.8284657863122078,-33.175671540105036
