Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Straddles,110-Straddles-P,110-Straddles-ROI
2014-08-11,1407729600000,95.97,14.13,0.157,17.207497885550932,1.8946478046205115,3.8853521953794896,205.06989140167443,1.882264529640772,-1.882264529640772,-100.0,3.7769123342612834,2.0030876657387178,53.03505849389797,0.050823113112812734,-0.050823113112812734,-100.0,9.634201510635123,-5.8172015106351145,-60.38073320568965,9.685024623747935,-5.868024623747928,-60.58863917970201
2014-08-12,1407816000000,97.24,12.9,0.156,17.499425094513107,1.9521358872071983,-1.3221358872071889,-67.72765645421785,1.9396686536167849,-1.9396686536167849,-100.0,3.8918045408239843,-3.2618045408239738,-83.8121366735796,0.056953294796100014,-0.056953294796100014,-100.0,9.767239337846648,-0.6732393378466526,-6.892831378032758,9.824192632642749,-0.7301926326427548,-7.432596854998047
2014-08-13,1407902400000,97.5,12.42,0.1555,17.49587643050572,1.9569402560860067,1.293059743913993,66.07558610400231,1.9444797510105831,-1.9444797510105831,-100.0,3.90142000709659,-0.6514200070965899,-16.69699765499927,0.057035800674106525,-0.057035800674106525,-100.0,9.793329245091158,-3.293329245091158,-33.62829087709797,9.850365045765265,-3.350365045765251,-34.0125978093126
2014-08-14,1407988800000,97.98,13.15,0.156,17.476880698416835,1.9644662879836403,0.16553371201635514,8.426396168206155,1.9519041782840605,-1.9519041782840605,-100.0,3.9163704662677006,-1.7863704662677051,-45.6129082183105,0.05694977439379701,-0.05694977439379701,-100.0,9.84113145372426,-2.1731314537242525,-22.082130128460552,9.898081228118057,-2.2300812281180367,-22.530439756171276
2014-08-15,1408075200000,99.16,12.32,0.155,16.838416067212602,1.915701787478028,-0.3257017874780246,-17.001695650490706,1.9030698798015493,-1.9030698798015493,-100.0,3.818771667279577,-2.2287716672795743,-58.36357503058856,0.0459560750394834,-0.0459560750394834,-100.0,9.948060976595356,-1.622060976595364,-16.30529789083079,9.994017051634838,-1.6680170516348305,-16.690156150593854
2014-08-18,1408334400000,100.53,12.21,0.155,17.066368001076228,1.9683695027577173,-1.9683695027577173,-100.0,1.9555630719517865,-0.6055630719517922,-30.966174430129648,3.9239325747095037,-2.5739325747095094,-65.595739113842,0.05062873769997367,-0.05062873769997367,-100.0,10.08954166381345,1.3134583361865424,13.018017863956239,10.140170401513423,1.262829598486583,12.453731529976118
2014-08-19,1408420800000,100.57,11.78,0.1555,17.066517008764833,1.9691901351008168,-1.9691901351008168,-100.0,1.9563372838656008,-1.2863372838656133,-65.75232678303257,3.9255274189664178,-3.2555274189664303,-82.93222977470894,0.050652701618072886,-0.050652701618072886,-100.0,10.093514565259326,0.6334854347406633,6.2761630812031,10.1441672668774,0.58283273312259,5.7454960844903225
2014-08-20,1408507200000,100.58,11.76,0.1555,16.995403821261757,1.9612083095499029,-1.9612083095499029,-100.0,1.948354180314148,-0.988354180314154,-50.727644403688146,3.9095624898640513,-2.9495624898640567,-75.44482272661216,0.04937504326957098,-0.04937504326957098,-100.0,10.093235501110255,0.9247644988897434,9.162220566319087,10.142610544379826,0.8753894556201747,8.630810103472237
2014-08-21,1408593600000,101.32,11.47,0.1555,17.068426262568615,1.9840965241763868,-1.9840965241763868,-100.0,1.9711478229021109,-0.2711478229021225,-13.755834024812655,3.955244347078498,-2.2552443470785093,-57.01909033115295,0.05106541778551055,-0.05106541778551055,-100.0,10.168821846383821,1.6631781536161725,16.355662226569766,10.219887264169332,1.612112735830662,15.77427122393697
2014-08-22,1408680000000,101.54,11.7,0.155,16.761044308283562,1.9526993962102,-1.9526993962102,-100.0,1.9397643023672304,0.8502356976327761,43.831907649562055,3.8924636985774304,-1.102463698577424,-28.32303096314909,0.04572248258629852,-0.04572248258629852,-100.0,10.185493879359058,2.758506120640959,27.08269381253159,10.231216361945357,2.7127836380546597,26.51477148059112
2014-08-25,1408939200000,100.889,11.63,0.155,16.455415104333685,1.9049259388559605,-1.9049259388559605,-100.0,1.8920737753467805,-1.8030737753467816,-95.2961665047291,3.796999714202741,-3.7079997142027423,-97.65604406902922,0.04041539265660221,-0.04041539265660221,-100.0,10.115178012796504,0.06272198720350275,0.6200779375721756,10.155593405453105,0.022306594546902758,0.21964836180744596
2014-08-26,1409025600000,102.13,11.78,0.155,16.55732307790026,1.9402574317604648,-1.9402574317604648,-100.0,1.9272471783215928,-0.8172471783215941,-42.40489686607405,3.8675046100820585,-2.7575046100820586,-71.29932315771828,0.042563501760008116,-0.042563501760008116,-100.0,10.241252222977264,1.0817477770227413,10.562651455802763,10.283815724737273,1.039184275262734,10.105045666687912
2014-08-27,1409112000000,102.25,12.05,0.156,15.387521839544627,1.805819394912348,-1.805819394912348,-100.0,1.7927098244205697,-0.27270982442057345,-15.212156518901065,3.5985292193329177,-2.0785292193329217,-57.7605208307363,0.02605734192091957,-0.02605734192091957,-100.0,10.236636814379978,1.5083631856200268,14.734948723599773,10.262694156300897,1.4823058436991072,14.443632647758765
2014-08-28,1409198400000,102.5,11.98,0.1567,15.019268011102298,1.7671055258259967,-1.7671055258259967,-100.0,1.7539049375698,0.9360950624301978,53.372052405944274,3.521010463395797,-0.8310104633957991,-23.60147667934905,0.02194991608560737,-0.02194991608560737,-100.0,10.257429269003794,2.682570730996204,26.15246628219486,10.2793791850894,2.6606208149106116,25.883088530968248
2014-08-29,1409284800000,103.3,12.25,0.1545,14.89330887818758,1.7659282405166865,-1.7659282405166865,-100.0,1.7528113884330736,2.797188611566924,159.58297795334792,3.5187396289497594,1.0312603710502373,29.307663532866684,0.020790600715821842,-0.020790600715821842,-100.0,10.336362063423834,4.543637936576161,43.95780554799103,10.357152664139656,4.522847335860353,43.66882947974828
2014-09-02,1409630400000,98.94,12.36,0.157,19.95207654680307,2.263729344779549,-2.263729344779549,-100.0,2.2509628424716013,-0.8509628424716098,-37.804393143035455,4.514692187251152,-3.1146921872511584,-68.9901339463764,0.11840401600517225,-0.11840401600517225,-100.0,9.998360863466417,1.2956391365335804,12.958515442944156,10.116764879471589,1.1772351205284082,11.636478010052327
2014-09-03,1409716800000,98.12,12.64,0.1565,18.755255964042288,2.110698072582366,-2.110698072582366,-100.0,2.0980776952390983,-0.2380776952390989,-11.347420344791727,4.208775767821464,-2.348775767821465,-55.80662637765642,0.08509153917048673,-0.08509153917048673,-100.0,9.883209124092886,1.788790875907111,18.099291975381448,9.968300663263372,1.7036993367366389,17.091171246623396
2014-09-04,1409803200000,98.97,12.09,0.1565,18.8975232805038,2.145079784812239,-2.145079784812239,-100.0,2.1323500788841656,-0.8323500788841685,-39.03440092349789,4.277429863696405,-2.977429863696408,-69.60791780518915,0.08939435733465739,-0.08939435733465739,-100.0,9.972391680813788,1.224608319186217,12.279986169639539,10.061786038148444,1.1352139618515587,11.282429953762554
2014-09-05,1409889600000,98.36,12.66,0.1561,18.91196785160884,2.133467044737202,-0.7334670447371963,-34.37911293481189,2.1208481315267,-2.1208481315267,-100.0,4.254315176263901,-2.854315176263896,-67.09223595348493,0.0892065023237274,-0.0892065023237274,-100.0,9.911325697792194,-1.475325697792201,-14.885250901610851,10.00053220011592,-1.564532200115913,-15.644489401251844
2014-09-08,1410148800000,97.99,13.5,0.1561,18.503316302029184,2.0796617981444068,2.4003382018555968,115.4196419820432,2.0670903533955567,-2.0670903533955567,-100.0,4.146752151539964,0.3332478484600401,8.036358004571916,0.07892903021013709,-0.07892903021013709,-100.0,9.86410044098642,-4.545100440986417,-46.07719140917327,9.943029471196557,-4.624029471196554,-46.50523750926882
2014-09-09,1410235200000,101.0,12.88,0.1528,20.4102256223476,2.363589520194644,-0.3735895201946491,-15.806023719545164,2.3509058235272766,-2.3509058235272766,-100.0,4.7144953437219215,-2.7244953437219266,-57.78975574448308,0.1351875353111991,-0.1351875353111991,-100.0,10.221235468977099,-2.1112354689770854,-20.655384325945576,10.356423004288299,-2.2464230042882853,-21.691109018607158
2014-09-10,1410321600000,101.43,12.8,0.1535,20.40932715361711,2.373576692177295,1.0264233078226963,43.243738919645054,2.360780645972248,-2.360780645972248,-100.0,4.734357338149543,-1.3343573381495517,-28.18455057030179,0.13573712484143208,-0.13573712484143208,-100.0,10.264661474015897,-3.521661474015886,-34.30859831988291,10.400398598857329,-3.6573985988573057,-35.165946421122136
